번호,상호,주소,면적(㎡),전화번호,구분,
중앙쇼핑타워,대전 동구 중앙로 200번길 70,42,70,시장,등록,2019
대전상가,대전 동구 충무로 185,37,70,시장,등록,1973
인동,대전 동구 대전천동로 450,49,70,시장,인정,1973
신도,대전 동구 흥룡로 37번길 9,69,69,시장,인정,1973
용운,대전 동구 용운로 170,39,46,시장,인정,1989
가양,대전 동구 매봉로 18,15,57,시장,등록,1979
역전시장 상점가,대전 동구 역전시장길 48,101,124,상점가,등록,1950
홍도시장 상점가,대전 동구 홍도로 9번길 20,90,90,상점가,등록,2016
역전지하상가,대전 동구 대전로 797번길 41,102,102,상점가,등록,1980
오류,대전 중구 계백로 1691-10,50,53,시장,인정,1985
태평,대전 중구 수침로55번길 56,155,305,시장,인정,1980
유천,대전 중구 문화로 105번길 113,73,79,시장,인정,1982
문창,대전 중구 대전천서로 279,210,347,시장,인정,1967
산성,대전 중구 대둔산로408번길28,54,60,시장,인정,1991
용두,대전 중구 계룡로881번길 53,27,35,시장,인정,1962
부사,대전 중구 대종로316번길 16,64,185,시장,인정,1990
중앙로지하상점가,대전 중구 중앙로 지하 145,600,595,상점가,등록,1990
문화예술의거리 은행동상점가,대전 중구 중교로 83 3층,290,725,상점가,등록,1970
문화예술의거리 대흥동상점가,대전 중구 중앙로138번길 30,61,161,상점가,등록,1990
오류특화상점가,대전 중구 계룡로874번길 12,61,166,상점가,등록,1998
중촌맞춤상점가,대전 중구 동서대로1421번길12,50,60,상점가,등록,1998
충무자동차상점가,대전 중구 충무로 122-1,70,205,상점가,등록,1999
한민,대전 서구 도솔로 308번길 27,240,600,시장,인정,1982
도마큰,대전 서구 도마5길 46,494,"1,820",시장,인정,1970
가수원상점가,대전 서구 벌곡로1379번길17-15,105,156,상점가,등록,2007
둔산3동상점가,대전 서구 문정로170번걸 74,395,985,상점가,인정,1991
유성,대전 유성구 유성대로 730번길 24,300,500,시장,무등록,1916
송강,대전 유성구 구즉로 74-7,58,103,시장,등록,2000
송촌,대전 대덕구 동춘당로 83,65,200,시장,등록,2005
중리,대전 대덕구 중리남로40번길 86 201호,213,400,시장,등록,1988
법동,대전 대덕구 계족로608번길 23-1,60,120,시장,등록,1995
신탄진,대전 대덕구석봉로37번길 46-16,110,340,시장,등록,2002
오정동상점가,대전 대덕구 오정로 106,870,2648,상점가,등록,2007
송촌동상점가,대전 대덕구 계족산로 81번길 54,720,1240,상점가,등록,2016
