구분,명소명,소재지,전화번호,상세소개(URL),담당부서,담당부서 연락처
문화명소,국립대전현충원,대전광역시 유성구 현충원로251,042-718-7114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057702&categorySeq=488,관광마케팅과,042-270-3984
문화명소,뿌리공원과 족보박물관,대전광역시 중구 뿌리공원로 79,042-581-4445,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057701&categorySeq=488,관광마케팅과,042-270-3984
문화명소,이응노 미술관,대전광역시 서구 둔산대로 157,042-611-9821,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057700&categorySeq=488,관광마케팅과,042-270-3984
문화명소,고전 종악기 카리용,대전광역시 서구 혜천로 100,042-580-6114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057699&categorySeq=488,관광마케팅과,042-270-3984
문화명소,대한민국 3대 빵집 성심당(聖心堂),대전광역시 중구 대종로 480번길 15,1588-8069,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057698&categorySeq=488,관광마케팅과,042-270-3984
문화명소,화폐박물관,대전광역시 유성구 과학로 80-67,042-870-1200,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057697&categorySeq=488,관광마케팅과,042-270-3984
문화명소,지질박물관,대전광역시 유성구 과학로 124,042-868-3797,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057696&categorySeq=488,관광마케팅과,042-270-3984
문화명소,전통시장 유성5일장,대전광역시 유성구 장대동,,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=2&ntatcSeq=1057695&categorySeq=488,관광마케팅과,042-270-3984
문화명소,대전예술의전당,대전광역시 서구 둔산대로 135,042-270-8333,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=2&ntatcSeq=1057688&categorySeq=488,관광마케팅과,042-270-3984
문화명소,천연기념물센터,대전광역시 서구 유등로 927,042-610-7610,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=2&ntatcSeq=1057685&categorySeq=488,관광마케팅과,042-270-3984
문화명소,숭현서원,대전광역시 유성구 엑스포로,042-861-0409,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=809&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,진잠향교대성전,대전광역시 유성구 교촌로 67,042-543-1811,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=785&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,쌍청당,대전광역시 대덕구 쌍청당로 17,042-608-6575,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=777&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,송애당,대전광역시 대덕구 계족산로,042-608-6575,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=753&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,문충사,대전광역시 동구 동부로73번길 44,042-608-6575,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=734&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,고산사 대웅전,대전광역시 동구 대전로316번길 205,042-282-2263,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=725&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,유회당,대전광역시 중구 운남로85번길 32-20,042-606-6283,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=705&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,창계숭절사,대전광역시 중구 대둔산로137번길 67,042-606-6283,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=701&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,봉소루,대전광역시 중구 봉소루로 29,042-606-6283,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=694&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,도산서원,대전광역시 서구 남선로 8,042-486-7771,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=658&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,둔산선사유적공원,대전광역시 서구 대덕대로317번길 9,042-270-2418,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=654&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,대전 소대헌ㆍ호연재 고택,대전광역시 대덕구 동춘당로 70,042-608-6575,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=639&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
문화명소,회덕향교대성전,대전광역시 대덕구 대전로1397번안길 126,042-625-5565,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=634&viewName=1&menuSeq=962,관광마케팅과,042-270-3984
생태환경명소,계족산 황톳길,대전광역시 대덕구 장동 산 85,042-623-9909,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057713&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,유성온천과 족욕체험장,대전광역시 유성구 봉명동 574,042-611-2718,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057712&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,3대 하천과 자전거길,,,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057711&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,종합테마파크 오-월드,대전광역시 중구 사정공원로 70(사정로),042-580-4820,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057710&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,장태산자연휴양림,대전광역시 서구 장안로 461,042-270-7883,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057709&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,대청호 오백리길,대전광역시 대덕구 대청로 618-136(대청댐),042-869-5114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057708&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,보문산 보운대와 대동하늘공원,대전 동구 이화로 35번길 50,042-606-6114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057707&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,한밭수목원,대전시 서구 둔산대로 169,042-270-8452,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=1&ntatcSeq=1057706&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,대전둘레산길 300리,대전광역시 중구 보문산공원로 422 (1구간),042-270-5583,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=2&ntatcSeq=1057705&categorySeq=489,관광마케팅과,042-270-3984
생태환경명소,금강로하스 에코파크,대전광역시 대덕구 대청로 167 (신탄진동),042-933-9481,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4125&pageIndex=2&ntatcSeq=1057704&categorySeq=489,관광마케팅과,042-270-3984
과학명소,카이스트(KAIST),대전광역시 유성구 대학로 291 한국과학기술원,042-350-2293,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057727&categorySeq=490,관광마케팅과,042-270-3984
과학명소,엑스포과학공원과 세계엑스포 기념품박물관,대전광역시 유성구 대덕대로 480 (도룡동),042-869-5114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057726&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국표준과학연구원과 해시계,대전광역시 유성구 가정로 267 (도룡동),042-868-5593,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057725&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국전자통신연구원,대전시 유성구 가정로 218,042-860-6114,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057724&categorySeq=490,관광마케팅과,042-270-3984
과학명소,국립중앙과학관과 천체투영기,대전광역시 유성구 대덕대로 481 국립중앙과학관,042-601-7894,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057723&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국한의학연구원,대전광역시 유성구 유성대로 1672,042-868-9516,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057722&categorySeq=490,관광마케팅과,042-270-3984
과학명소,대전시민천문대와 굴절망원경,대전광역시 유성구 과학로 213-48 (신성동),042-863-8763,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057721&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국천문연구원,대전광역시 유성구 대덕대로 776 (화암동 61-1),042-865-2084,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=1&ntatcSeq=1057716&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국항공우주연구원과 나로호,대전광역시 유성구 과학로 169-84 (어은동),042-870-3657,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=2&ntatcSeq=1057715&categorySeq=490,관광마케팅과,042-270-3984
과학명소,한국기계연구원,대전광역시 유성구 가정북로 156,042-861-7401,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4126&pageIndex=2&ntatcSeq=1057714&categorySeq=490,관광마케팅과,042-270-3984
과학명소,국가핵융합연구소(NFRI),대전광역시 유성구 과학로 169-148,042-879-5088,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=1315&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,한국화학연구원(KRICT),대전광역시 유성구 과학로 169-148,042-860-7114,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=1314&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,한국에너지기술연구원(KIER),대전광역시 유성구 가정로 152,042-860-3114,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=1049&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,한국생명공학연구원(KRIBB),대전광역시 유성구 과학로 125,042-860-4114,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=1050&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,특허청 발명교육센터(창의발명체험관),대전광역시 유성구 과학로 82,042-601-4458,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=901&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,한국원자력연구원(KAERI),대전광역시 유성구 대덕대로989번길 111,042-868-2000,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=902&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
과학명소,한국표준과학연구원(KRISS),대전광역시 유성구 가정로 267,042-868-5114,https://www.daejeon.go.kr/tou/TouTourView.do?tourSeq=905&viewName=1&menuSeq=960,관광마케팅과,042-270-3984
