"키","분류1","명칭","도로명 주소","전화번호","홈페이지주소","분류2","분류3"
"BE_IW12-0536","문화재","남대문로 한국전력 사옥(南大門路韓國電力社屋)","중구 남대문로 92(남대문로2가 5)","","","문화재","유형/등록문화재"
"BE_IW12-0537","문화재","미국공사관(美國公使館)","중구 덕수궁길 83(정동 10-1)","","","문화재","유형/등록문화재"
"BE_IW12-0538","문화재","미국공사관(美國公使館)","중구 덕수궁길 83(정동 10-1)","","","문화재","유형/등록문화재"
"BE_IW12-0539","문화재","서울시청 청사(서울市廳廳舍)","중구 세종대로 110(태평로1가 31)","","","문화재","유형/등록문화재"
"BE_IW12-0540","문화재","서울시청 청사(서울市廳廳舍)","중구 세종대로 110(태평로1가 31)","","","문화재","유형/등록문화재"
"BE_IW12-0541","문화재","성공회 서울성당(聖公會서울聖堂)","중구 세종대로21길 15(정동 3)","","","문화재","유형/등록문화재"
"BE_IW12-0542","문화재","성공회 성당(聖公會聖堂)","중구 세종대로21길 15(정동 3)","","http://www.cathedral.or.kr/","문화재","유형/등록문화재"
"BE_IW12-0543","문화재","성제묘(聖宰廟)","중구 동호로 385-1(방산동 4-96)","","","문화재","유형/등록문화재"
"BE_IW12-0544","문화재","성제묘(聖宰廟)","중구 동호로 385-1(방산동 4-96)","","","문화재","유형/등록문화재"
"BE_IW12-0545","문화재","수표교(水標橋)","중구 동호로 257-10(장충동 2가 197)","","","문화재","유형/등록문화재"
"BE_IW12-0546","문화재","수표교(水標橋)","중구 동호로 261(장충동 2가 197-1)","","","문화재","유형/등록문화재"
"BE_IW12-0547","문화재","신당동 박정희대통령 가옥  (新堂洞朴正熙大統領家屋)","중구 다산로36가길 25(신당동 62-43)","","","문화재","유형/등록문화재"
"BE_IW12-0548","문화재","신당동 박정희대통령 가옥(新堂洞朴正熙大統領家屋)","중구 다산로36가길 25(신당동 62-43)","","","문화재","유형/등록문화재"
"BE_IW12-0549","문화재","옛 제일은행 본점(舊弟一銀行本店)","중구 남대문로 42(충무로1가 53-1)","","","문화재","유형/등록문화재"
"BE_IW12-0550","문화재","옛 제일은행 본점(舊弟一銀行本店)","중구 남대문로 42 (충무로1가 53-1)","","","문화재","유형/등록문화재"
"BE_IW12-0551","문화재","장충단비(奬忠壇碑)","중구 동호로 257-10(장충동 2가 197)","","","문화재","유형/등록문화재"
"BE_IW12-0552","문화재","장충단비(奬忠壇碑)","중구 동호로 257-10(장충동 2가 197)","","","문화재","유형/등록문화재"
"BE_IW12-0553","문화재","정동 이화여고 심슨기념관(貞洞梨花女高심슨記念館)","중구 정동길 26(정동 32-1)","","","문화재","유형/등록문화재"
"BE_IW12-0554","문화재","정동 이화여고 심슨기념관(貞洞梨花女高심슨記念館)","중구 정동길 26(정동 32-1)","","","문화재","유형/등록문화재"
"BE_IW12-0555","문화재","태평로 구 국회의사당(太平路舊國會議事堂)","중구 세종대로 125(태평로 1가 60-1)","","","문화재","유형/등록문화재"
"BE_IW12-0556","문화재","태평로 구 국회의사당(太平路舊國會議事堂)","중구 세종대로 125(태평로 1가 60-1)","","","문화재","유형/등록문화재"
"BE_IW12-0557","문화재","태평로 구 국회의사당(太平路舊國會議事堂)","중구 세종대로 125(태평로 1가 60-1)","","","문화재","유형/등록문화재"
"BE_IW12-0558","쇼핑(살거리)","동화면세점","서울시 종로구 세종대로 149 (세종로) 광화문빌딩 지하 1층","02-399-3111 ","http://www.dutyfree24.com/?Domain=Naver3 ","쇼핑","면세점"
"BE_IW12-0559","쇼핑(살거리)","동화면세점 ","종로구 세종대로 149(세종로 211) 광화문빌딩 지하 1층","02-399-3111 ","http://www.dutyfree24.com/?Domain=Naver3","쇼핑","면세점"
"BE_IW12-0560","쇼핑(살거리)","롯데면세점 ","중구 남대문로 81(소공동1)","02-759-7586 ","http://kr.lottedfs.com/branchMain.jsp?bCode=2 ","쇼핑","면세점"
"BE_IW12-0561","쇼핑(살거리)","롯데면세점 ","중구 남대문로 81(소공동1)","02-759-7586 ","http://kr.lottedfs.com/branchMain.jsp?bCode=2 ","쇼핑","면세점"
"BE_IW12-0562","쇼핑(살거리)","신라면세점","중구 동호로 249(장충동2가 202)","02-2230-3635 ","http://www.shilladfs.com/en/dutyfree/main.jsp","쇼핑","면세점"
"BE_IW12-0563","쇼핑(살거리)","신라면세점 ","중구 동호로 249(장충동2가 202)","02-2230-3635 ","http://www.shilladfs.com/en/dutyfree/main.jsp ","쇼핑","면세점"
"BE_IW12-0564","쇼핑(살거리)","갤러리아백화점 ","용산구 한강대로 405(동자동 43-205)","02-390-4114","http://dept.galleria.co.kr/ ","쇼핑","백화점"
"BE_IW12-0565","쇼핑(살거리)","롯데백화점 ","중구 남대문로 81(소공동1)","02-771-2500 ","http://www.lotteshopping.com/ ","쇼핑","백화점"
"BE_IW12-0566","쇼핑(살거리)","롯데백화점 ","중구 남대문로 81(소공동1)","02-771-2500 ","http://www.lotteshopping.com/ ","쇼핑","백화점"
"BE_IW12-0567","쇼핑(살거리)","신세계백화점 ","중구 퇴계로 97(충무로1가 25-5)","02-310-1090 ","http://www.shinsegae.com/ ","쇼핑","백화점"
"BE_IW12-0568","쇼핑(살거리)","신세계백화점 ","중구 퇴계로 97(충무로1가 25-5)","02-310-1090 ","http://www.shinsegae.com/ ","쇼핑","백화점"
"BE_IW12-0569","쇼핑(살거리)","골든타운 ","중구 마장로 34(신당동 204-1)","02-2238-4241 ","","쇼핑","쇼핑타운"
"BE_IW12-0570","쇼핑(살거리)","골든타운 ","중구 마장로 34(신당동 204-1)  ","02-2238-4241 ","","쇼핑","쇼핑타운"
"BE_IW12-0571","쇼핑(살거리)","굿모닝시티","중구 장충단로 247(을지로6가 18-21)","02-2118-8700 ","http://www.goodmorningcity.kr/","쇼핑","쇼핑타운"
"BE_IW12-0572","쇼핑(살거리)","굿모닝시티 ","중구 장충단로 247(을지로6가 18-21)","02-2118-8700 ","http://www.goodmorningcity.kr/ ","쇼핑","쇼핑타운"
"BE_IW12-0573","쇼핑(살거리)","누죤","중구 을지로45길 62(신당동 200-5)","","http://www.nuzzon.co.kr/ ","쇼핑","쇼핑타운"
"BE_IW12-0574","쇼핑(살거리)","뉴존","중구 을지로45길 62(신당동 200-5)","","http://www.nuzzon.co.kr/ ","쇼핑","쇼핑타운"
"BE_IW12-0575","쇼핑(살거리)","두산타워","중구 장충단로 275(을지로6가 18-12)","02-3398-2340","http://www.doota.com/kr/index.do?_method=main","쇼핑","쇼핑타운"
"BE_IW12-0576","쇼핑(살거리)","두산타워 ","중구 장충단로 275(을지로6가 18-12)","02-3398-2340 ","http://www.doota.com/kr/index.do?_method=main ","쇼핑","쇼핑타운"
"BE_IW12-0577","쇼핑(살거리)","디오트 ","중구 다산로 293(신당동 193-2)","02-2117-8000 ","","쇼핑","쇼핑타운"
"BE_IW12-0578","쇼핑(살거리)","디오트 ","중구 다산로 293(신당동 193-2)","02-2117-8000 ","","쇼핑","쇼핑타운"
"BE_IW12-0364","문화공간(볼거리)","덕수궁 미술관","중구 세종대로99(정동 5-1)","02-2022-0600","http://www.moca.go.kr/contents/contentsManage.do?_method=includeHtml&cat=about&fname=building","문화공간","전시장"
"BE_IW12-0229","맛집","충무로돼지갈비","중구 수표로6길 39(충무로3가 29 - 2)","02-272-6428","","맛집","한식"
"BE_IW12-0230","맛집","충무집","서울 중구 남대문로9길 24 (다동) ","02-776-4088","","맛집","한식"
"BE_IW12-0231","맛집","태진숯불갈비","중구 무교로 17-25(태평로1가 31 - 19)","02-735-9272","","맛집","한식"
"BE_IW12-0232","맛집","토랑토","중구 다산로 289(신당동 193-29)","02-2236-5274","","맛집","한식"
"BE_IW12-0233","맛집","평래옥","서울 중구 저동2가 18-1","02-2267-5892","","맛집","한식"
"BE_IW12-0234","맛집","평양면옥(장충동)","중구 장충단로 207(장충동1가 26 - 14)","02-267-7784","","맛집","한식"
"BE_IW12-0235","맛집","평옥칡냉면","서울 중구 황학동 1459","02-2252-4555","","맛집","한식"
"BE_IW12-0236","맛집","평창우선생","서울 중구 의주로1가 32-2 바비엥 1층","02-739-8819","","맛집","한식"
"BE_IW12-0237","맛집","풀향기","중구 동호로 268-8 (장충동2가 193-5)","02-2265-1320","","맛집","한식"
"BE_IW12-0238","맛집","필동면옥","중구 서애로 26(필동3가 1 - 5)","02-2266-2611","","맛집","한식"
"BE_IW12-0239","맛집","하누소(회현점)","서울 중구 중구 퇴계로 72(회현동1가 206) SK리더스뷰 B1F 116호","02-3789-9904","www.hanuso.com","맛집","한식"
"BE_IW12-0240","맛집","하동관","중구 명동9길 12(명동1가 10-4)","02-776-5656","http://www.hadongkwan.com","맛집","한식"
"BE_IW12-0241","맛집","한국의집","서울시 중구 퇴계로36길 10 (필동)","02-2266-9101~3","http://www.koreahouse.or.kr","맛집","한식"
"BE_IW12-0242","맛집","한성옥","서울 중구 동호로24길 27-7 (장충동2가) ","02-2264-2066","","맛집","한식"
"BE_IW12-0243","맛집","한우리참숯집","서울특별시 중구 을지로 251 (을지로6가)","02-2265-8803","","맛집","한식"
"BE_IW12-0244","맛집","한창가든","중구 서소문로89-20(정동 34-7)","02-756-4551","","맛집","한식"
"BE_IW12-0245","맛집","함흥냉면","중구 마른내로 108(오장동 90-10)","02-2267-9500","","맛집","한식"
"BE_IW12-0246","맛집","함흥냉면(약수점)","서울 중구 신당2동 374-9","02-2237-8778","","맛집","한식"
"BE_IW12-0247","맛집","햇살마루","중구 세종대로2길 11(남대문로5가 217) (2층)","02-777-9227","","맛집","한식"
"BE_IW12-0248","맛집","화성","중구 세종대로136(태평로1가 84) 파이넨스빌딩 지하1층 B동 132호","","","맛집","한식"
"BE_IW12-0249","맛집","황소집","중구 충무로2길 2(충무로3가 36-4)","02-2273-0929","","맛집","한식"
"BE_IW12-0250","맛집","황토골","서울 중구 충무로5가 79-1","02-2263-1384","","맛집","한식"
"BE_IW12-0251","문화공간(볼거리)","국립중앙극장","중구 장충단로 59(장충동2가 산14-67)","02-2280-4114 ","http://www.ntok.go.kr/index.do","문화공간","공연장"
"BE_IW12-0252","문화공간(볼거리)","국립중앙극장  ","장충단로 59(장충동2가 산14-67)","02-2280-4114","","문화공간","공연장"
"BE_IW12-0253","문화공간(볼거리)","남산예술센터","중구 명동길35(예장동 8-19)  ","","","문화공간","공연장"
"BE_IW12-0254","문화공간(볼거리)","남산예술센터","서울시 중구 소파로 138(예장동 8-19)","02-758-2000","http://www.nsartscenter.or.kr/","문화공간","공연장"
"BE_IW12-0255","중구 어디까지 가봤니?","덕수궁 돌담길을 따라 걷다보면 나타나는 보물같은 정동극장","","","","문화공간","공연장"
"BE_IW12-0256","문화공간(볼거리)","명동(삼일로) 창고극장","중구 삼일대로9길 12(저동1-20)","02-319-8021","http://cafe.naver.com/samilro/","문화공간","공연장"
"BE_IW12-0257","문화공간(볼거리)","명동난타전용관","서울시 중구 정동길 21-15(정동 15-5)","02-739-8288","http://nanta.i-pmc.co.kr/about/place_myeongdong.asp","문화공간","공연장"
"BE_IW12-0258","문화공간(볼거리)","명동난타전용관 ","서울특별시 중구 명동길 26 UNESCO Building","02-739-8288 ","http://nanta.i-pmc.co.kr/ ","문화공간","공연장"
"BE_IW12-0259","문화공간(볼거리)","명동성당 꼬스트홀","중구 명동길 74(명동2가 1-8)","02-778-6295","","문화공간","공연장"
"BE_IW12-0260","문화공간(볼거리)","명동성당 꼬스트홀 ","중구 명동길 74(명동2가 1-8)","","","문화공간","공연장"
"BE_IW12-0261","문화공간(볼거리)","명동예술극장","서울시 중구 명동길 35(명동 1가 54)","1644-2003","http://www.mdtheater.or.kr/home/main.aspx","문화공간","공연장"
"BE_IW12-0262","문화공간(볼거리)","명동예술극장","중구 명동길 35(명동1가)","1644-2003","http://www.MDtheater.or.kr","문화공간","공연장"
"BE_IW12-0263","문화공간(볼거리)","명동예술극장 ","중구 명동길 35(명동 1가 54)","","","문화공간","공연장"
"BE_IW12-0264","문화공간(볼거리)","명동창고극장 ","중구 삼일대로9길 12(저동1-20)","","","문화공간","공연장"
"BE_IW12-0265","문화공간(볼거리)","명보아트홀","중구 마른내길 47(초동18-5)   ","02-2274-2121","http://www.myungbo.com/","문화공간","공연장"
"BE_IW12-0266","문화공간(볼거리)","명보아트홀 ","중구 마른내길 47(초동18-5)   ","02-2274-2121 ","http://www.myungbo.com/ ","문화공간","공연장"
"BE_IW12-0267","문화공간(볼거리)","문화일보홀","서울 중구 새문안로 22(충정로1가 68)","02-3701-5754","http://hall.munhwa.com/","문화공간","공연장"
"BE_IW12-0268","문화공간(볼거리)","문화일보홀 ","서울특별시 중구 새문안로 22","","","문화공간","공연장"
"BE_IW12-0269","문화공간(볼거리)","서울남산국악당","서울시 중구 퇴계로34길 28(필동2가 84-1)","02-2261-0515","http://www.sejongpac.or.kr/sngad/","문화공간","공연장"
"BE_IW12-0270","문화공간(볼거리)","서울남산국악당 ","중구 퇴계로 34길 28(필동2가 84-1)    ","02-2261-0515 ","http://www.sejongpac.or.kr/sngad/ ","문화공간","공연장"
"BE_IW12-0271","문화공간(볼거리)","서울애니메이션센터","중구 소파로126(예장동 8-145)  ","02-3455-8341~2","http://www.ani.seoul.kr/potal/index.jsp","문화공간","공연장"
"BE_IW12-0272","문화공간(볼거리)","서울애니메이션센터 ","중구 소파로126(예장동 8-145)  ","","","문화공간","공연장"
"BE_IW12-0273","문화공간(볼거리)","서울패션아트홀","서울시 중구 퇴계로73길 50(신당동 251-1) 서울패션센터 5층","02-3670-4567","http://www.sfdc.seoul.kr/about/service/display.asp","문화공간","공연장"
"BE_IW12-0274","문화공간(볼거리)","서울패션아트홀 ","중구 퇴계로73길 50(신당동 251-1) 서울패션센터 5층 ","","","문화공간","공연장"
"BE_IW12-0275","문화공간(볼거리)","여해문화공간","서울 중구 장충단로 204(장충동1가 26-6)","02-2274-0161","","문화공간","공연장"
"BE_IW12-0276","문화공간(볼거리)","여해문화공간 ","중구 장충단로 204(장충동1가 26-6)","","","문화공간","공연장"
"BE_IW12-0328","문화공간(볼거리)","안중근의사 기념관","중구 소월로 91(남대문로5가 471)","02-771-4195","http://www.patriot.or.kr/","문화공간","기념관"
"BE_IW12-0329","문화공간(볼거리)","안중근의사 기념관 ","중구 소월로 91(남대문로5가 471)","02-771-4195 ","http://www.patriot.or.kr/ ","문화공간","기념관"
"BE_IW12-0330","문화공간(볼거리)","영락교회 50주년 기념관","서울 중구 수표로 33(저동2가 69)","02-2273-6301","http://club.youngnak.net/information/0106_info.asp","문화공간","기념관"
"BE_IW12-0331","문화공간(볼거리)","영락교회 50주년 기념관 ","중구 수표로 33(저동2가 69)   ","02-2273-6301 ","http://youngnak.net/ ","문화공간","기념관"
"BE_IW12-0332","문화공간(볼거리)","남산도서관 ","용산구 소월로 109 (후암동) ","02-754-7338 ","http://nslib.sen.go.kr/","문화공간","도서관"
"BE_IW12-0333","문화공간(볼거리)","손기정 도서관 ","중구 손기정로101(만리동2가 6-1) 손기정공원내 생활정보도서실 ","02-313-0892 ","","문화공간","도서관"
"BE_IW12-0334","문화공간(볼거리)","손기정 도서관 ","중구 손기정로 101(만리동2가 6-1) 손기정공원내 생활정보도서실 ","02-313-0892 ","","문화공간","도서관"
"BE_IW12-0335","문화공간(볼거리)","농업박물관","중구 새문안로 16(충정로1가 75)","02-2080-5727~8 ","http://www.agrimuseum.or.kr/","문화공간","박물관"
"BE_IW12-0336","문화공간(볼거리)","동국대학교 박물관","서울시 중구 필동로1길 30(필동3가 26)","02-2260-3722 ","http://210.94.204.227/","문화공간","박물관"
"BE_IW12-0337","문화공간(볼거리)","샬트르성바오로수녀회 역사박물관 ","중구 명동길 74-2(명동2가 1-6) 샬트르성바오로수녀회","02-3706-3255  ","http://www.spcseoul.or.kr/contents/sub3_1.asp","문화공간","박물관"
"BE_IW12-0338","문화공간(볼거리)","우리은행사박물관","서울시 중구 소공로 51(회현동 1가 203) 우리은행","02-2002-5090 ","https://www.woorimuseum.com/","문화공간","박물관"
"BE_IW12-0339","문화공간(볼거리)","종이나라박물관","서울시 중구 장충단로 116 종이나라빌딩 12층","02-2279-7901","http://www.papermuseum.or.kr","문화공간","박물관"
"BE_IW12-0340","문화공간(볼거리)","지구촌민속교육박물관","서울시 중구 소파로 46(회현동 1가 100-177)","02-311-1316","http://www.serii.re.kr/cms.do?method=getCms&mcode=S059","문화공간","박물관"
"BE_IW12-0341","문화공간(볼거리)","초전섬유 퀼트박물관","중구 퇴계로 18길 66(남산동 1-20) 제일문화원 1층","02-753-4075","http://www.jculture.co.kr/museum/","문화공간","박물관"
"BE_IW12-0342","문화공간(볼거리)","한국금융사박물관","서울특별시 중구 세종대로 135-5(태평로 1가 62-12)","02-311-1316","http://www.shinhanmuseum.co.kr/","문화공간","박물관"
"BE_IW12-0343","문화공간(볼거리)","화폐금융박물관","중구 남대문로 39(남대문로3가 110)","02-759-4881","http://museum.bok.or.kr/index.do","문화공간","박물관"
"BE_IW12-0344","문화공간(볼거리)","CGV 명동","중구 명동길14(명동 2가 83-5)  눈스퀘어 8층","1544-1122","http://www.cgv.co.kr/","문화공간","영화관"
"BE_IW12-0345","문화공간(볼거리)","CGV 명동","서울 중구  명동길 14(명동 2가 83-5) 눈스퀘어 8층","1544-1122","http://www.cgv.co.kr/","문화공간","영화관"
"BE_IW12-0346","문화공간(볼거리)","CGV 명동 ","중구 명동길14(명동 2가 83-5)  눈스퀘어 8층","1544-1122 ","www.cgv.co.kr/ ","문화공간","영화관"
"BE_IW12-0347","문화공간(볼거리)","KTX시네마","서울 중구 퇴계로36나길 33(필동2가 84-101) 우성빌딩4층","02-2285-0818 ","http://www.ktxcinema.co.kr/","문화공간","영화관"
"BE_IW12-0348","문화공간(볼거리)","KTX시네마 ","중구 퇴계로36나길 33(필동2가 84-101) 우성빌딩4층","02-2285-0818  ","http://www.ktxcinema.co.kr/ ","문화공간","영화관"
"BE_IW12-0349","문화공간(볼거리)","대한극장","서울 중구 퇴계로 212(충무로4가 125)","02-3393-3500","http://www.daehancinema.co.kr/","문화공간","영화관"
"BE_IW12-0350","문화공간(볼거리)","대한극장 ","중구 퇴계로 212(충무로4가 125)","02-3393-3500 ","http://www.daehancinema.co.kr/ ","문화공간","영화관"
"BE_IW12-0351","문화공간(볼거리)","롯데시네마 ","중구 남대문로73(남대문로2가 130) 에비뉴엘 6층 7층 ","1544-8855","http://www.lottecinema.co.kr/","문화공간","영화관"
"BE_IW12-0352","문화공간(볼거리)","롯데시네마 에비뉴엘","서울시 중구 남대문로 73(남대문로2가 130) 에비뉴엘 6층 7층 ","1544-8855 ","http://www.lottecinema.co.kr/LHS/LHFS/Contents/CinemaInfo/Cinema.aspx?CinemaGroupCode=0001&CinemaCode=1001&ScreenType=100","문화공간","영화관"
"BE_IW12-0353","문화공간(볼거리)","메가박스 동대문","중구 장충단로 247(을지로6가 18-221) 굿모닝시티 9층","02-1544-0600","http://www.megabox.co.kr/theaters/main_dongdaemun.aspx?TheaterCode=12","문화공간","영화관"
"BE_IW12-0354","문화공간(볼거리)","메가박스 동대문 ","중구 장충단로 247(을지로6가 18-21) 굿모닝시티 9층","02-1544-0600 ","http://www.megabox.co.kr/theaters/main_dongdaemun.aspx?TheaterCode=12 ","문화공간","영화관"
"BE_IW12-0355","문화공간(볼거리)","서울애니시네마","서울시 중구 소파로 126(예장동 8-145)","02-3455-8341~2","http://cinema.ani.seoul.kr/","문화공간","영화관"
"BE_IW12-0356","문화공간(볼거리)","서울애니시네마 ","중구 소파로126(예장동 8-145) 서울애니메이션센터","02-3455-8341~2 ","http://cinema.ani.seoul.kr/ ","문화공간","영화관"
"BE_IW12-0357","문화공간(볼거리)","스폰지 하우스 광화문: 영화관 옆 미술관","서울시 중구 세종대로21길 40(태평로1가 61-21) 씨스퀘어빌딩 1층","02-2285-2095","http://www.spongehouse.com/","문화공간","영화관"
"BE_IW12-0358","문화공간(볼거리)","스폰지하우스 광화문ㅣ 영화관 옆 미술관 ","중구 세종대로21길 40(태평로1가 61-21) 씨스퀘어빌딩 1층 ","02-2285-2095 ","http://www.spongehouse.com/ ","문화공간","영화관"
"BE_IW12-0359","문화공간(볼거리)","씨너스EOE4","중구 장충단로 72(장충동 5-19) 남산자동차극장","02-2236-2024 ","","문화공간","영화관"
"BE_IW12-0360","문화공간(볼거리)","씨너스EOE4 ","중구 장충단로 72(장충동 5-19) 남산자동차극장","02-2236-2024  ","http://www.cinus.co.kr/Front/Theater/CinusIntro.aspx?code=1002&area=0 ","문화공간","영화관"
"BE_IW12-0361","문화공간(볼거리)","DDP(동대문 디자인 플라자)","서울시 중구 을지로 281","","http://www.ddp.or.kr","문화공간","전시장"
"BE_IW12-0362","문화공간(볼거리)","관광안내전시관","중구 청계천로 40 한국관광공사 지하1층","02-1330 / 02-729-9497~9 ","http://korean.visitkorea.or.kr/kor/hd/tour_helper/tour_info_pavilion/hd_1_1_2_1.jsp","문화공간","전시장"
"BE_IW12-0363","문화공간(볼거리)","관광안내전시관 ","중구 청계천로 40 한국관광공사 지하1층  ","1330 ","http://korean.visitkorea.or.kr/kor/hd/tour_helper/tour_info_pavilion/hd_1_1_2_1.jsp ","문화공간","전시장"
"BE_IW12-0277","문화공간(볼거리)","이화여고 100주년 기념관","중구 정동길 26(정동 32)","02-777-4257~8 ","http://www.ewha100.com/","문화공간","공연장"
"BE_IW12-0278","문화공간(볼거리)","이화여고 100주년 기념관","중구 정동길 26(정동 32)","02-777-4257~8 ","http://www.ewha100.com/","문화공간","공연장"
"BE_IW12-0439","문화재","남별영?남소영 터 (南別營?南小營址)","중구 퇴계로34길 28(필동2가 84-1)(한옥마을 내)","","","문화재","문화유적/동상"
"BE_IW12-0160","맛집","석산정","중구 을지로 153-3(산림동 294 - 0 295 296-1)","02-2266-9494","","맛집","한식"
"BE_IW12-0161","맛집","석천","중구 퇴계로 36(남창동 169 - 2)","02-756-5949","","맛집","한식"
"BE_IW12-0032","맛집","미도리일식","서울 중구 퇴계로22길 7 (남산동3가","02-776-5560","","맛집","일식"
"BE_IW12-0033","맛집","미조리","중구 세종대로18길24(북창동 14 - 5)","02-778-1131","http://www.fishjoy.co.kr","맛집","일식"
"BE_IW12-0034","맛집","복수사일식","서울특별시 중구 퇴계로 132 (남산동3가) ","02-752-7765","","맛집","일식"
"BE_IW12-0035","맛집","사보텐 무교점","중구 세종대로20길 23(무교동 25 - 1) 원창빌딩 지상1층","02-2006-1982","","맛집","일식"
"BE_IW12-0036","맛집","사조참치","서울 중구 남대문로9길 39 (을지로1가) ","02-771-8884","","맛집","일식"
"BE_IW12-0037","맛집","사조회참치","중구 세종대로 58(남대문로4가 17-7) 동성빌딩지하1층 ","02-757-9838","","맛집","일식"
"BE_IW12-0038","맛집","삼원","중구 무교로 32(무교동 1)","02-777-3680","","맛집","일식"
"BE_IW12-0039","맛집","서강일식","서울 중구 마른내로 167-42 (광희동1가)","02-2267-9959","","맛집","일식"
"BE_IW12-0040","맛집","성진","서울 중구 충무로2가 50-6 라이온스빌딩 1층","02-2269-5551","","맛집","일식"
"BE_IW12-0041","맛집","송원복집","서울 중구 명동8나길 35 (충무로1가) ","02-755-3979","http://www.songwonbok.co.kr","맛집","일식"
"BE_IW12-0042","맛집","신라다랑원","중구 세종대로12길 30(북창동 111-1)","02-771-6780","http://www.darangwon.co.kr","맛집","일식"
"BE_IW12-0043","맛집","신원","중구 무교로 17-27(태평로1가 31-20)","02-736-8000","","맛집","일식"
"BE_IW12-0044","맛집","오래복집","서울 중구 장충동2가 186-38","02-2266-9224","","맛집","일식"
"BE_IW12-0045","맛집","오륙도","중구 을지로38길 25(광희동1가 20 - 8) (지상12층)","02-2265-5420","","맛집","일식"
"BE_IW12-0046","맛집","오륙도일식","중구 을지로38길 25(광희동1가 20 - 8) (지상12층)","02-2268-0592","","맛집","일식"
"BE_IW12-0047","맛집","오양회참치","서울 중구 세종대로21길 49 (태평로1가) ","02-736-1001","","맛집","일식"
"BE_IW12-0048","맛집","유진참치","중구 세종대로 11길 42(서소문동 120-14)","02-754-9900","","맛집","일식"
"BE_IW12-0049","맛집","이경자강릉집","중구 남대문시장길 73(회현동1가 202-6)","02-318-8981","","맛집","일식"
"BE_IW12-0050","맛집","이소베","중구 세종대로 135-7(태평로1가 62 - 9) 지상1층","02-736-4480","","맛집","일식"
"BE_IW12-0051","맛집","재우","서울 중구 을지로38길 19-4 (광희동1가) ","02-2272-4600","","맛집","일식"
"BE_IW12-0052","맛집","지중해","중구 남대문로1길30-5(북창동 72)","02-755-1505","","맛집","일식"
"BE_IW12-0053","맛집","진야(구 삼복)","중구 칠패로 42(봉래동1가 10) 우리빌딩 지하1층","02-3783-7088","","맛집","일식"
"BE_IW12-0054","맛집","진야(구 삼복)","중구 칠패로 42(봉래동1가 10) 우리빌딩 지하1층","02-3783-7088","","맛집","일식"
"BE_IW12-0055","맛집","청송","서울 중구 저동1가 2-3","02-2271-0001","","맛집","일식"
"BE_IW12-0056","맛집","해조","서울특별시 중구 마른내로 18 (저동2가) ","02-2268-3165","","맛집","일식"
"BE_IW12-0057","맛집","희번일식","중구 세종대로2가길 9(남대문로5가 12 - 28)","02-773-3337","","맛집","일식"
"BE_IW12-0058","맛집","대동보성","서울 중구 남대문로5가 20-1","02-778-8081","","맛집","중식"
"BE_IW12-0059","맛집","덕화장","중구 동호로24길 41(장충동2가 12 - 3)","02-2279-4075","","맛집","중식"
