"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"549","en","Jongmyo Shrine","110-400 Jongno Jongno-gu Seoul ","03135 157 Jong-ro Jongno-gu Seoul ","+82-2-765-0195","","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","Spring & Fall (February - May September - October) 09:00 - 18:00 (Last entry at 17:00) Summer (June - August) 09:00 - 18:30 (Last entry at 17:30) Winter (November - January) 09:00 - 17:30 (Last entry at 16:30)  ¡Ø Please refer to the website ","","Tuesdays ","Subway Line 1/3/5 Jongno 3(sam)-ga Station Exits 8 & 11 (5 mins on foot)","ArchitectureJongmyoUNESCOChanggyeonggungGwanghwamunHistoricalSiteChangdeokgung","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible Restrooms"
"3102","en","Kumho Museum of Art","110-061 78 Sagan-dong Jongno-gu Seoul ","110-061 18 Samcheong-ro Jongno-gu Seoul ","+82-2-720-5114","+82-2-720-6474","http://www.kumhomuseum.com/eng/","Daily 10:00 - 18:00 (Last entry at 5:30)","","Closed Mondays Lunar New Year's Day & Chuseok","* Subway Line 3 Gyeongbokgung Station Exit 5 (10 mins on foot) * Subway Line 3 Anguk Station Exit 1 (10 mins on foot) * Subway Line 5 Gwanghwamun Station Exit 2 (15 mins on foot)","ArtGwanghwamunStationCultureGalleryGyeongbokgungStationAngukStationKumhoMuseumOfArtMuseum","Accessible Parking"
"6958","en","Kyunghee University Natural History Museum","130-050 1 Hoegi-dong Dongdaemun-gu Seoul ","02447 26 Kyungheedae-ro Dongdaemun-gu Seoul ","+82-2-961-0142","","https://nhm.khu.ac.kr/contents/01_eng_introduce.php","Daily 10:00 - 17:00 ","","Closed weekends & holidays","* Subway Line 1 Hoegi Station Exit 1 * Subway Line 1 Hankuk University of Foreign Studies Station Exit 1","KyungheeUniversityNaturalHistoryMuseumMuseumIgneousRockScienceKyungheeUniversitySedimentaryRockExhibitionNaturalHistoryHoegiStation","Accessible Parking"
"1236","en","Leeum Samsung Museum of Art ","140-893 60-16 Itaewon-ro 55-gil Yongsan-gu Seoul ","04348 60-16 Itaewon-ro 55-gil Yongsan-gu Seoul ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","Daily 10:30 - 18:00 ","","Closed Mondays New Year's weekend New Year's Day & Chuseok","Subway Line 6 Hangangjin Station Exit 1 (10 mins on foot)","HangangjinStationItaewonLeeumArtExperienceSamsungMuseumOfArtCultureGallery","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1253","zh-TW","Leeumß²àøÚ¸âúÎ½","140-893 âÏì³ã¼éÌß£Ï¡×Þ÷ÁêÂÖØ55Ê¶60-16 ","04348 âÏì³ã¼éÌß£Ï¡×Þ÷ÁêÂÖØ55Ê¶60-16 ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30~18:00 (*øÍÎ½îñìéá³ãÁï¸ò­ìýíÞ)","àøÑ¢ì£~àøÑ¢ìí","ñÎìé¡¢êªÓ©¡¢õðï½¡¢ñéõÕï½","6ûÜàÊùÓË°?ó×1ûÜõóÏ¢ÜÆú¼10ÝÂñ¤","ÙþûùçÝâúùÓÑõÔ×Ú¸âúÎ½Leeumß²àøÚ¸âúÎ½×Þ÷ÁêÂLeeum","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"21380","en","Lotte World Tower","138-240 29 Sincheon-dong Songpa-gu Seoul ","05551 300 Olympic-ro (Sincheon-dong) Songpa-gu Seoul ","+82-2-3213-5000","","http://www.lwt.co.kr/en/main/main.do","Please refer to the website.","","Open year round","Subway Lines 2 & 8 Jamsil Station Exits 2 & 11 (5 mins on foot)","LotteWorldTowerObservatoryJamsilDutyFreeAquariumSeoulSky DepartmentStoreLotteWorld","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"23833","en","Mongchon Museum Of History","138-749 88-3 Bangi-dong Songpa-gu Seoul ","05540 424 Olympic-ro Songpa-gu Seoul ","+82-2-2152-5900","","http://baekjemuseum.seoul.go.kr/dreamvillage/","Daily 09:00 - 18:00","","Closed Mondays & New Year's Day","* Subway Line 5 Olympic Park Station Exit 3 * Subway Line 8 Mongchontoseong Station Exit 1","HistoryBaekjeMongchonMuseumOfHistorySeoulBaekjeMuseumJamsilExhibitionMuseumOlympicParkMongchontoseongStationOlympicParkStation","Accessible PathwaysAccessible Restrooms"
"11472","en","Myeong-dong Tourist Information Center","  ","04538 66 Eulji-ro Jung-gu Seoul ","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","Myeong-dong Tourist Information Center / Souvenir Shop - 09:00 - 18:00","","Closed Public Holidays Every Sunday","- Euljiro 1(il)-ga Station (subway line 2) exit 5 6","Myeong-dong StationShoppingHanbokHandicraftsTourism Information CenterGift ShopMedical TourismMyeong-dong Tourist Information CenterMyeong-dongTourism Help Desk","Accessible Pathways"
"4036","en","Myeongdong Cathedral","100-022 1-1 Myeongdong 2(i)-ga Jung-gu Seoul ","100-022 74 Myeongdong-gil Jung-gu Seoul ","+82-2-774-1784","","http://www.mdsd.or.kr","","","Closed Mondays","* Subway Line 4 Myeongdong Station Exit 9 * Subway Line 2 Euljiro 1(il)-ga Station Exit 5 * Subway Line 2 Euljiro 3(sam)-ga Station Exit 12","MyeongdongCathedralSeongmoDongsanHistoricSiteHistoryReligiousSiteCatholicism","Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"37","en","Namsan Seoul Tower ","140-022 1-3 Yongsan-dong  2(i)-ga Mt Yongsan-gu Seoul Korea ","04340 105 Namsangongwon-gil Yongsan-gu Seoul Korea (Yongsan-dong 2-ga YTN Seoul Tower)","+82-2-3455-9277","","http://www.seoultower.co.kr/en/","Weekdays 12:00 - 21:00 Weekends & Public Holidays 11:00 - 21:00 *Last entry 30 minutes before close*","","","Subway Line 6 Itaewon Station Exit 4 (Take bus No. 03 ¡æ Get off at Namsan Seoul Tower) Subway Lines 3 & 4 Chungmuro Station Exit 2 (Take bus No. 02 or 05 ¡æ Get off at Namsan Seoul Tower) Subway Line 3 Dongguk Univ. Station Exit 2 (Take bus No. 02 ¡æ Get off at Namsan Seoul Tower)","NightscapeNSeoulTowerNamsanDateViewSeoulCableCarObservatoryNamsanTowerRomanticMyeongdong","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"5763","en","National Assembly Building","150-701 1 Yeouido-dong Yeongdeungpo-gu Seoul ","07233 1 Uisadang-daero Yeongdeungpo-gu Seoul ","+82-2-788-2114","+82-2-788-3664","http://korea.assembly.go.kr/","Daily 09:00 - 18:00 & Saturday 08:00 - 17:00 (Lunch Time 12:00 - 13:00)  * Entrance closes 1 hour prior to closing time","","Closed Sundays holidays & May 31st","Subway Line 9 National Assembly Station Exits 1 & 6  "," DemocracyYeouidoNationalAssemblyMembersOfficeBuildingHumanRightsNationalAssemblyStationAssemblyHistoryLibrary","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1645","en","National Folk Museum of Korea","110-820 Sejongno Jongno-gu Seoul 1-1"," 03045 37 Samcheong-ro Jongno-gu Seoul ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/english/index.do","[Fridays & Saturdays 9:00 - 21:00 (Last entry at 20:00)] * March - October 09:00 - 18:00 (Last entry at 17:00) * November - February 09:00 - 17:00 (Last entry at 16:00) * June - August 09:00 - 19:00 (Last entry at 18:00)","","","* Subway Line 3 Gyeongbokgung Station Exit 5 (5 mins on foot) * Subway Line 5 Gwanghwamun Station Exit 2 (10 mins on foot)","TraditionalCultureFolkArtsNationalFolkMuseumOfKoreaHistoryGyeongbokgungFolkCultureGyeongbokgungPalaceMuseumGyeongbokgungStation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"20600","en","National Hangeul Museum","140-026 Yongsan-dong 6ga 168-6 Yongsan-gu Seoul ","04383 139 Seobinggo-ro Yongsan-gu Seoul ","+82-2-2124-6200","","http://www.hangeul.go.kr/lang/en/","* Weekdays Sundays & Holidays 10:00 - 18:00 * Saturdays & Last Wednesday (of every month) 10:00 - 21:00 ¡Ø Last entry is 30 minutes before closing time","","Closed New Year's Day Seollal & Chuseok","* Subway Line 4 & Gyeongui-Jungang Line Ichon Station Exit 2 * Gyeongui-Jungang Line Seobinggo Station Exit 1","HangeulHunminjeongeumHangeulPlaygroundAttractionExhibitionTourismMuseumSeobinggoStationKoreanIchonStationNationalHangeulMuseum","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"6667","en","National Museum of Korean Contemporary History","03141 82-1 Sejongno Jongno-gu Seoul ","03141 198 Sejong-daero Jongno-gu Seoul ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/en/mainen.do","Daily 10:00 - 18:00 | Wednesdays 09:00 - 21:00 ","","Closed on New Year's Day & Chuseok","* Subway Line 3 Gyeongbokgung Station Exit 6 * Subway Line 5 Gwanghwamun Station Exit 2 * Subway Line 1 Jonggak Station Exits 1 & 2","MuseumNightscapeSeoulMuseumObservatoryJonggakStationNationalMuseumOfKoreanContemporaryHistoryDeclarationOfIndependenceExhibitionGwanghwamun","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"11658","en","National Museum of Modern and Contemporary Art Seoul"," Samcheong-dong Jongno-gu Seoul "," 30?Samcheong-ro?Jongno-gu?Seoul ","+82-2-3701-9500","","http://www.mmca.go.kr/eng/","Tuesdays Thursdays Fridays Sundays 10:00 - 18:00 Wednesdays & Saturdays 10:00 - 21:00 * Special Night Exhibition 18:00 - 21:00 (Free Admission)  Last Entry : 1 Hour Before Closing Time","","Closed Sundays New Year's Day Lunar New Year's Day & Chuseok ","Subway Line 3 Anguk Station Exit 1 ","HistoryMuseumArtMuseumSeoulMuseumArtContemporaryArtHistoryNationalMuseumOfHistory","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"20602","en","National Palace Museum of Korea","110-820 1-57 Sejong-ro Jongno-gu Seoul ","03045 12 Hyoja-ro Jongno-gu Seoul ","+82-2-3701-7500","","http://www.gogung.go.kr/fore/main.do?pLng=en","Daily 10:00 - 18:00  * Wednesday ? Saturday 10:00 - 21:00","","Open year round","Subway Line 3 Gyeongbokgung Station Exit 5","ExhibitionNationalPalaceMuseumOfKoreaMuseumGyeongbokgungStationAttractionCulturalPropertyArtifactTourism","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"1418","en","Seonjeongneung (Tomb)","135-090 135-4 Samseong-dong Gangnam-gu Seoul ","135-090 1 Seolleung-ro 100-gil Gangnam-gu Seoul ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","March - October Daily 06:00 - 21:00  November - January Daily 06:00 - 17:30  February 06:00 - 18:00","","Closed Mondays","Subway Line 2 & Bundang Line Seolleung Station Exit 10 Subway Line 9 Seonjeongneung Station Exit 3  ","SeoulDateSpotRecommendationSeonjeongneungCulturalHeritagePlacesToVisitInSeoulWorldCulturalHeritageUNESCOinTheCitySeoulHistoricalPlacesSeolleungSeolleungDateSpotSeoulParkJeonneungParkDateSeolleungStation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"11612","en","Seoul Baekje Museum","138-050 Bangi dong Songpa-gu Seoul 88-20","05540 71 Wiryeseong-daero Songpa-gu Seoul ","+82-2-2152-5800","+82-2-2152-5879","","* Weekdays 09:00 - 21:00 * Weekends 09:00 - 19:00 (November - February 09:00 - 18:00)","","Closed Mondays & New Year's Day (Museum opens on holidays that fall on a Monday)","* Subway Line 8 Mongchontoseong Station Exit 1 (650 m on foot) * Subway Line 5 Olympic Park Station Exit 3 (1 km on foot)","CultureExhibitionSeoulBaekjeMuseumMongchontoseongStation4DVideoZoneHistoricalSiteOlympicParkStationMuseumOlympicPark","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"100","en","Seoul City Wall","110-041 70-6 Jongno 6-ga Jongno-gu Seoul ","03038 283 Yulgok-ro Jongno-gu Seoul (Jongno 6-ga Seoul Design Support Center) ","+82-2-120","","http://seoulcitywall.seoul.go.kr/front/eng/index.do","","","","* Subway Line 3 Anguk Station Exit 2 * Subway Lines 1 & 4 Dongdaemun Station Exits 1 & 10","SeoulCityWallBugaksanDongdaemunInwangsanWalkHikingNamsanHistoricSiteNaksanHansungUnivStationFourMajorGates","Accessible ParkingAccessible Restrooms"
"10233","en","Seoul Metropolitan Library"," Jung-gu Seoul Taepyeong-ro 1-ga 31"," 04524  110 Sejong-daero Jung-gu Seoul ","+82-2-2133-0300","","http://lib.seoul.go.kr/rwww/html/en/main.jsp","* Weekdays 09:00 - 21:00 * Weekends 09:00 - 18:00","","Closed Mondays","Subway Lines 1 & 2 City Hall Station Exits 4 & 5","PublicLibraryGwanghwamunBooksEuljiroHistoricSiteLibrarySeoulCityHallArchitectureSeoulMetropolitanLibrary","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"1537","en","Seoul Museum of Art (Seosomun Main Building)","100-813 Seosomun-dong Jung-gu Seoul ","04515 61 Deoksugung-gil Jung-gu Seoul ","+82-2-2124-8800","","http://sema.seoul.go.kr/global/eindex.jsp","(March - October) Tuesdays - Fridays 10:00 - 20:00 / Weekends 10:00 - 19:00 (November - February) Tuesdays - Fridays 10:00 - 20:00 / Weekends 10:00 - 18:00 ¡Ø Museum Day (1st & 3rd Tuesday of the month) 10:00 - 22:00 ¡Ø [Museum main building] Culture Day (2nd & last Wednesday of the month)  ¡Ø [Buk Seoul Museum of Art] Culture Day (1st & 3rd Friday of the month & last Wednesday of the month)","","New Years Day","Subway Lines 1 & 2 City Hall Station Exit 10 Subway Line 5 Seodaemun Station Exit 6","MuseumDeoksugungPalaceGwanghwamunSeMAHistoricSiteSeoulMuseumOfArtSeosomunArchitectureSeodaemunStationSeoulFilmingLocation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"33884","en","Sungshin Women's University Costume Museum and Natural History Museum","  ","01133 55 Dobong-ro 76ga-gil Gangbuk-gu Seoul (Woonjung Green Campus B1)","Costume Museum: +82-2-920-2657<br>Natural History Museum: +82-2-920-7890","+82-2-920-2796","https://www.sungshin.ac.kr/sites/museum/index.do","Mon - Sat 10:00 - 17:00 (Closed Sundays and Legal Holidays)","","","Subway Line 4 Mia Station Exit 2 (10 mins on foot)","SeoulMuseumSungshinNatureUniversityCostumeLearningHistory","Accessible ParkingAccessible RestroomsElevators"
"456","en","The National Museum of Korea","  ","04383 137 Seobinggo-ro Yongsan-gu Seoul ","+82-2-2077-9000","","http://www.museum.go.kr","Tuesdays / Thursdays / Fridays 10:00 - 18:00 Wednesdays & Saturdays 10:00 - 21:00 Sundays & Holidayss 10:00 - 18:00  *  Outside exhibitions may be viewed from 07:00 ","","* Closed on Mondays January 1st Lunar New Year's Day Chuseok * Permanent exhibitions close every first Monday in April and October (April 6 2020 & November 2 2020) ¡Ø The special exhibition hall children's museum and outside exhibition hall remain open","Subway Line 4 & Gyeongui-Jungang Line Ichon Station Exit 2 (150 m on foot)","KoreaCultureChildrensMuseumMuseumNationalMuseumOfKoreaHistoryLearningTraditionYongsanExhibitions","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"2725","en","The Seoul Museum of History","110-062 2-1 Sinmunno 2(i)-ga Jongno-gu Seoul 2-1","03177 55 Saemunan-ro Jongno-gu Seoul ","+82-2-724-0274","","http://eng.museum.seoul.kr/eng/index.do","[Temporarily closed due to COVID-19] * Weekdays 09:00 ? 20:00 * Weekends & Holidays 09:00 - 19:00 (November - February 09:00 - 18:00)","","Closed Mondays & New Year's Day","* Subway Line 3 Gyeongbokgung Station Exit 7 * Subway Line 5 Seodaemun Station Exit 4 (300 m on foot) * Subway Line 5 Gwanghwamun Station Exits 7 & 8 (400 m on foot)","GwanghwamunHistoryMuseumSeoulMuseumOfHistorySeodaemunStationCultureExperienceGyeongbukgungPalace","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"2048","ja","«È«¯«¹«°«ó(??Ïà)","100-120 «½«¦«ëã¼ñé?ïöÔ× 5-1","100-120 «½«¦«ëã¼«Á«å«ó(ñé)?«»«¸«ç«ó«Ç«í99 (ïöÔ×)","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/","9:00? 21:00 (ìýíÞªÏ20:00ªÞªÇ)","","êÅèøìí","ò¢ù»?1?àÊ¡¸«·«Á«ç«ó¡¹?2ÛãõóÏ¢ ","Í¯ÏàïöÔ×?ÞÈ??ÏàÙíùÚÓû?ÐÎÓÛ","«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"5467","en","The Story of King Sejong ? The Story of Admiral Yi Sunshin","110-050 Sejong-no Jongno-gu Seoul (B2 Sejong Center for the Performing Arts)","03172 175 Sejong-daero Jongno-gu Seoul ","+82-2-399-1114","","http://www.sejongstory.or.kr/eng/main.asp","Daily 10:30 - 19:30 (Last entry 19:00 )","","Closed Mondays","* Subway Line 3 Gyeongbokgung Station Exit 6    * Subway Line 5 Gwanghwamun Station Exit 2 (30 m on foot) * Subway Line 1 Jonggak Station Exit 1","MuseumGyeongbukgungStationExhibitionYiSunshinGwanghwamunPlazaKingSejongSejongCenterForThePerformingArts","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"864","en","The War Memorial of Korea","140-021 Yongsandong 1(il)-ga Yongsan-gu Seoul 8 ","04353 29 Itaewon-ro Yongsan-gu Seoul ","+82-2-709-3139","+82-2-709-3100","https://www.warmemo.or.kr/LNG/main.do?lan=en","Daily 09:30 - 18:00 ","","Closed Mondays & the day following national holidays","* Subway Line 6 Samgakji Station Exit 1 (5 mins on foot)  * Subway Line 1 Namyeong Station Exit 1 (10 mins on foot)    * Subway Line 4 Samgakji Station Exits 11 & 12 (3 mins on foot)","GardenMuseumVietnamWarSamgakjiStationKoreanWarNamyangStationWorldWarIIItaewonYongsanChildrensMuseum","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1155","en","Yanghwajin Foreign Missionary Cemetery","121-883 46 Yanghwajin-gil Mapo-gu Seoul ","04084 46 Yanghwajin-gil Mapo-gu Seoul ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","Daily 10:00 - 17:00","","Closed Sundays ¡Ø Guided tours are not offered on Sundays Jan. 1st Lunar New Year Chuseok and Christmas","Subway Lines 2 & 6 Hapjeong Station Exit 7","MemorialCemeteryHapjeongHongdaeYanghwajinForeignMissionaryHistoricSite","Accessible ParkingAccessible PathwaysAccessible Restrooms"
