개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3000000,2.00E+18,20031020,,1,영업/정상,1,정상영업,,,,,222770114,4612.66,110126,서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가),110126,동대문종합시장 신관,2.02E+13,I,59:59.0,그 밖의 대규모점포,200647.0133,452054.7649,대규모점포
3160000,2.01E+18,20120620,,1,영업/정상,1,정상영업,,,,,02-868-8726,228.69,152720,서울특별시 구로구 구로1동 650번지 4호 SK허브수 제B동 제118호제119호제121호~126호,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호),152720,홈플러스 익스프레스 서울구로점,2.02E+13,U,05:00.0,구분없음,188674.9951,443749.503,
3070000,2.01E+18,20120521,,1,영업/정상,1,정상영업,,,,,02-941-5610,292.56,136110,서울특별시 성북구 길음동 1274번지 67호,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트),136732,롯데마이슈퍼 길음점,2.02E+13,U,05:00.0,구분없음,201706.214,456753.5656,
3000000,2.01E+18,19550705,,1,영업/정상,1,정상영업,,,,,2267-0291,16128.75,110440,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동),110834,광장시장,2.02E+13,U,06:00.0,복합쇼핑몰,199837.4143,451974.1285,
3000000,2.00E+18,19920704,,1,영업/정상,1,정상영업,,,,,02  519 2800,6906.53,110752,서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동),110752,(주)영풍문고,2.02E+13,U,09:00.0,전문점,198351.8187,451921.603,
3000000,2.01E+18,20050218,,2,휴업,2,휴업처리,,,,,22785356,6638,,서울특별시 종로구 종로3가 175번지 4호   ,,,종로세운상가,2.01E+13,I,59:59.0,그 밖의 대규모점포,,,
3000000,1.97E+18,19710906,,2,휴업,2,휴업처리,,,,,02 22785356,6194,,서울특별시 종로구 종로3가 175번지 4호   ,,,종로세운상가,2.01E+13,I,59:59.0,그 밖의 대규모점포,,,
3020000,2.00E+18,20040921,,1,영업/정상,1,정상영업,,,,,02-2012-0101,117912.81,,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),140780,아이파크몰(I PARK MALL),2.02E+13,U,08:00.0,쇼핑센터,196762.0774,447480.0396,
3000000,2.01E+18,20100218,,1,영업/정상,1,정상영업,,,,,3413-0276,8390.2,110410,서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동),110410,세운스퀘어,2.02E+13,U,04:00.0,그 밖의 대규모점포,199670.9799,452221.775,
3000000,1.99E+18,19910731,,1,영업/정상,1,정상영업,,,,,222620209,55081.94,110784,서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가),110784,동대문종합시장,2.02E+13,U,00:00.0,그 밖의 대규모점포,200717.749,452011.8651,
3000000,1.99E+18,19871207,,2,휴업,2,휴업처리,,,,,031 3395465,,,서울특별시 종로구 창신동 766호   ,,,숭인제일아케이트,2.01E+13,I,59:59.0,그 밖의 대규모점포,,,
3000000,1.99E+18,19871030,,2,휴업,2,휴업처리,,,,,222670291,,,   호   ,,,광장시장주식회사,2.01E+13,I,59:59.0,그 밖의 대규모점포,,,
3010000,2.02E+18,20191017,,1,영업/정상,1,정상영업,,,,,02-2264-8511,3778.41,,서울특별시 중구 산림동 207번지 1호 세운청계상가,서울특별시 중구 청계천로 160 세운청계상가 (산림동),4545,청계상가,2.02E+13,I,22:53.0,그 밖의 대규모점포,199521.2008,451751.4241,대규모점포
3010000,1.96E+18,19641013,,1,영업/정상,1,정상영업,,,,,02-753-2805,53845.06,100060,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),100060,서울남대문시장,2.02E+13,U,59:59.0,그 밖의 대규모점포,197951.1506,450771.0878,대규모점포
3010000,1.97E+18,19960704,,1,영업/정상,1,정상영업,,,,,02-2232-3608,6140,,,서울특별시 중구 마장로 30 (신당동),100886,팀204,2.02E+13,U,40:00.0,그 밖의 대규모점포,201096.6813,451715.8304,대규모점포
3010000,1.97E+18,19700129,,1,영업/정상,1,정상영업,,,,,02-2269-1967,15144,,,서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가),4563,통일상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200541.6377,451814.4595,대규모점포
3010000,1.97E+18,19711230,,1,영업/정상,1,정상영업,,,,,222699891,10269.89,,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),,진양상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,199571.5995,451124.8514,대규모점포
3010000,1.98E+18,19770623,,1,영업/정상,1,정상영업,,,,,02-778-4611,9578,,,서울특별시 중구 삼일대로 363 (장교동),100760,상제리제상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,198744.4332,451677.0651,대규모점포
3010000,1.98E+18,19801016,,1,영업/정상,1,정상영업,,,,,222384914,4203.03,,서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동),,(주)에리어식스,2.02E+13,I,59:59.0,그 밖의 대규모점포,200989.6866,451762.2615,대규모점포
3010000,1.99E+18,20090908,,1,영업/정상,1,정상영업,,,,,2236-8027,4097.54,100430,서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동),,우일타운,2.02E+13,I,59:59.0,전문점,201390.6235,451682.9244,대규모점포
3010000,2.01E+18,19720918,,1,영업/정상,1,정상영업,,,,,2278-5191,10041.58,100194,서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가),,대림상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,199534.3297,451608.2229,대규모점포
3160000,2.01E+18,20120420,,1,영업/정상,1,정상영업,,,,,3459-8000,246,152897,서울특별시 구로구 오류2동 160번지  외 2필지,서울특별시 구로구 서해안로 2293 (오류동외 2필지),,홈플러스 익스프레스 서울오류점,2.02E+13,U,07:00.0,구분없음,185756.1749,443268.099,
3010000,2.01E+18,19761129,,1,영업/정상,1,정상영업,,,,,02-2268-6691,18500,,,서울특별시 중구 동호로37길 20 (방산동),100812,방산종합시장,2.02E+13,I,59:59.0,그 밖의 대규모점포,200002.9527,451823.5325,대규모점포
3010000,2.01E+18,20000707,,1,영업/정상,1,정상영업,,,,,02-2256-3500,6954.85,,,서울특별시 중구 다산로 32 (신당동),100754,남산타운5상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
3010000,2.01E+18,19900604,,1,영업/정상,1,정상영업,,,,,02-2232-2000,4448,,,서울특별시 중구 마장로1길 28 (신당동),100887,아트프라자,2.02E+13,U,05:00.0,그 밖의 대규모점포,201070.9794,451874.6375,
3000000,2.01E+18,19871030,,1,영업/정상,1,정상영업,,,,,27644766,3660,,,서울특별시 종로구 종로44길 14 (창신동),110842,동문시장,2.02E+13,U,05:00.0,시장,200908.3984,452025.3465,
3010000,2.01E+18,20000707,,1,영업/정상,1,정상영업,,,,,02-2256-3500,5268.33,,,서울특별시 중구 다산로 32 (신당동),100754,남산타운2상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
3010000,2.01E+18,19960831,,1,영업/정상,1,정상영업,,,,,02-2073-5111,33008.72,,,서울특별시 중구 장충단로 13-20 (을지로6가),100851,현대시티타워,2.02E+13,I,59:59.0,쇼핑센터,,,대규모점포
3060000,2.01E+18,20110809,,1,영업/정상,1,정상영업,,,,,24348546,364.6,131233,서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동),131806,홈플러스(주)익스프레스 망우점,2.02E+13,U,03:00.0,그 밖의 대규모점포,208781.9994,454740.6269,
3010000,2.01E+18,20060317,,1,영업/정상,1,정상영업,,,,,02-2079-0950,4944.51,,,서울특별시 중구 퇴계로 123 (충무로2가),100861,하이해리엇,2.02E+13,U,40:00.0,그 밖의 대규모점포,198636.2504,451005.7216,대규모점포
3010000,2.01E+18,20000821,,1,영업/정상,1,정상영업,,,,,02-727-1471,12585.13,100881,서울특별시 중구 회현동1가 204번지 메사빌딩,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩),,신세계백화점메사점,2.02E+13,U,40:00.0,쇼핑센터,198129.4355,450900.2397,대규모점포
3010000,2.01E+18,20061023,,1,영업/정상,1,정상영업,,,,,02-2230-8200,8119,100451,서울특별시 중구 신당1동 213번지 8호,서울특별시 중구 마장로1길 22 (신당동),,올레오,2.02E+13,U,40:00.0,쇼핑센터,201040.3526,451852.1426,대규모점포
3010000,2.01E+18,19700129,,1,영업/정상,1,정상영업,,,,,02-2269-1969,15144,100726,서울특별시 중구 을지로6가 17번지,서울특별시 중구 장충단로13길 20 (을지로6가),100726,통일상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200613.5103,451817.5154,대규모점포
3010000,2.01E+18,20111007,,1,영업/정상,1,정상영업,,,,,02-2290-5853,648.4,,,서울특별시 중구 다산로 56 제지2층 제비203호 (신당동 남산정은스카이아파트),4597,롯데쇼핑(주)롯데슈퍼신당점,2.02E+13,I,59:59.0,그 밖의 대규모점포,200611.6813,449633.1352,준대규모점포
3010000,2.01E+18,20111006,,1,영업/정상,1,정상영업,,20150530,20150814,,02-778-5603,107.8,100011,서울특별시 중구 충무로1가 25번지 8호,서울특별시 중구 명동8나길 47 (충무로1가),,롯데쇼핑(주)롯데슈퍼명동점,2.02E+13,I,59:59.0,그 밖의 대규모점포,198364.6318,450975.9504,준대규모점포
3010000,2.01E+18,19791227,,1,영업/정상,1,정상영업,,,,19971227,02-772-3871,59979.25,,,서울특별시 중구 남대문로 81 (소공동),100721,롯데백화점 본점,2.02E+13,I,59:59.0,백화점,198259.6536,451392.1982,대규모점포
3010000,2.01E+18,20121227,,1,영업/정상,1,정상영업,,,,20130118,02-7262500,11576.19,100162,서울특별시 중구 봉래동2가 122번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),,롯데아울렛 서울역점,2.01E+13,I,59:59.0,쇼핑센터,197230.2061,450446.6844,대규모점포
3010000,2.01E+18,19790525,,1,영업/정상,1,정상영업,,,,,02-2238-4352,13458.03,100451,서울특별시 중구 신당1동 777번지,서울특별시 중구 마장로1길 21 (신당동),,(주)광희패션몰,2.02E+13,I,59:59.0,그 밖의 대규모점포,200982.7091,451817.384,대규모점포
3010000,2.01E+18,20140110,,1,영업/정상,1,정상영업,,,,,02-2006-2156,492.56,,,서울특별시 중구 다산로 32 (신당동),100450,(주)지에스리테일 남산타운점,2.02E+13,U,40:00.0,그 밖의 대규모점포,200984.7137,449703.2398,준대규모점포
3010000,2.01E+18,19980811,,1,영업/정상,1,정상영업,,,,,02-3393-1500,17736.37,100762,서울특별시 중구 을지로6가 18번지 185호,서울특별시 중구 장충단로 263 (을지로6가),100762,밀리오레,2.02E+13,I,59:59.0,그 밖의 대규모점포,200664.5829,451781.8684,대규모점포
3010000,2.01E+18,19761102,,1,영업/정상,1,정상영업,,,,,02-6365-5959,9316.94,,,서울특별시 중구 남대문로 30 (남창동),100804,굳앤굳 디자이너월드,2.02E+13,U,40:00.0,그 밖의 대규모점포,198079.6943,450952.1745,대규모점포
3010000,2.00E+18,19790420,,1,영업/정상,1,정상영업,,,,,22370620,6775.3,,서울특별시 중구 신당동 772호,서울특별시 중구 장충단로 282-10 (신당동),,남평화상가(주),2.02E+13,I,59:59.0,그 밖의 대규모점포,200894.4785,451877.0808,대규모점포
3010000,2.00E+18,19801220,,1,영업/정상,1,정상영업,,,,,3455-3721,6020.32,,서울특별시 중구 남창동 51번지 1호,,,숭례문상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,197831.0027,450794.3148,대규모점포
3010000,2.00E+18,19781222,,1,영업/정상,1,정상영업,,,,,02-759-6550,7676.86,,서울특별시 중구 소공동 1번지,서울특별시 중구 을지로 30 (소공동 롯데호텔),4533,호텔롯데아케이드,2.02E+13,U,40:00.0,그 밖의 대규모점포,198259.6536,451392.1982,대규모점포
3010000,2.01E+18,19990901,,1,영업/정상,1,정상영업,,,,20130118,02-390-4015,11576.19,100162,서울특별시 중구 봉래동2가 120번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),100162,롯데아울렛 서울역점,2.02E+13,U,06:00.0,쇼핑센터,197364.6268,450397.3696,
3030000,2.01E+18,20120321,,1,영업/정상,1,정상영업,,,,,02-2292-8545,293.34,133091,서울특별시 성동구 금호동1가 481번지 5호,서울특별시 성동구 행당로 6 (금호동1가),133091,홈플러스(주) 익스프레스 금호점,2.02E+13,U,07:00.0,구분없음,201772.8071,450250.3664,
3010000,2.01E+18,19811027,,1,영업/정상,1,정상영업,,,,19811027,222526744,9629.48,,,서울특별시 중구 마장로 13 (신당동),100837,제일평화시장,2.02E+13,U,09:00.0,그 밖의 대규모점포,200938.5281,451798.0031,
3010000,2.01E+18,20101008,,1,영업/정상,1,정상영업,,,,,2238-0981,17758.45,100451,서울특별시 중구 신당1동 773번지,서울특별시 중구 마장로 3 (신당동),,맥스타일,2.02E+13,U,08:00.0,구분없음,200863.5941,451837.4816,
3010000,2.01E+18,19680730,,1,영업/정상,1,정상영업,,,,,2265-9611,19023.64,,,서울특별시 중구 장충단로13길 34 (을지로6가),100850,동화상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200543.7549,451888.0403,대규모점포
3010000,2.01E+18,19960705,,1,영업/정상,1,정상영업,,,,,02-6366-3056,19056.99,,,서울특별시 중구 을지로45길 62 (신당동),100822,누죤,2.02E+13,U,40:00.0,그 밖의 대규모점포,201092.2812,451637.9327,대규모점포
3010000,2.01E+18,19990105,,1,영업/정상,1,정상영업,,,,,02-3396-1657,15695.63,,,서울특별시 중구 장충단로 275 (을지로6가),100730,두타몰,2.02E+13,U,40:00.0,그 밖의 대규모점포,200703.6256,451836.4583,대규모점포
3010000,2.01E+18,19851128,,1,영업/정상,1,정상영업,,,,,02-756-7536,13793.3,,,서울특별시 중구 남대문시장8길 7 (남창동),100804,삼익패션타운,2.02E+13,I,59:59.0,그 밖의 대규모점포,198091.2021,450913.3407,대규모점포
3010000,2.01E+18,19590224,,1,영업/정상,1,정상영업,,,,,02-2267-5617,20707,,,서울특별시 중구 을지로36길 35 (오장동),100310,중부시장,2.02E+13,I,59:59.0,그 밖의 대규모점포,200091.1676,451433.5796,대규모점포
3010000,2.01E+18,19940831,,1,영업/정상,1,정상영업,,,,,02-2237-2503,7281.04,,,서울특별시 중구 을지로45길 72 (신당동),100822,디자이너크럽,2.02E+13,U,40:00.0,그 밖의 대규모점포,201075.6067,451683.0178,대규모점포
3010000,2.01E+18,19950401,,1,영업/정상,1,정상영업,,,,,02-757-3421,3613.39,,,서울특별시 중구 명동8가길 27 (충무로2가),100860,선싸인,2.02E+13,U,40:00.0,그 밖의 대규모점포,198737.5538,451081.8946,대규모점포
3010000,2.01E+18,19970224,,1,영업/정상,1,정상영업,,,,,02-2250-1115,5590.74,,,서울특별시 중구 마장로1길 18 (신당동),100887,혜양엘리시움,2.02E+13,U,40:00.0,그 밖의 대규모점포,201047.8997,451814.3504,대규모점포
3010000,2.01E+18,20020722,,1,영업/정상,1,정상영업,,,,,02-757-3541,6752.63,,,서울특별시 중구 소월로 9 (남창동),100804,남정종합상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,197843.8207,450717.3536,대규모점포
3010000,2.02E+18,20160307,,1,영업/정상,1,정상영업,,,,,02-777-1163,9272.66,,,서울특별시 중구 을지로 276 (을지로7가 apMPLACE),4565,에이피엠플레이스,2.02E+13,I,59:59.0,쇼핑센터,200673.0115,451443.2799,대규모점포
3010000,2.02E+18,20170323,,1,영업/정상,1,정상영업,,,,,02-2290-7125,13006.43,,,서울특별시 중구 마장로 22 (신당동 DDP FASHION MALL),4566,DDP FASHION MALL,2.02E+13,I,59:59.0,그 밖의 대규모점포,200999.3562,451654.4182,대규모점포
3010000,2.02E+18,20171031,,1,영업/정상,1,정상영업,,,,,02-2006-3215,276.24,,,서울특별시 중구 만리재로 175 401동 91011호 (만리동2가),4500,지에스수퍼마켓 중구만리점,2.02E+13,I,59:59.0,구분없음,,,준대규모점포
3010000,2.00E+18,19621102,,1,영업/정상,1,정상영업,,,,,757 3541,14330,,,서울특별시 중구 퇴계로85길 22 (황학동),4576,서울중앙시장,2.02E+13,U,40:00.0,그 밖의 대규모점포,201680.0675,451610.9622,대규모점포
3010000,2.00E+18,20020722,,1,영업/정상,1,정상영업,,,,,6388-1100,13941.72,100951,서울특별시 중구 을지로6가 18번지 35호,서울특별시 중구 장충단로 253 (을지로6가),100951,헬로우에이피엠,2.01E+13,I,59:59.0,그 밖의 대규모점포,200649.7767,451689.7852,대규모점포
3010000,2.00E+18,20040601,,1,영업/정상,1,정상영업,,,,,02   4118500,11090.62,,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162,롯데쇼핑(주)롯데마트서울역점,2.02E+13,I,59:59.0,대형마트,197243.2153,450655.1042,대규모점포
3010000,2.01E+18,19830603,,1,영업/정상,1,정상영업,,,,,222328082,12192.28,100451,서울특별시 중구 신당1동 217번지 91호,서울특별시 중구 청계천로 334 (신당동),,청평화시장,2.02E+13,U,40:00.0,그 밖의 대규모점포,201250.877,451908.7738,대규모점포
3010000,2.01E+18,19731030,,1,영업/정상,1,정상영업,,,,,02 7712500,13877.55,,서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가),,롯데쇼핑본점영플라자,2.02E+13,U,40:00.0,백화점,198315.5327,451248.1416,대규모점포
3010000,2.01E+18,20060414,,1,영업/정상,1,정상영업,,,,,02 22320040,16771.51,,서울특별시 중구 신당동 193번지 2 호,서울특별시 중구 다산로 293 (신당동),,디오트,2.02E+13,U,40:00.0,그 밖의 대규모점포,201236.0315,451872.4094,대규모점포
3010000,2.01E+18,20080626,,1,영업/정상,1,정상영업,,,,,02-2290-1234,20144.48,100899,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동),100899,주식회사 이마트 청계천점,2.02E+13,U,09:00.0,대형마트,201823.909,452076.8187,
3010000,2.01E+18,20080718,,1,영업/정상,1,정상영업,,,,,02-2048-8231,27653.82,100440,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400 (황학동),,베네치아메가몰,2.02E+13,I,59:59.0,그 밖의 대규모점포,201823.909,452076.8187,대규모점포
3010000,2.01E+18,20080827,,1,영업/정상,1,정상영업,,,,,02-318-8322,5835.93,,서울특별시 중구 명동2가 31번지 1호,서울특별시 중구 명동8길 27 (명동2가 엠 플라자),4536,엠플라자(M plaza),2.02E+13,I,59:59.0,쇼핑센터,198619.3882,451135.7403,대규모점포
3010000,2.01E+18,20080916,,1,영업/정상,1,정상영업,,,,,02-2118-8700,40302.01,100729,서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,서울특별시 중구 장충단로 247 (을지로6가굿모닝시티쇼핑몰),,굿모닝시티 쇼핑몰,2.02E+13,U,40:00.0,쇼핑센터,200573.6413,451621.0365,대규모점포
3010000,2.01E+18,20020115,,1,영업/정상,1,정상영업,,,,,3783-5204,21481.63,100810,서울특별시 중구 명동2가 83번지 5호,서울특별시 중구 명동길 14 (명동2가),,눈스퀘어,2.02E+13,I,59:59.0,그 밖의 대규모점포,198418.7417,451237.1686,대규모점포
3010000,2.01E+18,20060607,,2,휴업,2,휴업처리,,,,,222005000,9782.03,,서울특별시 중구 을지로7가 105호   ,서울특별시 중구 을지로 276 (을지로7가),,라모도 쇼핑몰,2.01E+13,I,59:59.0,그 밖의 대규모점포,200673.0115,451443.2799,
3020000,2.01E+18,20120320,,1,영업/정상,1,정상영업,,,,,02-2290-5853,858.3,140026,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),140026,롯데쇼핑(주)롯데슈퍼 신동아점,2.02E+13,I,59:59.0,구분없음,198622.8926,446114.1552,준대규모점포
3020000,2.01E+18,20120323,,1,영업/정상,1,정상영업,,,,,02-793-9633,181.89,,서울특별시 용산구 한남동 631번지 5호 허준빌딩,서울특별시 용산구 대사관로34길 26 허준빌딩 1층 (한남동),4402,롯데슈퍼 한남점(가맹점),2.02E+13,U,40:00.0,구분없음,200431.1456,447763.4142,준대규모점포
3020000,2.01E+18,20140731,,1,영업/정상,1,정상영업,,,,,27135601,121.7,140160,서울특별시 용산구 남영동 93번지 30호,서울특별시 한강대로77길 12,140807,롯데쇼핑(주)롯데market999갈월점,2.02E+13,I,59:59.0,구분없음,197443.8818,448884.9576,준대규모점포
3020000,2.01E+18,20140731,,1,영업/정상,1,정상영업,,,,,27115602,643.3,,,서울특별시 용산구 백범로 341 (원효로1가),140111,롯데쇼핑(주)롯데슈퍼원효로점,2.02E+13,I,59:59.0,구분없음,197101.1275,448437.0679,준대규모점포
3020000,1.99E+18,19850701,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 용산구 한강로1가 191호   ,,,국제센터아케이드,2.01E+13,I,59:59.0,그 밖의 대규모점포,197646.514,447909.0707,
3020000,1.99E+18,19930413,,1,영업/정상,1,정상영업,,,,,02 7037091,,,서울특별시 용산구 한강로2가 413호   ,서울특별시 용산구 청파로 113-12 (한강로2가),,(주)전자타운,2.01E+13,I,59:59.0,그 밖의 대규모점포,196775.6399,447984.6345,
3020000,2.00E+18,20041222,,1,영업/정상,1,정상영업,,,,,02  799 7114,6876.34,,서울특별시 용산구 한강로2가 191호,서울특별시 용산구 한강대로 92 (한강로2가),140702,LS Avenue,2.01E+13,I,59:59.0,그 밖의 대규모점포,197099.3815,447328.5488,대규모점포
3020000,2.01E+18,19871126,,1,영업/정상,1,정상영업,,,,,02)718-7113,37901.41,,서울특별시 용산구 한강로2가 15번지 14호,서울특별시 용산구 새창로 181 (한강로2가 선인상가),4371,선인상가,2.02E+13,I,59:59.0,전문점,196839.6417,447863.232,대규모점포
3020000,2.01E+18,19750701,,1,영업/정상,1,정상영업,,,,,02)794-0343,2688.42,,서울특별시 용산구 보광동 260번지 8호,서울특별시 용산구 보광로 30 (보광동),,보광시장,2.01E+13,I,59:59.0,시장,199955.4297,447219.1616,
3020000,2.01E+18,19681109,,1,영업/정상,1,정상영업,,,,,02)714-0151,1209.2,140140,서울특별시 용산구 서계동 260번지 1호,서울특별시 용산구 효창원로 270 (서계동),140830,만리시장,2.01E+13,I,59:59.0,시장,196716.1659,449892.5577,대규모점포
3020000,2.01E+18,19870213,,1,영업/정상,1,정상영업,,,,,02-3786-6352,4845.26,140200,서울특별시 용산구 이태원동 119번지 25호,서울특별시 용산구 이태원로 179 (이태원동),,해밀톤 쇼핑몰,2.02E+13,U,59:59.0,쇼핑센터,199363.5958,448050.9263,대규모점포
3020000,2.01E+18,19871031,,1,영업/정상,1,정상영업,,,,,02  707 4628,62555.57,140013,서울특별시 용산구 한강로3가 16번지 9호,서울특별시 용산구 청파로 74 (한강로3가),,(주)에스와이에스홀딩스,2.01E+13,I,59:59.0,전문점,196370.7464,447841.6988,대규모점포
3020000,2.01E+18,19880623,,1,영업/정상,1,정상영업,,,,,02)702-3411,8382.6,140113,서울특별시 용산구 원효로3가 51번지 30호,서울특별시 용산구 청파로 77 (원효로3가),140849,원효전자상가,2.01E+13,I,59:59.0,전문점,196385.232,447938.1925,대규모점포
3020000,2.01E+18,19851112,,1,영업/정상,1,정상영업,,,,,02)795-7501,3327.67,140026,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),,신동아 쇼핑센터,2.01E+13,I,59:59.0,쇼핑센터,198622.8926,446114.1552,
3020000,2.01E+18,20120313,,1,영업/정상,1,정상영업,,,,,220772800,3271,140012,서울특별시 용산구 한강로2가 15번지 19호,서울특별시 용산구 청파로 122 (한강로2가),140012,(주)농협유통하나로클럽용산점,2.02E+13,U,40:00.0,대형마트,196813.2585,447881.9708,대규모점포
3020000,2.01E+18,19930413,,1,영업/정상,1,정상영업,,,,,7037091,10634.18,,서울특별시 용산구 한강로2가 413호,서울특별시 용산구 청파로 113-12 (한강로2가),,전자타운,2.01E+13,I,59:59.0,전문점,196775.6399,447984.6345,대규모점포
