연번,종목,명칭,지정일,분류,수량/면적
50,보물제1530호,초조본수용삼수요행법,2007-10-24,기록유산/전적류/목판본/대장도감본,1권 1축
51,보물제1539호,봉래유묵,2007-12-31,기록유산/전적류/필사본/고본,1책
52,보물제1820호,서울 옥천암 마애보살좌상,2014-03-11,유물/불교조각/석조/보살상,1점
53,보물제1901-8호,조선왕조의궤,2016-05-03,기록유산/전적류/전적류/전적류,1건 9책
54,보물제1901-12호,조선왕조의궤,2016-05-03,기록유산/전적류/전적류/전적류,1건1책
55,보물제2058호,백자 청화매조죽문 항아리,2020-01-06,유물/생활공예/토도자공예/백자,1점
56,보물제2084호,경진년 연행도첩,2020-12-22,유물/일반회화,1첩(21폭)
57,보물제2115-3호,고려사,2021-02-17,기록유산/전적류/목판본,139권 33책
58,사적제32호,서울 독립문,1963-01-21,유적건조물/인물사건/역사사건/역사사건,"1,644㎡"
59,사적제33호,서울 영은문 주초,1963-01-21,유적건조물/인물사건/역사사건/역사사건,"1,111㎡"
60,사적제275호,서울 연세대학교 스팀슨관,1981-09-25,유적건조물/교육문화/근대교육문화/학교시설,484㎡
61,사적제276호,서울 연세대학교 언더우드관,1981-09-25,유적건조물/교육문화/근대교육문화/학교시설,777㎡
62,사적제277호,서울 연세대학교 아펜젤러관,1981-09-25,유적건조물/교육문화/근대교육문화/학교시설,506㎡
63,사적제324호,서울 구 서대문형무소,1988-02-27,유적건조물/정치국방/근대정치국방/기타,"41,312㎡"
64,국가무형문화재제50호,영산재,1973-11-05,무형문화재/의례·의식/종교의례,-
65,국가무형문화재제141호,사경장,2020-07-20,무형문화재/전통기술/미술,-
66,국가민속문화재제61호,청초중단,1979-01-23,유물/생활공예/복식공예/의복,1점
67,국가민속문화재제62호,적초의,1979-01-23,유물/생활공예/복식공예/의복,1점
68,국가민속문화재제63호,왕비 녹원삼,1979-01-23,유물/생활공예/복식공예/의복,1점
69,국가민속문화재제253호,영암 최원립장군 묘 출토복식·유물,2007-10-16,유물/생활공예/복식공예/의복,41건 56점
70,서울특별시 유형문화재제33호,홍지문 및 탕춘대성,1976-06-25,유적건조물/정치국방/성/성곽시설,"전장 4,882.3m(석성 구간: 3,320.7m / 토성 구간: 1,561.6m)"
71,서울특별시 유형문화재제41호,화산군 이연 신도비,1980-06-11,기록유산/서각류/금석각류/비,"신도비 1기, 토지 9.3㎡"
72,서울특별시 유형문화재제87호,김양보 호성공신록,1992-12-31,기록유산/문서류/국왕문서/교령류,1책
73,서울특별시 유형문화재제88호,상설고문진보대전,1992-12-31,기록유산/전적류/필사본/고본,4권 2책
74,서울특별시 유형문화재제91호,양호거사비,1993-04-10,기록유산/서각류/금석각류/비,"석비 1기, 토지 0.9㎡"
75,서울특별시 유형문화재제217호,환희사 목불좌상(아미타불),2006-09-14,유적건조물/종교신앙/불교/기타,1구
76,서울특별시 유형문화재제218호,환희사 석불입상,2006-09-14,유물/불교조각/석조/불상,1구
77,서울특별시 유형문화재제222호,성변등록,2007-03-22,기록유산/문서류/관부문서/소차장계류,1점
78,서울특별시 유형문화재제296호,수선전도,2010-02-11,유물/과학기술/천문지리기구/지리,1점
79,서울특별시 유형문화재제305호,대사례도,2010-06-17,유물/일반회화/기록화/계회도,1권
80,서울특별시 유형문화재제306호,신축진연도병,2010-06-17,유물/일반회화/기록화/행렬도,1틀
81,서울특별시 유형문화재제311호,백자청화영빈이씨 묘지·명기 및 석함,2010-10-07,유물/일반조각/능묘조각/기타,32점
82,서울특별시 유형문화재제324호,고봉화상선요,2012-03-22,기록유산/문서류/사찰문서/기문류,1책
83,서울특별시 유형문화재제325호,치문경훈 권하,2012-03-22,기록유산,1책
84,서울특별시 유형문화재제326호,선원제전집도서,2012-03-22,기록유산/문서류/문서류/문서류,1책
85,서울특별시 유형문화재제363호,봉원사 아미타괘불도,2014-07-03,유물/불교회화/괘불화/석가불도,1점
86,서울특별시 유형문화재제364호,봉원사 범종,2014-07-03,유물/불교공예/기타/기타,1점
87,서울특별시 유형문화재제369호,반야암 목조관음보살좌상,2015-01-15,유물/불교조각/목조/불상,1점
88,서울특별시 유형문화재제370호,반야암 목조석가여래좌상,2015-01-15,유물/불교조각/목조/불상,1점
89,서울특별시 유형문화재제371호,반야암 석조보살좌상,2015-01-15,유물/불교조각/석조/불상,1점
90,서울특별시 유형문화재제395호,독곡집 권상,2016-10-06,기록유산/전적류/목판본/사간본,1책
91,서울특별시 유형문화재제401호,백자양각 재명 매죽문 선형필세필가,2017-04-13,유물,1점
92,서울특별시 유형문화재제402호,백자청화 칠보화훼문 사각병,2017-04-13,유물,1점
93,서울특별시 유형문화재제418호,용암사 현왕도,2017-10-12,유물/불교회화/탱화/기타,1폭
94,서울특별시 유형문화재제419호,조문명 초상,2017-12-07,유물/일반회화/인물화/초상화,1점
95,서울특별시 유형문화재제420호,해학반도도 병풍,2017-12-07,유물/일반회화,1점
96,서울특별시 유형문화재제421호,김홍도 필 매해파행도,2017-12-07,유물/일반회화,1점
97,서울특별시 유형문화재제455호,주역전의대전,2019-12-05,기록유산/전적류/목판본/관판본,1책(2권 영본)
98,서울특별시 유형문화재제458호,근사록,2019-12-05,기록유산/전적류/활자본/금속활자본,2책
99,서울특별시 유형문화재제461호,초사후어,2020-05-07,기록유산/전적류/목판본/사간본,1책
100,서울특별시 유형문화재제465호,봉원사 약사불회도,2020-08-13,유물/불교회화/탱화/불도,1점
101,서울특별시 유형문화재제466호,봉원사 독성도,2020-08-13,유물/불교회화/탱화/기타,1점
102,서울특별시 유형문화재제467호,봉원사 산신도,2020-08-13,유물/불교회화/탱화/기타,1점
103,서울특별시 유형문화재제471호,봉원사 목조지장보살삼존상 및 시왕상 일괄,2020-08-13,유물/불교조각/목조/보살상,[목조지장보살삼존상 및 시왕상 일괄]
104,서울특별시 유형문화재제472호,수륙무차평등재의촬요,2020-08-13,기록유산/전적류/목판본/사찰본,1책
105,서울특별시 유형문화재제476호,봉원사 시왕도 및 사자·장군도,2020-11-05,유물/불교회화/탱화/기타,"1건 6점(시왕도 4폭, 사자장군도 2폭)"
106,서울특별시 유형문화재제482호,봉원사 도량장엄용 불화(칠여래도사보살도팔금강도),2021-03-11,유물/불교회화,1건 19점
107,서울특별시 무형문화재제36호,입사장,2006-01-12,무형문화재,
108,서울특별시 기념물제13호,무악산동봉수대터,1993-09-20,유적건조물/교통통신/통신/봉수,토지 284.1㎡
109,서울특별시 문화재자료제69호,용암사 감로왕도,2017-10-12,유물/불교회화/탱화/불도,1폭
110,서울특별시 문화재자료제77호,봉원사 대방 석조여래좌상,2020-08-13,유물/불교조각/석조/불상,1구
111,서울특별시 문화재자료제78호,봉원사 의소제각 편액,2020-11-05,기록유산/서각류/목판각류/현판류,1점
112,서울특별시 문화재자료제79호,봉원사 지장시왕도,2020-11-05,유물/불교회화/탱화/기타,1점
113,서울특별시 문화재자료제80호,봉원사 치성광여래도,2020-11-05,유물/불교회화/탱화/불도,1점
114,국가등록문화재제14호,서울 이화여자대학교 파이퍼 홀,2002-05-31,등록문화재/기타/교육시설,"본관 1동 연면적 4,281.3㎡"
115,국가등록문화재제133호,서울 한국기독교장로회총회 선교교육원,2004-12-31,등록문화재/기타/종교시설,"1동, 지하1/2층, 연면적 509.1㎡"
116,국가등록문화재제136호,서울 구 신촌역사,2004-12-31,등록문화재/기타/공공용시설,"1동, 1층 - 연면적 162.1㎡"
117,국가등록문화재제439호,백범 김구 혈의 일괄,2009-06-26,등록문화재/기타/동산/동산,8종10점
118,국가등록문화재제440-2호,백범 김구 인장 金九,2009-06-26,등록문화재/기타/동산/동산,1과
119,국가등록문화재제440-3호,"백범 김구 인장 寬和, 金九之印, 白凡",2009-06-26,등록문화재/기타/동산/동산,3과
120,국가등록문화재제441호,백범 김구 회중시계,2009-06-26,등록문화재/기타/동산,1점
121,국가등록문화재제442-2호,백범 김구 유묵 愼其獨,2009-06-26,등록문화재/기타/동산/동산,1점
122,국가등록문화재제442-3호,백범 김구 유묵 思無邪,2009-06-26,등록문화재/기타/동산/동산,1점
123,국가등록문화재제445호,알렌의 진단서,2009-10-12,등록문화재/기타/동산,1점
124,국가등록문화재제446호,알렌의 검안경,2009-10-12,등록문화재/기타/동산,"1건(기구 1점, 함 1점)"
125,국가등록문화재제447호,제중원 1차년도 보고서,2009-10-12,등록문화재/기타/동산,1권
126,국가등록문화재제450호,분쉬의 외과도구,2009-10-12,등록문화재/기타/동산,"1건(기구 10점, 함 1점)"
127,국가등록문화재제454호,유제화형촛대,2009-10-12,등록문화재/기타/동산,1건
128,국가등록문화재제478호,찬양가,2011-10-17,등록문화재/기타/동산,1점
129,국가등록문화재제495호,러들로 흉판,2012-06-19,등록문화재/기타/동산,1점
130,국가등록문화재제506호,독립신문,2012-10-17,등록문화재/기타/동산,1식
131,국가등록문화재제507호,협성회회보,2012-10-17,등록문화재/기타/동산,1건
132,국가등록문화재제508호,매일신문,2012-10-17,등록문화재/기타/동산,1식
133,국가등록문화재제510-1호,독립신문(獨立新聞) 상해판,2012-10-17,등록문화재/기타/동산,1식
134,국가등록문화재제511호,친목회회보,2012-10-17,등록문화재/기타/동산,1식
135,국가등록문화재제548호,대한국독립협회지장,2013-08-27,등록문화재/기타/동산,"1점(높이 4.0cm, 도장 지름 3.6cm. 위 지름 3.1cm)"
136,국가등록문화재제557호,연세 101 아날로그 전자계산기,2013-08-27,등록문화재/기타/동산,1식
137,국가등록문화재제566-1호,과학조선,2013-08-27,등록문화재/기타/동산,총20호
138,국가등록문화재제651호,알렌 수증 훈공일등 태극대수장,2015-10-12,등록문화재/기타/동산,3점
139,국가등록문화재제653호,대한국야소교회 대표자 호소문,2015-12-08,등록문화재/기타/동산,1점
140,국가등록문화재제656호,고종황제 하사 족자,2016-02-11,등록문화재/기타/동산,1점
141,국가등록문화재제665호,발해태조건국지·명림답부전,2016-10-20,등록문화재/기타/동산,1권/세로 20.8×가로 14.9(㎝)
142,국가등록문화재제669호,예수성교전서,2016-12-15,등록문화재/기타/동산,1권/세로 20.5 × 가로 12.5㎝
143,국가등록문화재제679호,서울 이화여자대학교 토마스홀,2017-04-20,등록문화재/기타/교육시설,1동/ 실측면적 542㎡
144,국가등록문화재제685호,천로역정(합질),2017-05-29,등록문화재/기타/동산,"5권(목판본:2질 4책, 신활자본:1책)"
145,국가등록문화재제712호,윤동주 친필원고,2018-05-08,등록문화재/기타/동산,"6점(4책(시집 3책, 산문집 1책), 기타 낱장 모음 2종)"
146,국가등록문화재제770호,서울 연세대학교 핀슨관,2019-12-30,등록문화재/기타/교육시설,1동(344㎡)
147,국가등록문화재제793-1호,연세대학교 4월혁명연구반 4·19 혁명 참여자 조사서,2020-08-12,등록문화재/기타/동산,9건 195점
148,국가등록문화재제793-2호,연세대학교 4월혁명연구반 4·19 혁명 계엄 포고문,2020-08-12,등록문화재/기타/동산,19건 20점
149,국가등록문화재제807호,서울 연세대학교 언더우드 가옥,2021-04-05,등록문화재/기타/기타 시설물,"2동/689.34㎡(전시실 642.31㎡, 별관 47.03㎡)"
