"구분","종별","지정번호 ","문화재명","위 치","건축연도","규모","지정일자","소유권"
"등록문화재",,"3","서울 이화여자고등학교 심슨기념관","서울특별시 중구 정동 32-1","1915","1棟(2,113.1㎡)","2002-02-28","학교법인이화학원"
"등록문화재",,"11","서울 구 국회의사당","서울특별시 중구 태평로1가 60-1","1935","1棟","2002-05-31","서울특별시"
"등록문화재",,"52","구 서울특별시청사","서울특별시 중구 태평로1가 31","1926","1棟","2003-06-30","서울특별시"
"등록문화재",,"237","서울 구 대법원 청사","서울특별시 중구 서소문동 37","1928","전면, 현관","2006-03-02","서울특별시"
"등록문화재",,"238","서울 구 미국문화원","서울특별시 중구 을지로1가 63","1938","1棟(4,208.26㎡)","2006-03-02","서울특별시"
"등록문화재",,"267","경운궁 양이재","서울특별시 중구 정동3","1905","1棟(145㎡)","2006-09-19","대한성공회유지재단"
"등록문화재",,"402","서울 구 신아일보 별관","서울특별시 중구 정동 1-28","1930","1棟(2,000.53㎡)","2008-08-27","장학만"
"등록문화재",,"412","서울 신당동 박정희 가옥","서울특별시 중구 신당동 62-43","1950년대","1棟(128.93㎡)","2008-10-10","(재)육영수기념사업회"
"등록문화재",,"662","서울 남대문로 2층 한옥상가","서울특별시","1900년대","1棟(75㎡)","2016-08-17","흥국생명"
"등록문화재",,"735","서울 동국대학교 구 본관(석조관)",,"1958","1棟(1,407.4㎡)","2018-11-06","동국대학교"
