순번,본부명,소방서,주소,전화번호,FAX
44,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813,062-613-8819
45,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613,062-613-8619
46,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413,062-613-8419
47,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713,062-613-8719
48,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513,062-613-8519
49,인천소방본부,강화소방서,인천광역시  강화군 강화읍 남문로 23번길 11,032-930-5811,032-439-5119
50,인천소방본부,계양소방서,인천광역시  계양구 장제로 774(계산동),032-650-5611,032-432-0550
51,인천소방본부,미추홀소방서,인천광역시  남구 인하로 190(주안동),032-870-3216,032-461-1197
52,인천소방본부,공단소방서,인천광역시  남동구 남동서로 208(고잔동),032-723-5512,032-579-3119
53,인천소방본부,남동소방서,인천광역시  남동구 인주대로 714(구월동),032-870-5210,032-764-7109
54,인천소방본부,부평소방서,인천광역시  부평구 부평대로 324(갈산동),032-723-5310,032-766-2119
55,인천소방본부,서부소방서,인천광역시  서구 서곶로 292(심곡동),032-723-5440,032-422-0819
56,인천소방본부,송도소방서,인천광역시  연수구 첨단대로60번길 15(송도동),032-810-6609,032-506-1190
57,인천소방본부,중부소방서,인천광역시  중구 인중로 204(항동),032-870-5115,032-362-1991
58,인천소방본부,영종소방서,인천광역시  중구 중구 제2터미널대로 268(운서동),032-727-6110,032-519-1190
59,대전소방본부,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1514,042-270-1560
60,대전소방본부,동부소방서,대전광역시 동구 계족로 300,042-270-1314,042-270-1360
61,대전소방본부,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1413,042-270-1460
62,대전소방본부,서부소방서,대전광역시 서구 북부서로 67,042-270-1713,042-270-1960
63,대전소방본부,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1613,042-270-1660
64,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720,052-210-4719
65,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320,052-279-6319
66,울산소방본부,북부소방서,울산광역시 북구 화동로 178,052-229-8001,052-229-8019
67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620,052-241-6619
68,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4423,052-210-4419
69,세종소방본부,세종소방서,세종특별자치시 절재로 301(어진동),044-300-6119,044-863-1018
70,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,044-862-1995
71,경기재난안전본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,031-2808-585
72,경기재난안전본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,031-8018-3519
73,경기재난안전본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,031-8018-3559
74,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4212,031-8018-3529
75,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,031-8018-3509
76,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,031-8018-3539
77,경기재난안전본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,031-747-0119
78,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8212,없음
79,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,031-757-0119
80,경기재난안전본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0212,031-720-0509
81,경기재난안전본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,031-759-0119
82,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,031-650-4214,031-754-0003
83,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,031-280-8521
84,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,031-280-8528
85,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9212,031-280-8525
86,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286 (권선동),031-6398324,031-280-8529
87,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206 (정왕동),031-310-0212,031-280-8523
88,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,031-280-8527
89,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,031-280-8526
90,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82,031-470-0212,031-280-8520
91,경기재난안전본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8212,031-280-8524
92,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,031-280-8522
93,경기북부소방재난본부,여주소방서,경기도 여주시 우암로 110,031-887-7214,031-310-0529
94,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,031-280-8694
95,경기북부소방재난본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,031-310-0519
96,경기북부소방재난본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0212,031-310-0509
97,경기북부소방재난본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0214,031-280-8607
98,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48,031-849-7212,031-280-8611
99,경기북부소방재난본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,031-280-8615
100,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,031-280-8608
101,경기북부소방재난본부,송탄소방서,경기도 평택시 경기대로 1637,031-685-8212,031-280-8613
102,경기북부소방재난본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212,031-280-8609
103,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,031-280-8606
104,경기북부소방재난본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4212,031-280-8614
105,경기북부소방재난본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,031-280-8610
106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,043-767-4119
107,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119,043-773-0119
108,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119,043-740-7019 
109,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119,043-730-1819
110,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119,043-880-0199
111,강원소방본부,양구소방서,강원도 양구군 양구읍 중심로 92,033-482-0119,043-641-7139
112,강원소방본부,양양소방서,강원도 양양군 양양읍 남대천로 33,033-671-0119,043-830-0123
113,강원소방본부,영월소방서,강원도 영월군 영월읍 영월로 1863,033-373-1119,043-539-8129
114,강원소방본부,원주소방서,강원도 원주시 동부순환로 201,033-763-4119,043-251-0115
115,강원소방본부,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9211,043-249-9265
116,강원소방본부,정선소방서,강원도 정선군 정선읍 녹송로 27,033-563-0119,043-841-3119
117,강원소방본부,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-452-7119,043-760-0219
118,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119,043-760-0239
119,강원소방본부,태백소방서,강원도 태백시 태백로 1120,033-553-1119,043-767-4219
120,강원소방본부,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-9118,043-760-0239
121,강원소방본부,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-432-3119,043-773-0259
122,강원소방본부,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-343-0119,043-773-0219
123,강원소방본부,화천소방서,강원도 화천군 위라리길 47,033-442-1119,043-773-0239
124,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0113,043-760-0129
125,충북소방본부,단양소방서,충청북도 단양군 단양읍 별곡리 산28-4,043-767-4113,043-767-4119
126,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0113,043-773-0119
127,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7013,043-740-7019 
128,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1813,043-730-1819
129,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0113,043-880-0199
130,충북소방본부,제천소방서,충청북도 제천시 신죽하로 2164,043-641-7113,043-641-7139
131,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0113,043-830-0123
132,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8113,043-539-8129
133,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0114,043-251-0115
134,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 풍산로 64,043-249-9113,043-249-9265
135,충북소방본부,충주소방서,충청북도 충주시 도매시장4길 9번,043-841-3114,043-841-3119
136,충남소방본부,계룡소방서,충청남도 계룡시 두마면 사계로 46,041-540-5212,042-540-5219
137,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0212,041-851-0219
138,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1212,041-750-1229
139,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0212,041-730-0219
140,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5212,041-350-5219
141,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0212,041-930-0219
142,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0212,041-830-0219
143,충남소방본부,서산소방서,충청남도 서산시 호수공원14로 26-4,041-689-0212,041-689-0219
144,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0212,041-955-0219
145,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0212,041-538-0219
146,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4212,041-330-4219
147,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0212,041-570-0219
148,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32,041-360-0212,041-360-0219
149,충남소방본부,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7212,041-940-7219
150,충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0212,041-671-0219
151,충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0212,041-630-0219
152,전북소방본부,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1251,063-289-1122
153,전북소방본부,군산소방서,전라북도 군산시 번영로 308,063-450-0251,063-289-1042
154,전북소방본부,김제소방서,전라북도 김제시 벽성로 278,063-540-4251,063-289-1102
155,전북소방본부,남원소방서,전라북도 남원시 요천로 1965,063-630-8251,063-289-1092
156,전북소방본부,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1251,063-289-1132
157,전북소방본부,순창소방서,전라북도 순창군 순창읍 교성로 24,063-653-7119,063-289-1096
158,전북소방본부,완주소방서,전라북도 완주군 삼례읍 삼봉로 518,063-290-0251,063-289-1112
159,전북소방본부,익산소방서,전라북도 익산시 무왕로 1338,063-839-3251,063-289-1062
160,전북소방본부,무진장소방서,전라북도 장수군 장계면 육십령로 136,063-350-6251,063-289-1142
161,전북소방본부,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4251,063-289-1012
162,전북소방본부,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4251,063-289-1022
163,전북소방본부,정읍소방서,전라북도 정읍시 서부산업도로 507-5,063-570-1251,063-289-1082
164,전남소방본부,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0900,061-430-0740
165,전남소방본부,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0900,061-840-0740
166,전남소방본부,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0900,061-798-0740
167,전남소방본부,나주소방서,전라남도 나주시 예향로 4201,061-330-0900,061-330-0740
168,전남소방본부,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0900,061-380-0740
169,전남소방본부,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900,061-280-0740
170,전남소방본부,무안소방서,전라남도 무안군 무안읍 공항골 133-9,061-450-0900,061-450-0740
171,전남소방본부,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0900,061-859-0740
172,전남소방본부,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0900,061-750-0740
173,전남소방본부,여수소방서,전라남도 여수시 망마로 20,061-680-0900,061-680-0740
174,전남소방본부,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0900,061-350-0740
175,전남소방본부,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0900,061-460-0740
176,전남소방본부,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0900,061-360-0740
177,전남소방본부,함평소방서,전라남도 함평군 대동면 학동로386,061-338-0900,061-338-0740
178,전남소방본부,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0900,061-530-0740
179,전남소방본부,장흥소방서,전라남도 장흥군 장흥읍 원도리 215,,
180,전남소방본부,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0900,061-379-0740
181,경북소방본부,고령소방서,경상북도 고령군 고령읍 벽화길 18,054-954-4119,054-830-7816
182,경북소방본부,구미소방서,경상북도 구미시 수출대로 112,054-461-1119,054-372-6019
183,경북소방본부,김천소방서,경상북도 김천시 강변로 219(양천동),054-436-1119,054-370-8269
184,경북소방본부,문경소방서,경상북도 문경시 중앙로 305,054-559-1813,054-372-7119
185,경북소방본부,상주소방서,경상북도 상주시 상산로 322,054-530-3714,054-850-6759
186,경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193,054-933-5119,054-873-5119
187,경북소방본부,안동소방서,경상북도 안동시 육사로 301,054-855-8119,054-973-1149
188,경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1512,054-976-7118
189,경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-632-1190,054-976-0119
190,경북소방본부,영천소방서,경상북도 영천시 호국로 187,054-336-8000,054-974-3019
191,경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1312,054-970-2849
192,경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12(청복리),054-650-3414,054-971-6119
193,경북소방본부,의성소방서,경상북도 의성군 봉양면 경상북도대로 4741,054-830-7712,054-276-8648
194,경북소방본부,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8212,054-288-0909
195,경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-976-7001,054-282-2724
196,경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-284-4117,054-291-1189
197,경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2130,054-273-1184
198,경북소방본부,경주소방서,경상북도 경주시 알천남로 276,054-778-0549,054-778-0529
199,경북소방본부,경산소방서,경상북도 경산시 압량면 김유신로 12,053-811-1119,053-819-6249
200,경남소방본부,거제소방서,경상남도 거제시 진목로 1,055-689-9212,055-689-9219
201,경남소방본부,거창소방서,경상남도 거창군 거창읍 거함대로 3324,055-940-9212,055-940-9219
202,경남소방본부,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,055-670-9212,055-670-9219
203,경남소방본부,김해동부소방서,경상남도 김해시 김해대로 2507,055-320-9212,055-320-9219
204,경남소방본부,김해서부소방서,경상남도 김해시 장유로 341,055-344-9212,055-344-9219
205,경남소방본부,남해소방서,경상남도 남해군 남해읍 스포츠로 81,055-860-9212,055-860-9219
206,경남소방본부,밀양소방서,경상남도 밀양시 밀양대로 1760,055-350-9212,055-350-9219
207,경남소방본부,사천소방서,경상남도 사천시 남일로 29,055-830-9212,055-830-9219
208,경남소방본부,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,055-970-9212,055-970-9219
209,경남소방본부,양산소방서,경상남도 양산시 물금읍 황산로 719,055-379-9212,055-379-9219
210,경남소방본부,의령소방서,경상남도 의령군 의령읍 의병로 108-17,055-570-9212,055-570-9219
211,경남소방본부,진주소방서,경상남도 진주시 동진로 249,055-760-9212,055-760-9219
212,경남소방본부,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,055-259-9212,055-259-9219
213,창원소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9212,055-249-9219
214,창원소방본부,진해소방서,경상남도 창원시 진해구 진해대로 1101,055-548-9212,055-548-9219
215,창원소방본부,창원소방서,경상남도 창원시 의창구 상남로 165,055-211-9212,055-211-9219
216,경남소방본부,통영소방서,경상남도 통영시 광도면 죽림4로 49,055-640-9212,055-640-9219
217,경남소방본부,하동소방서,경상남도 하동군 금성면 금성로 15,055-880-9212,055-880-9219
218,경남소방본부,함안소방서,경상남도 함안군 가야읍 선왕길 59,055-580-9212,055-580-9219
219,경남소방본부,함양소방서,경상남도 함양군 함양읍 고운로 161-41,055-960-9212,055-960-9219
220,경남소방본부,합천소방서,경상남도 합천군 합천읍 인덕로 2453,055-930-9212,055-930-9219
221,제주소방본부,서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동),064-730-7133,730-7129
222,제주소방본부,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133,780-9129
223,제주소방본부,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),064-729-0134,729-0110
224,제주소방본부,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,064-795-0134,795-0129
