시도,시군구,업종,업소명,주소,주요품목,가격,연락처
대전광역시,동구,목욕업,효천목욕탕,대전광역시 동구 천동초등길 16,목욕료,2000원,042-282-3660
대전광역시,동구,목욕업,가오목욕탕,대전광역시 동구 대전로 461,목욕료,3000원,042-282-4945
대전광역시,동구,이미용업,은성미용실,대전광역시 동구 마을회관길 31,파마,16000원,042-283-9633
대전광역시,동구,이미용업,뿌리미용실,대전광역시 동구 새등3길 6,파마,15000원,042-286-4444
대전광역시,동구,이미용업,대광이용원,대전광역시 동구 계족로 73-2,이용료,5000원,042-282-7720
대전광역시,동구,이미용업,뉴모델이용원,대전광역시 동구 계족로 103,이용료,5000원,042-282-1933
대전광역시,동구,한식_일반,시골보리밥,대전광역시 동구 대동천 우안2길 4,보리밥,4000원,042-284-8753
대전광역시,동구,한식_일반,상주식당,대전광역시 동구 대전천동로 462,올갱이국,5000원,042-271-9121
대전광역시,동구,이미용업,착한나눔미용실,대전광역시 동구 중앙로 204번길 6,파마,15000원,042-222-0594
대전광역시,동구,이미용업,복지이용원,대전광역시 동구 대전로 791,이용료,6000원,042-251-8428
대전광역시,동구,한식_찌개류,선미식당,대전광역시 동구 대전로 791번길 41,추어탕,6000원,042-256-1049
대전광역시,동구,한식_찌개류,2900량,대전광역시 동구 대전로 815번길 5,선지해장국,3500원,042-256-8686
대전광역시,동구,한식_찌개류,생일집,대전광역시 동구 대전로 791-45,설렁탕,6000원,042-226-5254
대전광역시,동구,한식_일반,천변식당,대전광역시 동구 계족로 257-5,된장찌개,4500원,042-621-3284
대전광역시,동구,한식_일반,부림식당,대전광역시 동구 중앙로 200번길 27,백반,4000원,042-252-8346
대전광역시,동구,한식_일반,옛고을식당,대전광역시 동구 역전시장길 8,양푼이비빔밥,4000원,042-274-1983
대전광역시,동구,한식_찌개류,송림식당,대전광역시 동구 대전로 767-9,삼겹살,7000원,042-257-6266
대전광역시,동구,한식_일반,조선옥,대전광역시 동구 중앙로 194번길 64,삼계탕,8000원,042-223-7775
대전광역시,동구,한식_면류,전통칼국수,대전광역시 동구 대전로 825번길 13,칼국수,4000원,042-257-5432
대전광역시,동구,한식_일반,신도칼국수,대전광역시 동구 대전로825번길 5,칼국수,4000원,042-253-6799
대전광역시,동구,한식_면류,홍가네칼국수,대전광역시 동구 대전로 807번길 40,칼국수,4000원,042-254-5945
대전광역시,동구,한식_일반,김화식당,대전광역시 동구 중앙로 203번길 38,칼국수,3000원,042-221-7594
대전광역시,중구,한식_일반,내집식당,대전광역시 중구 대흥로121번길 42(대흥동),올갱이국,7000원,042-223-5083
대전광역시,중구,한식_육류,통발숯불구이,"대전광역시 중구 보문산로161번길 27, 1층(문화동)",생삼겹살,10000원,042-582-3515
대전광역시,중구,한식_면류,정미소문화국수,"대전광역시 중구 보문산로177번안길 44, 102호(문화동)",잔치국수,4000원,042-585-1566
대전광역시,중구,한식_일반,종가수제비,"대전광역시 중구 당디로6번길 104(문화동, 1층)",수제비,4000원,042-584-4888
대전광역시,중구,한식_찌개류,유명감자탕,대전광역시 중구 동서대로 1210(태평동),감자탕(대),25000원,042-535-9951
대전광역시,중구,세탁업,자이세탁,"대전광역시 중구 충무로107번길 100, A-106(대흥동, 센트럴자이상가1단지지하)",바지,2000원,042-252-2364
대전광역시,중구,기타서비스업,중구청앞집커피숍,"대전광역시 중구보문로 262, 104호(대흥동)",아메리카노,2000원,042-222-7977
대전광역시,중구,한식_일반,이장네,"대전광역시 중구 대둔산로 472-1, 1층(산성동)",백반,6000원,042-586-2020
대전광역시,중구,한식_육류,영빈돌솥밥돌구이,대전광역시 중구 유천로 102번길 27(유천동),생삼겹살200g,10000원,042-523-1064
대전광역시,중구,이미용업,청춘헤어,"대전광역시 중구 유천로132,1층(태평동)",컷트,5000원,042-535-7754
대전광역시,중구,한식_찌개류,진성할매추어탕,"대전광역시 중구 대전천서로 251, 1층(문창동)",추어탕,6000원,042-285-9255
대전광역시,중구,한식_육류,미가참숯구이,대전광역시 중구 계룡로 909(문화동),삼겹살(150g),10000원,042-226-9200
대전광역시,중구,중식,니하오유천점,"대전광역시 중구 평촌로 84, 1층 101호(유천동)",자장면,4000원,042-535-8070
대전광역시,중구,한식_면류,대박손칼국수,대전광역시 중구 수침로55번길 60(태평동),손칼국수,3000원,
대전광역시,중구,이미용업,여운영헤어메이크업연구소,"대전광역시 중구 목중로 45-16, 1층(목동)",컷트,7000원,
대전광역시,중구,한식_일반,시골밥상,대전광역시 중구 대종로315번길 53 (부사동),백반,5000원,042-222-6699
대전광역시,중구,한식_일반,꼬뚜레식당,"대전광역시 중구 계백로1615번길 19, 1층 (유천동)",백반,6000원,042-527-3575
대전광역시,중구,한식_일반,한우큰마당,"대전광역시 중구 태평로 143, 1층 (태평동)",등심,14000원,042-522-9393
대전광역시,중구,한식_면류,순봉홍두깨칼국수,대전광역시 중구 대전광역시 중구 문창로10번길 13 (문창동),칼국수,3500원,042-523-7785
대전광역시,중구,한식_면류,시민칼국수,"대전광역시 중구 대흥로28번길 14, 1층 (대흥동)",칼국수,5000원,042-254-0888
대전광역시,중구,한식_일반,황소삼춘네 식당,대전광역시 중구 대종로 460번길 11(대흥동),양념목살,7000원,042-226-7499
대전광역시,중구,한식_면류,신도칼국수 중촌점,대전광역시 중구 대전천서로679-1 (중촌동),칼국수,5000원,042-272-6799
대전광역시,중구,한식_일반,다전우렁쌈밥,대전광역시 중구 보문로168-20 (대사동),쌈밥정식,7000원,042-242-5989
대전광역시,중구,기타서비스업,커피동행,대전광역시 중구 중교로45 (대흥동),아메리카노,2500원,042-252-2921
대전광역시,중구,한식_일반,선화동소머리해장국,대전광역시 중구 중구 선화로 128(선화동),소머리국밥,8000원,042-637-5529
대전광역시,중구,한식_일반,돈드림병천순대,대전광역시 중구 대흥로12,사골순대국밥,6000원,042-256-9955
대전광역시,중구,한식_해산물,군산복집,대전광역시 중구 중앙로121번길20,복칼국수,5000원,042-252-3588
대전광역시,중구,한식_일반,고박사조개손칼국수,대전광역시 중구 보문로 324-8,바지락칼국수,5000원,042-257-5511
대전광역시,중구,한식_일반,우돈마루,"대전광역시 중구 목중로 50, 지하1층",냉면,5000원,042-222-1262
대전광역시,중구,세탁업,석교세탁소,대전광역시 중구 돌다리로 17,세탁료(양복상하),7000원,042-274-3382
대전광역시,중구,한식_일반,윤아식당,대전광역시 중구 대종로517번길 27,생선구이정식,5000원,042-256-3443
대전광역시,중구,한식_일반,좋은날식당,대전광역시 중구 대종로505번길 35,자장면,3500원,042-222-2356
대전광역시,중구,이미용업,빨간머리앤,대전광역시 중구 대종로505번길 44,컷트,8000원,042-255-9975
대전광역시,중구,한식_일반,고려회관,대전광역시 중구 중앙로109번길 30,한정식,10000원,042-257-4732
대전광역시,중구,한식_찌개류,두꺼비부대찌개,대전광역시 중구 중앙로109번길 24,부대찌개,8000원,042-221-1125
대전광역시,중구,한식_찌개류,팔도청국장,대전광역시 중구 중교로 36,청국장,8000원,042-223-0010
대전광역시,중구,한식_한정식,장춘수육쌈밥,대전광역시 중구 대종로505번길 56(선화동),쌈밥정식,10000원,042-221-3838
대전광역시,중구,이미용업,미스터굿데이이용원,대전광역시 중구 계백로 1540,커트,5000원,042-531-2848
대전광역시,중구,중식,중화요리CFT,대전광역시 중구 계백로1705-38,자장면,4000원,042-525-7110
대전광역시,중구,중식,도원춘,대전광역시 중구 대둔산로 415,자장면,4000원,042-585-0225
대전광역시,중구,한식_일반,광성손칼국수,대전광역시 중구 문창로 5-10,삼겹살(200g),11000원,042-221-7080
대전광역시,중구,기타서비스업,대전회관,대전광역시 중구 대흥로 174,커피(아메리카노),2000원,02-4257-5678
대전광역시,중구,이미용업,천근미용실,대전광역시 중구 천근로29-1,미용료(컷트),6000원,042-582-4955
대전광역시,중구,중식,아저씨돈까스,대전광역시 중구 중앙로164번길 22-7,돈까스,5500원,042-221-6595
대전광역시,중구,중식,영빈관식당,대전광역시 중구 대종로 83,자장면,4000원,042-286-8787
대전광역시,중구,한식_일반,123식당,대전광역시 중구 선화로 119번길29,백반,5000원,042-256-0735
대전광역시,중구,한식_찌개류,황가옥,대전광역시 중구 선화서로4,올갱이해장국,7000원,042-255-1999
대전광역시,중구,한식_찌개류,선화콩나물밥식당,대전광역시 중구 선화로119번길33,콩나물밥,4500원,042-252-5305
대전광역시,중구,한식_일반,매미식당,대전광역시 중구 대흥로73번길 13(대흥동),부대찌개,6000원,042-242-1919
대전광역시,중구,중식,하오치,대전광역시 중구 대종로517번길14,자장면,4500원,042-252-8201
대전광역시,중구,한식_면류,청양칼국수,대전광역시 중구 대종로505번길31,조개칼국수,5000원,042-255-5630
대전광역시,중구,한식_일반,이모네식당,대전광역시 중구 목척8길37,김치찌개,6000원,042-255-4779
대전광역시,중구,한식_찌개류,동원식당,대전광역시 중구 중교로 29-1,황태탕,7000원,042-252-3620
대전광역시,중구,한식_일반,장수돌솥밥,대전광역시 중구 보문로241-1,돌솥밥,7000원,042-222-7877
대전광역시,중구,한식_육류,신삼정식당,대전광역시 중구 중교로11-1,쌈밥,7000원,042-222-1533
대전광역시,중구,한식_찌개류,24시대전해장국,대전광역시 중구 우암로 12,해장국,4000원,042-255-1066
대전광역시,중구,중식,옛날전통짜장,대전광역시 중구 태평로 99-1,자장면,3000원,042-532-4494
대전광역시,중구,양식,성심당,대전광역시 중구 대종로480번길 15,튀김소보로,1500원,042-256-4114
대전광역시,서구,이미용업,수기헤어샵,대전광역시 서구 벌곡로 649(흑석동),커트,10000원,042-544-3882
대전광역시,서구,한식_일반,손님식당,대전광역시 서구 흑석3길 25(흑석동),백반,5000원,042-583-3951
대전광역시,서구,한식_일반,199숯불갈비,"대전광역시 서구 만년로18번길 38, 1층(만년동)",돼지갈비,10000원,042-822-0025
대전광역시,서구,한식_분식,수니김밥,"대전광역시 서구 갈마중로 13-16, 1층(갈마동)",김밥,2000원,042-522-0642
대전광역시,서구,중식,자금성,대전광역시 서구 신갈마로 152(갈마동),짬뽕,5000원,042-535-5008
대전광역시,서구,한식_일반,명성식당,대전광역시 서구 들말6길 16(가장동),삼계탕,10000원,042-524-7957
대전광역시,서구,한식_일반,한민보리밥,"대전광역시 서구 도솔로302번길 5, 1층 101호(괴정동)",보리밥,4500원,042-525-4257
대전광역시,서구,한식_일반,사랑만찬,"대전광역시 서구 둔산남로181번길 23, 1층(둔산동)",가정식백반,5000원,042-485-6437
대전광역시,서구,양식,아일랜드 플레이트,"대전광역시 서구 둔산남로9번길 77, 1층(둔산동)",돈가스,5500원,042-486-7900
대전광역시,서구,한식_면류,예메밀탄방본점,대전광역시 서구 탄방로7번길 137(탄방동),막국수,6000원,042-639-7799
대전광역시,서구,한식_찌개류,시골마당,"대전광역시 서구 정림로66번길 28, 1층(정림동)",김치찌개,6000원,042-582-2986
대전광역시,서구,한식_면류,동큐칼국수,"대전광역시 서구 도마2길 43, 1층(도마동)",칼국수,4000원,
대전광역시,서구,한식_면류,복수칼국수,"대전광역시 서구 복수중로 38, 유치원동 2층",칼국수,4000원,042-582-5234
대전광역시,서구,한식_분식,미소김밥,대전광역시 서구 신갈마로141번길 7-4,김치찌개,5000원,042-531-1816
대전광역시,서구,한식_일반,도솔왕돈까스와 국수,"대전광역시 서구 계룡로326번길 139-4, 1층",돈까스,6000원,042-534-2156
대전광역시,서구,한식_일반,명성식당,"대전광역시 서구 도솔로 261-2, 1층",칼국수,5000원,042-525-6271
대전광역시,서구,한식_분식,라면타임,대전광역시 서구 대덕대로 3,라면,3000원,042-526-9839
대전광역시,서구,한식_육류,흑돼지식당,"대전광역시 서구 둔산로137번길 18, 201호",냉면,5000원,042-471-2263
대전광역시,서구,한식_찌개류,서울식당,대전광역시 서구 문정로170번길 157,김치찌개,5000원,042-488-8281
대전광역시,서구,한식_육류,구름뜰,"대전광역시 서구 관저북로51번길 15-1, 1층",삼겹살,11000원,042-546-4657
대전광역시,서구,중식,교동짬뽕,"대전광역시 서구 구봉로147번길 98-11, 1층",짜장면,4000원,042-541-6658
대전광역시,서구,한식_해산물,만원에행복,대전광역시 서구 관저동로93번길 16-5,생선초밥,10000원,042-320-1112
대전광역시,서구,한식_면류,구미집,대전광역시 서구 유등로505번길 36,칼국수,5000원,042-527-6842
대전광역시,서구,한식_기타,가수원떡방앗간,대전광역시 서구 계백로1158번길 29,모시송편1팩,2000원,042-541-6581
대전광역시,서구,한식_일반,참사랑음식나라,대전광역시 서구 계룡로603번길 21(탄방동),올갱이국,6000원,042-538-8890
대전광역시,서구,한식_일반,탄방골참순대,대전광역시 서구 괴정로 151,순대국밥,6000원,042-526-8881
대전광역시,서구,이미용업,이헤어샵,"대전광역시 서구 계룡로320번길 21, 1층",커트,5000원,070-5022-7978
대전광역시,서구,중식,짜장왕,대전광역시 서구 계백로1286번길 18,짜장면,3500원,042-585-1288
대전광역시,서구,한식_일반,두레박,대전광역시 서구 정림로66번길 26,칼국수,5000원,042-585-8075
대전광역시,서구,한식_찌개류,24시 전주명가 콩나물국밥,대전광역시 서구 관저중로 88,콩나물국밥,4500원,042-544-7988
대전광역시,서구,이미용업,윤미용실,대전광역시 서구 가수원로 106 상가동,퍼머,25000원,042-541-8627
대전광역시,서구,세탁업,세탁할인점,"대전광역시 서구 월평동로 83, 상가동 209호",정장한벌,5700원,042-489-3243
대전광역시,서구,한식_기타,행복한깨강정,"대전광역시 서구 청사로 65, 지하22호",깨강정,7000원,042-484-3573
대전광역시,서구,한식_면류,참맛있는칼국수,"대전광역시 서구 청사서로54번길 17, 2층",왕만두,4000원,042-483-9259
대전광역시,서구,한식_면류,진칼국수,대전광역시 서구 도마2길 24,칼국수,3000원,042-522-1751
대전광역시,서구,중식,짬뽕명가상하이,대전광역시 서구 도마로 75,자장면,3000원,042-536-3939
대전광역시,서구,한식_면류,궁중칼국수,대전광역시 서구 월평서로6번길 61,칼국수,5000원,042-471-5566
대전광역시,서구,한식_일반,옛집콩나물밥,대전광역시 서구 청사서로41 백합상가B16,콩나물밥,4500원,042-489-1197
대전광역시,서구,한식_육류,흑석한우마을,대전광역시 서구 금평3길 17,선짓국,5000원,042-587-0092
대전광역시,서구,한식_면류,미정손칼국수 만두,"대전광역시 서구 구봉로131번길 38, 109호",손칼국수,3000원,042-542-6679
대전광역시,서구,이미용업,수정미용실,대전광역시 서구 괴정로 106,커트,5000원,042-523-1455
대전광역시,서구,이미용업,샛별미용타운,대전광역시 서구 청사서로 29 상가 B1층,퍼머,20000원,042-487-8210
대전광역시,서구,한식_일반,탄방골참순대,대전광역시 서구 한밭대로570번길 38,순대국밥,6000원,042-482-5288
대전광역시,서구,세탁업,백양세탁소,대전광역시 서구 들말4길 16,양복한벌,6000원,042-531-0056
대전광역시,서구,이미용업,로마이용원,대전광역시 서구 들말4길 7,이용료,10000원,042-535-4807
대전광역시,서구,한식_일반,조아식당,대전광역시 서구 계룡로 649번길 49,된장찌개,6000원,042-527-3441
대전광역시,서구,이미용업,신일미용실,대전광역시 서구 계룡로 663-17,커트,6000원,042-533-2281
대전광역시,서구,한식_일반,우래정,대전광역시 서구 도마5길 7,삼겹살,10000원,042-524-2210
대전광역시,서구,한식_일반,황토우렁쌈밥,대전광역시 서구 대덕대로324번길 29,황태해장국,5000원,042-484-7997
대전광역시,서구,한식_분식,행복한분식,대전광역시 서구 둔산로206번길 15,손수제비,5000원,042-484-2080
대전광역시,서구,한식_분식,참사랑김밥,대전광역시 서구 신갈마로 140,김치찌개,5000원,042-537-8989
대전광역시,서구,한식_찌개류,전통콩나물밥식당,대전광역시 서구 월평중로4번길 80,콩나물밥,4000원,042-483-8898
대전광역시,서구,이미용업,장미미용실,대전광역시 서구 월평새뜸로8번길 61-5,퍼머,20000원,042-483-6336
대전광역시,서구,이미용업,유진이용원,대전광역시 서구 도마2길 73,이용료,9000원,042-532-4688
대전광역시,서구,이미용업,원헤어라인,대전광역시 서구 가수원로7번길 14,퍼머,20000원,042-542-9952
대전광역시,서구,한식_면류,우두령,대전광역시 서구 둔산중로134번길 21,냉면,5000원,042-477-0707
대전광역시,서구,이미용업,용문이용원,대전광역시 서구 괴정로189번길 49,이용료,7000원,042-533-3851
대전광역시,서구,한식_면류,옛터국수전문점,대전광역시 서구 월평새뜸로4번길 69,잔치국수,4000원,042-483-3579
대전광역시,서구,기타양식,옛맛치킨호프,대전광역시 서구 월평로 83,치킨,15000원,042-484-3231
대전광역시,서구,한식_면류,30년전통옛날손칼국수,대전광역시 서구 월평중로4번길 82,칼국수,5000원,042-476-0069
대전광역시,서구,한식_육류,예술마당,대전광역시 서구 둔산로137번길 27,돼지석갈비,8000원,042-489-8183
대전광역시,서구,한식_기타,알리앙스뷔페,대전광역시 서구 한밭대로 809 사학연금회관 3층,한식정식뷔페,5500원,042-488-3131
대전광역시,서구,한식_면류,신공주칼국수,대전광역시 서구 갈마로313번길 22,칼국수,5000원,042-526-0671
대전광역시,서구,이미용업,슈헤어갤러리,대전광역시 서구 월평서로6번길 66,퍼머,20000원,042-486-6650
대전광역시,서구,이미용업,수 헤어갤러리,대전광역시 서구 도솔로 261-2,퍼머,30000원,042-535-3122
대전광역시,서구,한식_찌개류,송가네닭발,대전광역시 서구 계백로1286번길 77,선짓국,4000원,042-586-5442
대전광역시,서구,세탁업,세탁풍경,대전광역시 서구 관저중로84번길 6,정장한벌,4800원,042-544-3149
대전광역시,서구,한식_면류,서해해물칼국수,대전광역시 서구 계룡로662번길 14,된장찌개,5000원,042-532-7327
대전광역시,서구,한식_분식,새벽김밥,대전광역시 서구 벌곡로1379번길 13,김밥,1500원,042-541-9977
대전광역시,서구,한식_육류,산막골가든,대전광역시 서구 장안로 772-62,삼겹살,8000원,042-585-2475
대전광역시,서구,중식,북경대반점,대전광역시 서구 도산로 147-2,자장면,2500원,042-525-1178
대전광역시,서구,한식_찌개류,본가옥해장국,"대전광역시 서구 동서대로 1052, 1층",콩나물해장국,4000원,042-523-9343
대전광역시,서구,한식_찌개류,본가닭탕,대전광역시 서구 계룡로509번길 21,김치찌개,5000원,042-485-0085
대전광역시,서구,한식_일반,뱃고동쭈꾸미낙지전문점,대전광역시 서구 만년로18번길 15,김치찌개,6000원,042-489-4992
대전광역시,서구,한식_분식,명랑분식,대전광역시 서구 둔산남로199번길 15,청국장,6000원,042-472-5345
대전광역시,서구,한식_찌개류,머슴촌해장국,대전광역시 서구 둔산로51번길 66,콩나물해장국,5000원,042-487-9988
대전광역시,서구,중식,매일반점,대전광역시 서구 사마1길 16,자장면,1500원,042-533-3228
대전광역시,서구,중식,만빈각,대전광역시 서구 들말6길 8,자장면,2000원,042-526-3578
대전광역시,서구,한식_면류,라면타임,대전광역시 서구 도산로 61,돈까스,4500원,042-527-0339
대전광역시,서구,한식_육류,둔산오리돼지숯불구이,대전광역시 서구 둔산남로165번길 11,김치찌개,6000원,042-482-0819
대전광역시,서구,한식_육류,둔산돌구이,대전광역시 서구 둔산중로58번길 49,냉면,5000원,042-482-5955
대전광역시,서구,양식,동키치킨,대전광역시 서구 문정로170번길 150,치킨,9900원,042-485-9848
대전광역시,서구,중식,대화장,대전광역시 서구 사마1길 14,자장면,3000원,042-523-8830
대전광역시,서구,한식_육류,대박고기촌,대전광역시 서구 동서대로1080번길 1,삼겹살,10000원,042-527-6800
대전광역시,서구,한식_육류,담양애떡갈비,대전광역시 서구 만년남로3번길 16-8,불고기,7000원,042-636-9904
대전광역시,서구,한식_찌개류,놀부네남원추어탕,대전광역시 서구 월평로37번길 9,추어탕,7000원,042-484-3353
대전광역시,서구,한식_분식,김밥천국,대전광역시 서구 갈마로 55,된장찌개,5000원,042-527-0600
대전광역시,서구,이미용업,김영숙미용실,대전광역시 서구 둔산로206번길 15,퍼머,25000원,042-486-4611
대전광역시,서구,한식_분식,김밥나라,대전광역시 서구 둔산로 210,된장찌개,5000원,042-483-7114
대전광역시,서구,이미용업,기쁨주는머리방,대전광역시 서구 계백로1158번길 79,퍼머,25000원,042-544-4934
대전광역시,서구,이미용업,궁중미용실,대전광역시 서구 가수원중로 4-22,퍼머,20000원,042-541-1159
대전광역시,서구,한식_찌개류,국일식당,대전광역시 서구 계룡로636번길 14-26,된장찌개,6000원,042-527-1891
대전광역시,서구,한식_일반,만년건강보리밥,대전광역시 서구 만년남로11번길 43,보리밥,5000원,042-482-4243
대전광역시,서구,한식_육류,갑돌갈비,대전광역시 서구 조달청길 113,돼지갈비,11000원,042-525-5720
대전광역시,서구,한식_육류,갈비가,대전광역시 서구 가수원로 35,갈비(200g),8000원,042-541-5415
대전광역시,유성구,한식_분식,울트라김밥,"대전광역시 유성구 궁동로 18번길 80, 1층(궁동)",김밥,2000원,042-825-5547
대전광역시,유성구,한식_일반,장수순대,대전광역시 유성구 대정남로 16(대정동),머리국밥,4500원,042-584-9494
대전광역시,유성구,한식_일반,신가네해장국,대전광역시 유성구 유성대로 2(원내동),선지해장국,6000원,042-541-0308
대전광역시,유성구,기타양식,쥬스킹,대전광역시 유성구 학하서로121번길 31-2(덕명동),쥬스,2500원,
대전광역시,유성구,한식_일반,청주해장국,대전광역시 유성구 온천로 63(봉명동),선지해장국,6000원,042-822-0050
대전광역시,유성구,한식_일반,청주해장국,대전광역시 유성구 대덕대로 560(도룡동),콩나물국,6000원,042-864-0630
대전광역시,유성구,한식_일반,춘천닭갈비,대전광역시 유성구 구즉로48번길 25(송강동),닭갈비,8000원,042-935-7892
대전광역시,유성구,한식_일반,맛존매콤닭불고기,대전광역시 유성구 대학로155번길 34(궁동),매콤닭불고기,4000원,042-824-1959
대전광역시,유성구,중식,신성짬뽕,대전광역시 유성구 신성로61번길 72(신성동),자장면,3500원,042-383-8289
대전광역시,유성구,한식_일반,천리집,대전광역시 유성구 신성남로 127(신성동),순대국,6000원,042-864-3880
대전광역시,유성구,한식_일반,부대통령 뚝배기,대전광역시 유성구 문화원로 56(궁동),순두부찌개,3800원,042-826-9879
대전광역시,유성구,한식_일반,전주명가콩나물국밥,대전광역시 유성구 계룡로52번길 11(봉명동),콩나물국밥,4500원,042-825-5543
대전광역시,유성구,한식_일반,예전손칼국시,"대전광역시 유성구 계룡로 41-7(봉명동,1층)",칼국수,5000원,042-823-4944
대전광역시,유성구,한식_일반,삼남매,대전광역시 유성구 유성대로730번길 24(장대동),소고기국밥,5000원,042-825-8551
대전광역시,유성구,한식_일반,민들레 집뜰,대전광역시 유성구 문화원로46번길 12(궁동),백반,5000원,042-825-1982
대전광역시,유성구,이미용업,헤어핀미용실,대전광역시 유성구 계룡로52번길67,커트(남/여),6000원,042-482-7064
대전광역시,유성구,한식_일반,학사식당,대전광역시 유성구 대학로76번안길 32,한식,4000원,042-822-6199
대전광역시,유성구,한식_분식,동큐칼국수,대전광역시 유성구 대학로75번길 10,칼국수,3000원,042-822-9397
대전광역시,유성구,한식_분식,충대분식,대전광역시 유성구 궁동로18번길 30,소고기덮밥,4000원,042-826-0022
대전광역시,유성구,세탁업,대학세탁소,대전광역시 유성구 대학로 291,양복한벌,4100원,042-350-4938
대전광역시,유성구,이미용업,착한이용원,대전광역시 유성구 진잠로 78번길 34,컷트,5000원,
대전광역시,유성구,한식_일반,황토가마,대전광역시 유성구 대학로 145번길 21,생삼겹살,6000원,042-822-5833
대전광역시,유성구,한식_면류,토종칼국수,대전광역시 유성구 노은서로 61,칼국수,5000원,042-822-1118
대전광역시,유성구,이미용업,정운미용실,대전광역시 유성구 장대로 27,커트,5000원,042-320-1458
대전광역시,유성구,이미용업,자매미용실,대전광역시 유성구 장대로 21,커트,7000원,042-822-8864
대전광역시,유성구,이미용업,고운미용실,대전광역시 유성구 유성대로 720번길 92,커트,6000원,042-822-9295
