순번,약국명칭,약국전화번호,약국소재지(도로명),
67,사랑우리들약국,042-625-1945,대전광역시 동구 계족로392번길 64 (성남동),
68,유림약국,042-274-4782,대전광역시 동구 대전로779번길 5 (원동),
69,임마누엘약국,042-535-6293,대전광역시 동구 현암로 18 (삼성동),
70,플러스한국약국,042-631-9765,대전광역시 동구 동서대로 1670 (성남동),
71,칠성약국,042-672-9975,"대전광역시 동구 동대전로 231, 제2동 (가양동)",
72,한솔약국,042-635-7388,대전광역시 동구 계족로 393-1 (성남동),
73,판암늘사랑약국,042-272-8250,대전광역시 동구 옥천로 170 (판암동),
74,동해당약국,042-257-3229,대전광역시 동구 대전로815번길 1 (정동),
75,삼성약국,042-631-6654,대전광역시 동구 계족로 412 (용전동),
76,가오예시티약국,042-286-2200,대전광역시 동구 동구청로 95 (가오동),
77,노닐약국,042-622-5511,대전광역시 동구 동서대로 1689 (용전동),
78,새시대약국,042-624-3115,대전광역시 동구 태전로 163 (삼성동),
79,하늘약국,042-286-2275,"대전광역시 동구 은어송로 62, 105호 (가오동, 지오빌딩)",
80,푸르디푸른약국,042-631-7578,대전광역시 동구 동서대로1668번길 33 (성남동),
81,중도한약국,042-253-8829,대전광역시 동구 대전로813번길 24 (중동),
82,해오름약국,042-282-8300,대전광역시 동구 계족로 75 (신흥동),
83,푸른태평양약국,042-632-8800,대전광역시 동구 충정로 137 (자양동),
84,새가양약국,042-625-8997,대전광역시 동구 우암로 326 (가양동),
85,오 약 국,042-272-8062,대전광역시 동구 옥천로180번길 4 (판암동),
86,다정약국,042-633-3967,대전광역시 동구 우암로 229 (가양동),
87,효촌약국,042-628-6429,대전광역시 동구 계족로382번길 35 (성남동),
88,장원약국,042-634-8502,대전광역시 동구 계족로 254 (소제동),
89,대동약국,042-256-0787,대전광역시 동구 중앙로 209-1 (중동),
90,대전종로약국,042-636-8080,대전광역시 동구 동서대로 1629-6 (홍도동),
91,소영약국,042-672-4170,대전광역시 동구 태전로 175 (삼성동),
92,한독약국,042-256-8055,대전광역시 동구 중앙로 193 (중동),
93,한일약국,042-631-1119,대전광역시 동구 우암로147번길 3 (삼성동),
94,동인약국,042-271-7427,대전광역시 동구 산내로 1360 (낭월동),
95,청우온누리약국,042-273-8300,대전광역시 동구 옥천로180번길 18 (판암동),
96,녹십자약국,042-623-1223,대전광역시 동구 동대전로284번길 3 (가양동),
97,백화당약국,042-633-2046,"대전광역시 동구 동서대로 1653, 1층 (용전동)",
98,용 약 국,042-285-7822,대전광역시 동구 대전로 619 (효동),
99,홍도약국,042-627-2349,대전광역시 동구 홍도로 21 (홍도동),
100,건강제일약국,042-632-0881,대전광역시 동구 동대전로 90 (대동),
101,하나약국,042-635-9639,대전광역시 동구 우암로 172 (성남동),
102,한사랑약국,042-222-2560,대전광역시 동구 대전천동로 574 (중동),
103,온누리윤약국,042-634-0344,대전광역시 동구 계족로 490 (용전동),
104,태평양약국,042-633-7575,대전광역시 동구 동대전로 81 (대동),
105,용전약국,042-624-8981,"대전광역시 동구 계족로 416, 1층 (용전동)",
106,명지약국,042-672-6683,대전광역시 동구 태전로 169 (삼성동),
107,신독일약국,042-635-2300,대전광역시 동구 우암로 310 (가양동),
108,민정약국,042-282-6264,대전광역시 동구 동대전로 72-1 (대동),
109,대성당약국,042-626-6388,대전광역시 동구 계족로 324 (성남동),
110,유심약국,042-625-7347,대전광역시 동구 흥룡로 37 (가양동),
111,신유약국,042-625-0172,"대전광역시 동구 동서대로1748번길 82, 1층 (가양동)",
112,동춘약국,042-273-2244,대전광역시 동구 대전로 788 (중동),
113,구일약국,042-282-9108,대전광역시 동구 계족로 34 (효동),
114,유신약국,042-257-5054,대전광역시 동구 대흥로 211-1 (원동),
115,버들온누리약국,042-622-0036,대전광역시 동구 동산초교로23번길 5 (홍도동),
116,근영약국,042-672-5210,대전광역시 동구 동대전로284번길 120 (가양동),
117,길 약 국,042-284-7416,대전광역시 동구 천동초등동길 14 (효동),
118,남정약국,042-623-1688,대전광역시 동구 동대전로 59 (대동),
119,성모약국,042-672-9707,대전광역시 동구 동대전로 200 (자양동),
120,진문약국,042-283-4238,대전광역시 동구 충무로 193 (인동),
121,가오약국,042-283-3621,대전광역시 동구 대전로 463 (가오동),
122,여명약국,042-273-8279,대전광역시 동구 계족로 73 (신흥동),
123,자영약국,042-632-8248,대전광역시 동구 계족로 255 (소제동),
