순번,의료기관명,의료기관주소(도로명),의료기관전화번호
70,우리플란트치과의원,"대전광역시 서구 둔산서로 84, 2층 (둔산동)",042-477-2008
71,미포인트치과의원,"대전광역시 서구 도안북로 107, 402호 (도안동)",042-826-2752
72,화이트플러스치과의원,"대전광역시 서구 대덕대로 200, 201호 (둔산동)",042-471-4009
73,예스덴치과의원둔산점,"대전광역시 서구 청사로 282, 301호 (둔산동, 수정타운아파트 상가)",042-484-0028
74,가톨릭치과의원,"대전광역시 서구 도산로 351, 3층 (용문동)",042-535-2275
75,힘플란트치과의원,"대전광역시 서구 갈마로 274, 4층 (내동)",042-522-0633
76,대전퍼스트치과의원,"대전광역시 서구 둔산중로46번길 10, 4층 (둔산동)",042-242-2804
77,이용화플란트치과의원,"대전광역시 서구 둔산남로 93, 3층 (둔산동)",042-716-1000
78,지성연합치과의원,"대전광역시 서구 정림로 55, 303호 (정림동)",042-242-2875
79,오페라치과의원,"대전광역시 서구 둔산남로 46, 3층 (둔산동, BYC빌딩)",042-488-4875
80,예스플러스치과의원,"대전광역시 서구 문정로 66, 2층 (탄방동)",042-477-0428
81,조이플치과의원,"대전광역시 서구 청사로 281, 221,222호 (둔산동, 샘머리A 상가)",042-826-0888
82,워싱턴치과의원,"대전광역시 서구 대덕대로 164, 6층 (갈마동)",042-471-6222
83,둔산유디치과의원,"대전광역시 서구 대덕대로 195, 5층 (둔산동)",042-485-7744
84,이지킴연합치과의원,"대전광역시 서구 청사서로 44, 2층 (월평동)",042-483-0021
85,시티치과의원,"대전광역시 서구 둔산로 76, 5층 (둔산동)",042-488-2288
86,서울플란트치과의원,"대전광역시 서구 대덕대로220번길 17, 3,4층 (둔산동)",042-841-2228
87,아이비치과의원,"대전광역시 서구 복수중로 38, 207,208호 (복수동, 삼익A B상가)",042-587-7528
88,정플란트치과의원,"대전광역시 서구 관저동로73번길 6, 2층 (관저동)",042-365-2875
89,안광호치과의원,"대전광역시 서구 둔산남로 107, 3층 (둔산동)",042-487-7528
90,아이앤조이치과의원,"대전광역시 서구 계룡로553번길 18, 2층 204호 (탄방동)",042-483-2875
91,녹원리빙웰치과의원,"대전광역시 서구 둔산로 136, 3층 301호 (둔산동)",042-485-9494
92,복수이안치과의원,"대전광역시 서구 복수동로 52, 202호 (복수동)",042-584-2754
93,보스톤치과의원,"대전광역시 서구 둔산로 144, 6층 (둔산동)",042-671-2000
94,이재학치과의원,"대전광역시 서구 청사로 148, 204,205호 (둔산동, 매그놀리아)",042-486-2870
95,이엘아이별치과의원,"대전광역시 서구 둔산로 129, 302호 (둔산동)",042-482-2855
96,고운턱치과의원,"대전광역시 서구 둔산로31번길 13, 6층 (둔산동)",042-471-2028
97,유디치과의원,"대전광역시 서구 대덕대로 319, 215호 (월평동)",042-471-2600
98,루미네스치과의원,"대전광역시 서구 문정로48번길 70, 2층 202호 (탄방동)",042-472-0111
99,연세해맑은치과의원,"대전광역시 서구 둔산로 26, 501호 (둔산동)",042-471-2888
100,서울하이안치과의원,"대전광역시 서구 대덕대로 238, 3층 (둔산동, 킴벨빌딩)",042-486-2822
101,서울리즈치과의원,"대전광역시 서구 청사서로 41, 207호 (월평동, 백합상가)",042-484-2755
102,클래스원치과의원,"대전광역시 서구 둔산중로 66, 2층 205호 (둔산동)",042-482-9502
103,선일부부치과의원,"대전광역시 서구 신갈마로 46, 402호 (내동, 롯데아파트상가)",042-532-3498
104,예치과의원,"대전광역시 서구 둔산서로 59, 3층 (둔산동)",042-488-2833
105,마로니에치과의원,"대전광역시 서구 둔산로 25, 5층 (둔산동)",042-476-7528
106,한홍치과의원,"대전광역시 서구 문예로 43, 601호 (둔산동)",042-489-5444
107,연세길치과의원,"대전광역시 서구 둔산로 121, 5층 (둔산동)",042-482-2875
108,디에르치과의원,"대전광역시 서구 둔산로 20, 6층 (둔산동)",042-487-7599
109,베스트미소치과의원,"대전광역시 서구 계룡로 631, 2층 (탄방동)",042-531-8030
110,이안치과의원,"대전광역시 서구 대덕대로 197, 4층 (둔산동, 영남빌딩)",042-482-7528
111,연세본치과의원,"대전광역시 서구 대덕대로 194, 402호 (둔산동, 백마빌딩)",042-488-9275
112,미소가있는치과의원,"대전광역시 서구 대덕대로 202, 6,9층 (둔산동)",042-485-0030
113,수연합치과의원,"대전광역시 서구 배재로 152, 2층 (도마동)",042-583-7528
114,상쾌한이치과의원,"대전광역시 서구 계백로 1426, 204호 (도마동, 써머스빌)",042-586-7728
115,서울나우치과의원,"대전광역시 서구 관저로 164, 3층 (관저동, 정원빌딩)",042-543-2193
116,올리브치과의원,"대전광역시 서구 복수동로 42, 2층 (복수동)",042-582-7528
117,디앤에이치과의원,"대전광역시 서구 도안동로 6, 304,305호 (가수원동, 이레리치빌딩)",042-544-2275
118,램브란트치과의원,"대전광역시 서구 둔산남로 85, 205호 (둔산동, 크레온빌딩)",042-484-2275
119,훈치과의원,"대전광역시 서구 관저로 157, 310호 (관저동, 하이존상가)",042-542-7528
120,초록치과의원,"대전광역시 서구 복수동로 44, 4층 (복수동, 대광빌딩)",042-587-2828
121,피노키오치과의원,"대전광역시 서구 대덕대로 243, 5층 (둔산동)",042-487-6275
122,연세민치과의원,"대전광역시 서구 둔산로 216, 2층 (둔산동)",042-472-2833
123,이창근치과의원,"대전광역시 서구 둔산로 34, 7층 (둔산동)",042-482-2080
124,서대전이미지연합치과의원,"대전광역시 서구 관저로 172, 202호 (관저동, 관저타워)",042-545-2275
125,행복더하기치과의원,"대전광역시 서구 대덕대로 198, 3층 (둔산동)",042-488-2879
126,서울바른치과교정과치과의원,"대전광역시 서구 대덕대로 200, 7층 (둔산동)",042-483-8528
127,새하늘치과의원,"대전광역시 서구 계룡로 633, 8층 (탄방동)",042-537-7570
128,다복치과의원,"대전광역시 서구 계백로1158번길 76, 2층 (가수원동)",042-542-2235
129,덴탈스파치과의원,"대전광역시 서구 문정로2번길 95, 주안빌딩 2층 201호 (탄방동)",042-471-5275
130,굿모닝치과의원,"대전광역시 서구 관저로 171 (관저동, 사이버타운 301호)",042-544-2870
131,시카고치과의원,"대전광역시 서구 둔산중로 50, 파이낸스빌딩 406,306호 (둔산동)",042-484-2828
132,안치과의원,"대전광역시 서구 한밭대로570번길 8, 1층 (월평동, 전원빌딩)",042-483-0567
133,애덴치과의원,"대전광역시 서구 문예로 61, 4층 (둔산동)",042-482-7755
134,버클리치과의원,"대전광역시 서구 문정로 64, 502호 (탄방동)",042-485-2875
135,아름다운치과의원,"대전광역시 서구 계룡로 607, 4층 (탄방동)",042-484-2878
136,바르게치과의원,"대전광역시 서구 둔산중로 19, 2층 (탄방동)",042-488-2804
137,신세계치과의원,"대전광역시 서구 정림로 56-1, 2층 (정림동)",042-583-9025
138,둔산이편한치과의원,"대전광역시 서구 대덕대로 396, 6층 (만년동)",042-489-2870
139,탑치과의원,"대전광역시 서구 신갈마로 153, 2층 (갈마동)",042-534-2207
140,연세갤러리치과의원,"대전광역시 서구 둔산중로 46, 5층 (둔산동)",042-485-7528
141,송민재치과의원,"대전광역시 서구 계룡로 628, 2층 (용문동)",042-535-9734
142,래미안한길부부치과의원,"대전광역시 서구 가장로 106, 102호 (가장동, 삼성래미안아파트)",042-368-2875
143,김.류.박치과의원,"대전광역시 서구 대덕대로176번길 9, 4층 (둔산동)",042-488-7572
144,늘푸른치과의원,"대전광역시 서구 만년남로 9, 3층 (만년동, 만년코아)",042-472-7528
145,이미지연합치과의원,"대전광역시 서구 가장로 96-1, 2층 (가장동)",042-537-2879
146,중앙치과의원,"대전광역시 서구 둔산로 133, 210호 (둔산동, 현대아이텔)",042-471-9075
147,일리노이치과의원,"대전광역시 서구 둔산로 26, 8층 (둔산동)",042-471-2824
148,차치과의원,"대전광역시 서구 도산로 192, 2층 (변동)",042-532-3098
149,참사랑치과의원,"대전광역시 서구 청사서로 46, 402호 (월평동, 한독빌딩)",042-472-7588
150,연합치과의원,"대전광역시 서구 둔산로 14, 203호 (둔산동)",042-484-2804
151,베스필치과의원,"대전광역시 서구 둔산북로 121, 203호 (둔산동, 아너스빌)",042-488-6511
152,행복을주는치과의원,"대전광역시 서구 문정로 136, 3층 (탄방동)",042-487-7504
153,한길부부치과의원,"대전광역시 서구 도산로253번길 51, 201호 (내동)",042-534-4448
154,조성희치과의원,"대전광역시 서구 월평동로 83, 307호 (월평동, 다모아아파트상가)",042-487-7475
155,건강한치과의원,"대전광역시 서구 구봉로 121, 402호 (관저동)",042-526-7528
156,유엔아이치과의원,"대전광역시 서구 문정로 30, 5층 (탄방동, 한마음빌딩)",042-486-2875
157,이즈치과의원,"대전광역시 서구 계룡로 590, 3,4층 (괴정동)",042-534-2872
158,스마일치과의원,"대전광역시 서구 관저북로 71, 관저동주차빌딩 1층 110, 111호 (관저동)",042-545-5747
159,둔산다인치과의원,"대전광역시 서구 문정로 96, 5층 (탄방동)",042-471-2875
160,이형순치과의원,"대전광역시 서구 월평중로 36, 7층 (월평동, 문룡빌딩)",042-471-2827
161,김도형치과의원,"대전광역시 서구 청사서로 29, 214호 (월평동, 샛별아파트상가)",042-486-7572
162,용문이창근치과의원,"대전광역시 서구 계룡로 640, 2층 (용문동, 태산빌딩)",042-532-2870
163,최.박치과의원,"대전광역시 서구 문예로 69, 7층 (둔산동, 오성빌딩)",042-484-2872
164,세창치과의원,"대전광역시 서구 계룡로 598, 9층 (괴정동)",042-535-2875
165,한병주치과의원,"대전광역시 서구 대덕대로 398, 9,10층 (만년동, 제이원빌딩)",042-472-7223
166,대건치과의원,"대전광역시 서구 신갈마로 122, 4층 (갈마동)",042-528-2833
167,샘머리치과의원,"대전광역시 서구 청사로 281, 106호 (둔산동, 샘머리아파트상가)",042-472-8289
168,로얄플란트치과의원,"대전광역시 서구 청사로 128, 801호 (월평동)",042-482-5353
169,권병하치과의원,"대전광역시 서구 청사로 5, 304호 (월평동, 하나로아파트상가)",042-483-6411
170,소망치과의원,"대전광역시 서구 관저중로 72, 301호 (관저동, 신선크리닉)",042-542-5400
171,개구장이치과의원,"대전광역시 서구 둔산로 52, 5층 (둔산동)",042-472-0275
172,청사치과의원,"대전광역시 서구 한밭대로 809, 1층 (둔산동, 사학연금회관)",042-488-2275
173,윤진치과의원,대전광역시 서구 동서대로 1074 (변동),042-534-7528
174,서연치과의원,"대전광역시 서구 도안남로 148, 401호 (관저동)",042-545-5511
175,박영치과의원,"대전광역시 서구 월평서로 6, 2층 (월평동)",042-488-2828
176,금미연치과의원,"대전광역시 서구 청사서로 65, 212호 (월평동, 한아름@상가)",042-489-3103
177,김희진치과의원,"대전광역시 서구 문예로 63, 801호 (둔산동, 행촌회관)",042-484-7528
178,장익한치과의원,대전광역시 서구 배재로 160 (도마동),042-527-1797
179,김형조치과의원,"대전광역시 서구 둔산로 220, 302호 (둔산동, 둔산훼미리타운)",042-489-0280
180,박정기치과의원,"대전광역시 서구 문예로 73, 4층 (둔산동, 변호사회관)",042-485-7440
181,이광우치과의원,"대전광역시 서구 대덕대로 219, 별관3층 (둔산동, 한화갤러리아 타임월드)",042-483-7528
182,유플랜트치과의원,"대전광역시 서구 문정로 76, 3층 (탄방동)",042-487-7575
183,더뉴치과의원,"대전광역시 서구 문예로 107, 4층 (둔산동)",042-471-7528
184,박치과의원,대전광역시 서구 도마로 2 (도마동),042-533-6900
185,조연희치과의원,"대전광역시 서구 문예로 174, 2층 (둔산동, 샘머리A상가)",042-488-8400
186,이바르게치과교정과치과의원,"대전광역시 서구 대덕대로 199, 4층 (둔산동, 우남빌딩)",042-482-3601
187,한미치과의원,"대전광역시 서구 대덕대로 193, 7층 (둔산동)",042-487-8275
188,경성치과의원,"대전광역시 서구 도솔로 314, 4층 (괴정동)",042-523-3846
189,미엔느치과의원,"대전광역시 서구 청사로 121, 8층 (월평동, 선사병원)",042-476-9700
190,조앤이치과의원,"대전광역시 서구 월평북로 77, 2층 (월평동)",042-484-1151
191,서동호치과의원,"대전광역시 서구 둔산로 155, 102호 (둔산동, 크로바아파트)",042-485-4493
192,사랑의치과의원,대전광역시 서구 만년남로 7 (만년동),042-485-1278
193,미치과의원,"대전광역시 서구 도산로 176, 3,4층 (변동)",042-524-7890
194,이병훈치과의원,"대전광역시 서구 도산로 45, 2층 (도마동)",042-586-2433
195,즐거운치과의원,"대전광역시 서구 갈마로 245, 4,6층 (괴정동)",042-531-2879
196,김기종치과의원,대전광역시 서구 동서대로 987 (내동),042-523-1847
197,조대성치과의원,"대전광역시 서구 청사로 70, 202호 (월평동, 누리상가)",042-485-6869
198,백두치과의원,"대전광역시 서구 신갈마로 46, 404호 (내동, 롯데아파트상가)",042-531-2881
199,이진용치과의원,대전광역시 서구 벌곡로1379번길 21 (가수원동),042-541-5981
200,미소드림치과의원,"대전광역시 서구 문정로 134, 301호 (탄방동, 한양크리닉)",042-487-2875
201,둔산연세치과의원,"대전광역시 서구 월평북로 79, 4층 (월평동)",042-485-0275
202,갈마서울치과의원,"대전광역시 서구 신갈마로 95, 4층 (갈마동, 갈마아파트상가)",042-527-2875
203,홍치과의원,대전광역시 서구 정림로 58 (정림동),042-584-7190
204,정민원치과의원,대전광역시 서구 갈마로 255 (괴정동),042-527-6651
205,세브란스치과의원,"대전광역시 서구 둔산중로 54, 304,305호 (둔산동, 센티올빌딩)",042-486-2804
206,준치과의원,"대전광역시 서구 둔산중로 38, 702호 (둔산동, 둔산메트로존)",042-483-0041
207,비앤에이치과의원,"대전광역시 서구 청사로 65, 304,305호 (월평동, 황실코아)",042-489-6660
208,김응태치과의원,"대전광역시 서구 도산로 51, 3층 (도마동)",042-537-7870
209,로덴치과의원,"대전광역시 서구 둔산중로 66, 4층 (둔산동)",042-484-6461
210,이용배치과의원,대전광역시 서구 변동중로45번길 3 (변동),042-535-5916
211,서구치과의원,"대전광역시 서구 둔산북로 215, 301호 (둔산동, 가람아파트상가)",042-482-9393
212,청아치과의원,"대전광역시 서구 둔산로 223, 201호 (둔산동, 청솔@상가)",042-482-8020
213,다송치과의원,"대전광역시 서구 월평북로 95, 304호 (월평동, 만년오피스텔)",042-472-2875
214,백문치과의원,"대전광역시 서구 계백로 1440, 1층 (도마동)",042-585-7080
215,강인호치과의원,"대전광역시 서구 괴정로 107, 3층 (괴정동)",042-534-0693
216,김양중치과의원,"대전광역시 서구 대덕대로167번길 5, 403호 (갈마동)",042-527-8442
217,조석원치과의원,"대전광역시 서구 청사로 254, 201호 (둔산동, 둥지아파트상가)",042-488-2875
218,예담치과의원,"대전광역시 서구 계룡로 356, 2층 (갈마동)",042-487-2833
219,이풍호치과의원,"대전광역시 서구 정림로65번길 6, 3층 (정림동)",042-582-6271
220,성심치과의원,대전광역시 서구 도산로 117 (도마동),042-524-4501
221,임종갑치과의원,대전광역시 서구 계백로 1438 (도마동),042-582-1646
222,김상훈치과의원,"대전광역시 서구 도산로 52, 2층 (도마동)",042-523-2974
223,서운석치과의원,"대전광역시 서구 계룡로 636, 2층 (용문동)",042-522-2828
224,장석순치과의원,"대전광역시 서구 대덕대로 223, 302호 (둔산동, 대우토피아)",042-470-5275
