구분,업체명,주소,전화번호,객실수,홈페이지
중저가숙박업소,파로스모텔,대전광역시 유성구 한밭대로492번길 26-28 (봉명동),042-824-0830,34,
중저가숙박업소,체리모텔,대전광역시 유성구 온천북로 76 (봉명동),042-823-2756,36,
중저가숙박업소,자우리호텔도안신도시점,대전광역시 유성구 계룡로 157 (봉명동),042-823-8011,42,
중저가숙박업소,스마일모텔,대전광역시 유성구 계룡로141번길 8-15 (봉명동),042-825-0266,35,
중저가숙박업소,케이쎄븐모텔,대전광역시 유성구 계룡로87번길 65 (봉명동),042-867-5775,38,
중저가숙박업소,런던파크,대전광역시 유성구 계룡로141번길 13-11 (봉명동),042-825-6063,34,
중저가숙박업소,오늘,대전광역시 유성구 온천북로 37 (봉명동),042-823-5999,33,
중저가숙박업소,탑클라우드(대전점),대전광역시 유성구 온천로101번길 20 (봉명동),042-825-1470,48,
중저가숙박업소,로데오 모텔,대전광역시 서구 둔산로31번길 34 (둔산동),042-471-6868,45,
중저가숙박업소,호텔저스트슬립유성온천점,대전광역시 유성구 온천로101번길 10-1 (봉명동),042-822-1750,49,
중저가숙박업소,W모텔,대전광역시 유성구 온천북로 8 (봉명동),042-825-1123,102,
중저가숙박업소,세도나 모텔,대전광역시 동구 동서대로1725번길 40 (용전동),042-621-9528,52,
중저가숙박업소,리무진 모텔,대전광역시 동구 한밭대로1314번길 34 (용전동),042-621-1004,36,
중저가숙박업소,샵모텔,대전광역시 동구 동서대로 1715-9 (용전동),042-637-9090,42,
중저가숙박업소,굿타임모텔,대전광역시 동구 동서대로1705번길 67 (용전동),042-625-4877,32,
중저가숙박업소,보보스모텔,대전광역시 동구 동서대로1725번길 10 (용전동),042-625-2100,35,
중저가숙박업소,시네마모텔,대전광역시 동구 동서대로1705번길 42 (용전동),042-628-8686,32,
중저가숙박업소,수 모텔,대전광역시 서구 둔산로65번길 34 (둔산동),042-472-1085,35,
중저가숙박업소,삼호자 객관,대전광역시 서구 둔산로65번길 75 (둔산동),042-483-5995,33,
중저가숙박업소,MVG 모텔,대전광역시 동구 동서대로1705번길 58-36 77-22,042-627-3535,38,
중저가숙박업소,J모텔,대전광역시 동구 한밭대로1314번길 27 78-29,042-639-5600,36,
중저가숙박업소,해피타워,대전광역시 동구 동서대로 1725 22 (용전동),042-623-9993,32,
중저가숙박업소,모텔폴라리스,대전광역시 동구 한밭대로1316번길 2 (용전동),042-635-7861,36,
중저가숙박업소,클래스모텔,대전광역시 대덕구 한밭대로1149번길 15-6 (중리동),042-633-9271,42,
중저가숙박업소,두바이모텔,대전광역시 대덕구 신탄진로790번길 46 (신탄진동),042-935-8897,36,
중저가숙박업소,로하스모텔,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동),042-933-0646,36,
중저가숙박업소,거기모텔,대전광역시 대덕구 신탄진동로7번안길 38 (신탄진동),042-933-5455,32,
중저가숙박업소,시카고모텔,대전광역시 대덕구 신탄진동로23번길 65 (신탄진동),042-933-3888,37,
중저가숙박업소,이안레지던스 호텔,대전광역시 서구 둔산로65번길 29 (둔산동),042-487-3939,79,
중저가숙박업소,크리스탈 모텔,대전광역시 서구 도산로369번길 29 (용문동),042-524-0770,34,
중저가숙박업소,투에스(2S)모텔,대전광역시 서구 월평로 53-9 (월평동),042-486-3333,43,
중저가숙박업소,워커힐모텔,대전광역시 서구 월평로 47 (월평동),042-489-7720,50,
중저가숙박업소,오딧세이 모텔,대전광역시 유성구 계룡로155번길 27 (봉명동),042-822-7278,35,htttp://www.odmotel.com
중저가숙박업소,스파타워 모텔,대전광역시 유성구 온천로107번길 40 (봉명동),042-824-0637,35,www.spatower.kr
중저가숙박업소,발렌타인 모텔,대전광역시 유성구 장대로 20-19 (장대동),042-825-2100,36,
중저가숙박업소,헤라모텔,대전광역시 유성구 온천로107번길 23 (봉명동),042-823-5775,36,www.ihera.kr 
중저가숙박업소,뉴 큐피트 모텔,대전광역시 유성구 장대로 16-18 (봉명동) 042-825-8505,042-825-8505,32,
중저가숙박업소,피카소 모텔,대전광역시 유성구 장대로 16-20 (봉명동),042-825-3288,32,
중저가숙박업소,하루,대전광역시 유성구 온천동로65번길 42 (봉명동),042-823-9433,39,
중저가숙박업소,잉카의태양,대전광역시 유성구 온천북로 69 (봉명동),042-826-6700,44,
중저가숙박업소,맨하탄모텔,대전광역시 유성구 온천북로33번길 7-14 (봉명동),042-824-3311,36,
중저가숙박업소,더샾모텔,대전광역시 유성구 온천북로 53 (봉명동),042-822-0450,42,
중저가숙박업소,시애틀모텔,대전광역시 유성구 온천북로 24 (봉명동),042-824-3070,37,
중저가숙박업소,파라곤모텔,대전광역시 유성구 계룡로87번길 72 (봉명동),042-825-4646,40,
중저가숙박업소,시나브로모텔,대전광역시 유성구 온천북로59번길 9 (봉명동),042-823-5832,42,http://cafe.daum.net/sinabromotel
중저가숙박업소,렉시호텔,대전광역시 유성구 온천로107번길 37 (봉명동),042-824-7738,35,
중저가숙박업소,드라마모텔,대전광역시 유성구 온천서로 2 (봉명동),042-824-3399,55,
중저가숙박업소,투엑스,대전광역시 유성구 문화원로 116 (봉명동),042-825-5701,40,
중저가숙박업소,시네마이텔,대전광역시 유성구 대학로 8 (봉명동),042-824-6868,44,
중저가숙박업소,오백호모텔,대전광역시 유성구 대학로 55-10 (봉명동),042-824-0995,36,
중저가숙박업소,앙상블모텔,대전광역시 유성구 계룡로59번길 23 (봉명동),042-824-1333,49,
중저가숙박업소,퀸스타운모텔,대전광역시 유성구 계룡로105번길 74 (봉명동),042-822-8696,33,
중저가숙박업소,오페라모텔,대전광역시 유성구 온천북로 65-9 (봉명동),042-824-9277,48,
중저가숙박업소,호텔루키,대전광역시 중구 대흥로158번길 25 (대흥동),042-221-8383,35,
