연번,시도,시군구,시설명,시설유형,시설종류,입소정원,영업상태,주소,전화번호
18,대전광역시,동구,예스시니어,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 옥천로 131-17 (판암동),042-286-2700
19,대전광역시,동구,온누리노인요양원,노인의료복지시설,노인요양시설,72,운영,대전광역시 동구 이사로 68-21 (이사동),042-282-0717
20,대전광역시,동구,이엘요양원,노인의료복지시설,노인요양시설,71,운영,대전광역시 동구 한밭대로 1233 (용전동),042-624-9988
21,대전광역시,동구,임마누엘실버홈,노인의료복지시설,노인요양시설,122,운영,대전광역시 동구 신기로 109-21 (판암1동),042-284-5288
22,대전광역시,동구,판암요양원,노인의료복지시설,노인요양시설,96,운영,대전광역시 동구 옥천로106번길 115 (판암동),042-719-8877
23,대전광역시,동구,평화실버하우스,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 대전로 825 (정동),042-256-1700
24,대전광역시,동구,플래티늄,노인의료복지시설,노인요양시설,100,운영,대전광역시 동구 새울로 10-12 (판암동),042-721-2000
25,대전광역시,동구,하나요양원,노인의료복지시설,노인요양공동생활가정,9,운영,"대전광역시 동구 은어송로 62, 6층 (가오동)",042-282-8500
26,대전광역시,동구,한가족노인요양원,노인의료복지시설,노인요양공동생활가정,9,운영,"대전광역시 동구 계족로 75, 4층 (신흥동)",070-7865-1505
27,대전광역시,동구,한국요양원,노인의료복지시설,노인요양시설,124,운영,대전광역시 동구 동서대로1668번길 11 (성남동),042-623-8868
28,대전광역시,동구,한울노인요양원,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 대전로 696 (인동),042-284-1288
29,대전광역시,동구,해드림실버요양원,노인의료복지시설,노인요양시설,23,운영,"대전광역시 동구 동구청로 95, 8층 (가오동)",042-284-1234
30,대전광역시,동구,해피엔젤요양센터(대동점),노인의료복지시설,노인요양시설,81,운영,대전광역시 동구 계족로 184-38 (대동),042-628-2323
31,대전광역시,동구,행복드림노인전문요양원,노인의료복지시설,노인요양시설,157,운영,대전광역시 동구 태전로 72 (삼성동),042-605-1004
32,대전광역시,동구,효원노인요양원,노인의료복지시설,노인요양시설,29,운영,대전광역시 동구 보문로 4 (효동),042-271-9805
33,대전광역시,동구,가원데이케어센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 우암로 351 (가양동),042-625-2904
34,대전광역시,동구,금성노인복지센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 우암로 139-3, 3,4층 (삼성동)",042-626-7530
35,대전광역시,동구,기쁜우리주간보호센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 태전로 151 (삼성동),042-628-3164
36,대전광역시,동구,나사렛노인종합복지센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 백룡로5번길 157 (자양동),042-639-4242
37,대전광역시,동구,다송노인주간보호센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 태전로 151 (삼성동),042-628-3164
38,대전광역시,동구,대전실버주간보호,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 대전로316번길 43 (대성동),042-285-0025
39,대전광역시,동구,대전재가노인복지센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 충무로 250 (신흥동),042-625-0991
40,대전광역시,동구,동부실버케어센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 한밭대로 1322, 401호 (용전동)",042-639-3009
41,대전광역시,동구,백세실버케어,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 계족로 10, 5층 (효동)",042-286-1008
42,대전광역시,동구,보성재가복지센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 송촌남로11번길 167, 401호 (용전동)",042-622-7330
43,대전광역시,동구,산내노인종합센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 산내로1287번길 73 (낭월동),042-285-6800
44,대전광역시,동구,새봄실버주간보호센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 동서대로1572번길 157,3층(성남동)",042-321-0082
45,대전광역시,동구,선우노인복지센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 신기로 109-22 (가오동),042-273-0045
46,대전광역시,동구,예명주야간보호센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 동부로73번길 6, 5층 (판암동)",042-283-2015
47,대전광역시,동구,한국보건복지실버케어,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 옥천로 183, 7층(판암동)",042-346-8200
48,대전광역시,동구,한울재가노인복지센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 대전로 696, 2층 (인동)",042-285-1288
49,대전광역시,동구,해드림노인복지센터,재가노인복지시설,재가노인복지시설,-,운영,"대전광역시 동구 동구청로 95, 8층 (가오동)",042-284-1234
50,대전광역시,동구,효원주야간보호센터,재가노인복지시설,재가노인복지시설,-,운영,대전광역시 동구 보문로 4 (효동),042-271-9805
51,대전광역시,동구,동구정다운어르신복지관(舊동구 노인종합복지관),노인여가복지시설,재가노인복지시설,-,운영,대전광역시 동구 충정로 53-30 (가양동),042-626-2736
52,대전광역시,동구,동구행복한어르신복지관(舊동구 다기능노인종합복지관),노인여가복지시설,노인공동생활가정,-,운영,대전광역시 동구 동부로 23 (판암동),042-282-5910
