문화재명,지정구분,종류,지정번호,수량(보유자 성명),소유자(보유자 기예능),소재지(전승지),지정일,관리자(대표),비고
대구 백불암 고택(大邱 百弗庵 古宅),국가지정문화재,국가민속문화재,261,"8동 3,095㎡",경주최씨 칠계파종중,둔산동 386 일원,2009-06-19,경주최씨 칠계파종중,
소목장(小木匠),국가지정문화재,중요무형문화재,55,"엄태조(嚴泰祚, 44.04.28)",소목,봉무동 797-9,2014-09-16,,
대구 효목동 조양회관(大邱 孝睦洞 朝陽會館),국가지정문화재,등록문화재,4,1동,대구시,효목동 1214,2002-02-28,대구시 동구,연면적 837.1㎡
대구 옻골마을 옛 담장(大邱 옻골마을 옛 담장),국가지정문화재,등록문화재,266,마을일원담장,경주최씨 백불암파종중,둔산동 344-1 등,2006-06-19,,총 2.5km
대구 구 반야월역사(大邱 舊 半夜月 驛舍),국가지정문화재,등록문화재,270,1동,국토해양부,신서동 823-25,2006-09-19,대구시 동구,연면적 117㎡
대구 구 동촌역사(大邱 舊 東村驛舍),국가지정문화재,등록문화재,303,1동,국토해양부,입석동 893-9,2006-12-04,대구시 동구,연면적 176.65㎡
대구 동화사 괘불도(大邱 桐華寺 掛佛圖),국가지정문화재,등록문화재,628,1점,동화사,도학동 35,2014-10-29,동화사,
팔공산 마애약사 여래좌상(八公山 磨崖藥師 如來坐像),시지정문화재,유형문화재,3,1구,동화사,용수동 산1,1982-03-04,동화사,9㎡
북지장사 삼층석탑(北地藏寺 三層石塔),시지정문화재,유형문화재,6,2기,북지장사,도학동 620,1982-03-04,북지장사,9.4㎡
봉무정(鳳舞亭),시지정문화재,유형문화재,8,1동,최종우 외 6,봉무동 939,1984-07-25,최종우,104.2㎡
성재서당(盛才書堂),시지정문화재,유형문화재,9,1동,인천채씨성재종중,미대동 169,1984-07-25,인천채씨성재종중,48.6㎡
동화사 극락전(桐華寺 極樂殿),시지정문화재,유형문화재,11,1동,동화사,도학동 36,1986-12-05,동화사,180.7㎡
동화사 부도군(桐華寺 浮屠群),시지정문화재,유형문화재,12,10기,동화사,도학동 산124-1,1986-12-05,동화사,766.4㎡
동화사 염불암 마애여래좌상 및 보살좌상(桐華寺 念佛庵 磨崖如來坐像 및 菩薩坐像),시지정문화재,유형문화재,14,2좌,동화사,도학동 산124-1,1988-05-30,동화사,116.1㎡
북지장사 석조지장보살좌상(北地藏寺 石造地藏菩薩坐像),시지정문화재,유형문화재,15,1구,북지장사,도학동 620,1988-05-30,북지장사,
부인사 석등(夫人寺 石燈),시지정문화재,유형문화재,16,1기,부인사,신무동 356,1988-05-30,부인사,1.9㎡
부인사 서탑(夫人寺 西塔),시지정문화재,유형문화재,17,1기,부인사,신무동 356,1988-05-30,부인사,5.8㎡
신무동 마애불좌상(新武洞 磨崖佛坐像),시지정문화재,유형문화재,18,1좌,대구시 동구,신무동 235-7,1988-05-30,대구시 동구,25.6㎡
동화사 염불암 청석탑(桐華寺 念佛庵 靑石塔),시지정문화재,유형문화재,19,1기,동화사,도학동 산124-32,1988-05-30,동화사,1.7㎡
팔공산 동봉 석조약사여래입상(八公山 東峰 石造藥師如來立像),시지정문화재,유형문화재,20,1구,최석순,용수동 산1-3,1988-05-30,최석순,9㎡
신무동 삼성암지 마애약사여래입상(新武洞 三省庵址 磨崖藥師如來立像),시지정문화재,유형문화재,21,1구,이봉선,신무동 산15,1988-05-30,이봉선,9㎡
송정동 석불입상(松亭洞 石佛立像),시지정문화재,유형문화재,22,1구,정욱진,송정동 364,1988-05-30,정욱진,36.2㎡
부인사 부도(夫人寺 浮屠),시지정문화재,유형문화재,28,1기,부인사,신무동 356,1990-05-15,부인사,3.6㎡
옻골 경주최씨 백불암파종가소장 전적(옻골 慶州崔氏 百弗庵派宗家所藏 典籍),시지정문화재,유형문화재,51,일괄(2종 646점),경주최씨 백불암파종중,둔산동 386,2003-04-30,경주최씨 백불암파종중,
대구 동화사 제석도(大邱 桐華寺 帝釋圖),시지정문화재,유형문화재,56,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 천룡도(大邱 桐華寺 天龍圖),시지정문화재,유형문화재,57,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 염불암 극락구품도(大邱 桐華寺 念佛庵 極樂九品圖),시지정문화재,유형문화재,58,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 칠성도(大邱 桐華寺 七星圖),시지정문화재,유형문화재,59,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 지장삼존도(大邱 桐華寺 地藏三尊圖),시지정문화재,유형문화재,60,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 인악당대사 의첨 진영(大邱 桐華寺 仁嶽堂大師 義沾 眞影),시지정문화재,유형문화재,61,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 대웅전 석가영산회상도(大邱 桐華寺 大雄殿 釋迦靈山會上圖),시지정문화재,유형문화재,62,1폭,동화사,팔공산로 201길 41,2012-01-30,동화사,
대구 파계사 원통전 수미단(大邱 把溪寺 圓通殿 須彌壇),시지정문화재,유형문화재,73,1기,파계사,파계로 741,2015-05-11,파계사,
대구 파계사 왕실 원당 관련 고문서 일괄(大邱 把溪寺 王室 願堂 關聯 古文書 一括),시지정문화재,유형문화재,74,10종 10점,파계사,파계로 741,2015-05-11,파계사,
가곡(歌曲),시지정문화재,무형문화재,5,"권측이(權側伊, 28.08.12)",여창,신암3동 168-13,1989-06-15,,
공산농요(公山農謠),시지정문화재,무형문화재,7,"송문창(宋文昌, 33.09.13)",선소리,평광동 1288,1990-05-15,송문창,
살풀이,시지정문화재,무형문화재,9,"권명화(權明花, 34.08.19)",무용,신암3동 167-1,1995-05-12,,
창호장(小木匠),시지정문화재,무형문화재,17,"이종한(李鍾翰, 51.01.15)",창호,안심로 475-1,2012-01-30,,
신숭겸장군 유적(申崇謙將軍 遺蹟),시지정문화재,기념물,1," 45,180㎡ ",표충재평산신씨문중,지묘동 526,1982-03-04,표충재평산신씨문중,
부인사지(夫人(俯仁)寺址),시지정문화재,기념물,3," 60,600㎡ ",부인사,신무동 356 일대,1988-05-30,부인사,
봉무토성(鳳舞土城),시지정문화재,기념물,4, 46.810㎡ ,대구시,"봉무동 산26, 산27",1988-05-30,대구시 동구,
용암산성(龍岩山城),시지정문화재,기념물,5," 59,207㎡ ",대구시,"도동 산35, 산36",1988-05-30,대구시 동구,
내곡 모감주나무 군락(內谷 모감주나무 群落),시지정문화재,기념물,8, 312.4㎡ ,"김이곤, 배재현","내곡동 산91, 222",1990-05-15,"김이곤, 배재현",
봉무동 고분군(鳳舞洞 古墳群),시지정문화재,기념물,15," 33,369㎡ ",국유 ,봉무동 산146 일대,2006-04-20,대구시 동구,
용수동 당산,시지정문화재,민속문화재,4,1기,대구시,용수동 420,1995-05-12,대구시,483㎡
파계사 설선당(把溪寺 設禪堂),시지정문화재,문화재자료,7,1동,파계사,중대동 7,1984-07-25,파계사,322.1㎡
파계사 산령각(把溪寺 山靈閣),시지정문화재,문화재자료,8,1동,파계사,중대동 7,1984-07-25,파계사,25.2㎡
파계사 적묵당(把溪寺 寂默堂),시지정문화재,문화재자료,9,1동,파계사,중대동 7,1984-07-25,파계사,253.9㎡
파계사 진동루(把溪寺 鎭洞樓),시지정문화재,문화재자료,10,1동,파계사,중대동 7,1984-07-25,파계사,197.5㎡
파계사 기영각(把溪寺 祈永閣),시지정문화재,문화재자료,11,1동,파계사,중대동 7,1984-07-25,파계사,62.8㎡
독암서당(獨岩書堂),시지정문화재,문화재자료,12,1동,최웅택 외 4,봉무동 223-3,1984-07-25,최웅택 외 4,68.4㎡
첨백당(瞻栢堂),시지정문화재,문화재자료,13,1동,단양우씨 첨백당종중,평광동 979,1984-07-25,단양우씨 첨백당종중,105.8㎡
동화사 수마제전(桐華寺 修磨提殿),시지정문화재,문화재자료,16,1동,동화사,도학동 36,1986-12-05,동화사,60.8㎡
문창공영당(文昌公影堂),시지정문화재,문화재자료,20,2동,경주최씨 광정공파종중,도동 766-4,1989-08-10,경주최씨 광정공파종중,41㎡
수릉향탄금계표석(綏陵香炭禁界標石),시지정문화재,문화재자료,21,1점,대구시,용수동 50,1990-05-15,대구시 동구 ,87.1㎡
부인사 일명암지석등(夫人寺 逸名庵址石燈 ),시지정문화재,문화재자료,22,1기,부인사,신무동 356,1990-05-15,부인사,1.5㎡
문창공 영정(文昌公 影幀),시지정문화재,문화재자료,25,1폭,경주최씨 구회당종중,도동 766-4,1990-12-15,경주최씨 구회당종중,41㎡
수릉봉산계 표석(綏陵封山界 標石),시지정문화재,문화재자료,33,1기,최원호,신무동 산6,1995-05-12,최원호,100㎡
부도암 부도(浮屠庵 浮屠),시지정문화재,문화재자료,34,1기,동화사,도학동 산124-1,1995-05-12,동화사,0.8㎡
효자 강순항 정려각(孝子 姜順恒 旌閭閣),시지정문화재,문화재자료,35,1동,진주강씨승지공파 사정공문중,평광동 1180-5,2000-02-29,진주강씨승지공파 사정공문중,15.2㎡
동화사 부도암 신중탱(桐華寺 浮屠庵 神衆幀),시지정문화재,문화재자료,38,1폭,동화사,도학동 35,2006-04-20,동화사,
동화사 죽암당 대선사선찰진영(桐華寺 竹庵堂 大禪師善刹眞影),시지정문화재,문화재자료,39,1폭,동화사,도학동 35,2006-04-20,동화사,
최흥원 정려각(崔興遠 旌閭閣),시지정문화재,문화재자료,40,1동,최두영,둔산동 375,2006-04-20,최두영,보호구역 7.67㎡
수구당(數咎堂),시지정문화재,문화재자료,41,2동,경주최씨 칠계파노당회,둔산동 387,2006-04-20,경주최씨 칠계파노당회,보호구역 415.77㎡
동계정(東溪亭),시지정문화재,문화재자료,45,1곽,경주최씨 백불암파종중,둔산동 391 외,2008-04-10,대구시 동구,지정면적 178㎡
신숭겸영각유허비(申崇謙影閣遺墟碑),시지정문화재,문화재자료,46,1기,표충제 평산신씨문중,평광동 산36,2008-04-10,대구시 동구,지정면적 9㎡
대구 동화사 금당 아미타극락회상도(大邱 桐華寺 金堂 阿彌陀極樂會上圖),시지정문화재,문화재자료,47,1폭,동화사, 팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 대웅전 신중도(大邱 桐華寺 大雄殿 神衆圖),시지정문화재,문화재자료,48,1폭,동화사, 팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 감로도(大邱 桐華寺 甘露圖),시지정문화재,문화재자료,49,1폭,동화사, 팔공산로 201길 41,2012-01-30,동화사,
대구 동화사 사천왕도(大邱 桐華寺 四天王圖),시지정문화재,문화재자료,50,4폭,동화사, 팔공산로 201길 41,2012-01-30,동화사,
대구 북지장사 아미타삼존불좌상(大邱 北地藏寺 阿彌陀三尊佛坐像),시지정문화재,문화재자료,51,3구,북지장사,도장길 243,2012-01-30,북지장사,
대구 파계사 아미타삼존도(大邱 把溪寺 阿彌陀三尊圖),시지정문화재,문화재자료,52,1폭,파계사,파계로 741,2015-05-11,파계사,
대구 파계사 신중도 및 복장유물 일괄(大邱 把溪寺 神衆圖 및 腹藏遺物 一括),시지정문화재,문화재자료,53,"신중도 1폭, 복장품 5件 5枚",파계사,파계로 741,2015-05-11,파계사,
대구 파계사 소장 책판 일괄(大邱 把溪寺 所藏 冊板 一括),시지정문화재,문화재자료,54,5種 86板,파계사,파계로 741,2015-05-11,파계사,
대구 북지장사 금고(大邱 北地藏寺 金鼓),시지정문화재,문화재자료,55,1점,북지장사,도장길 243,2015-05-11,북지장사,
