업종,상호,소재지(도로명),전화번호
국내여행업,(주)하이투어,"대구광역시 수성구 동대구로 386-0 (범어동, 킹덤오피스텔  1004호)",053-247-6768
국내여행업,(주)수성여행사,"대구광역시 수성구 용학로50길 62, 1층 102호 (지산동, 산장빌라)",053-742-0997
국내여행업,제스트투어/제스트 디자인건축,"대구광역시 수성구 용학로 189, 114동 8호 (지산동, 지산시영1단지)",053-262-6060
국내여행업,(주)엠에스투어,"대구광역시 수성구 달구벌대로 2583, 201호 (만촌동, 월드메르디앙)",053-753-1600
국내여행업,아상여행사,"대구광역시 수성구 지범로 181, 205호 (지산동)",053-781-8513
국내여행업,주식회사 에이치투커뮤니케이션즈,"대구광역시 수성구 수성로 149, 3층 (중동)",053-767-0220
국내여행업,(주)비케이투어,대구광역시 수성구 수성로 91-1 (상동),053-631-1777
국내여행업,주식회사 나비트레킹투어,"대구광역시 수성구 달구벌대로 3086, 2층 (시지동)",1899-5887
국내여행업,영진관광문화협동조합,대구광역시 수성구 동대구로14길 45 (지산동),053-768-9787
국내여행업,(주)캔유여행사,"대구광역시 수성구 달구벌대로 3061, 201호 (시지동)",053-751-3366
국내여행업,(주) 오로라 관광 여행사,대구광역시 수성구 지범로 192 (범물동),053-781-3885
국내여행업,참길여행사,"대구광역시 수성구 청수로 108, 퍼플하임수성 417호 (두산동)",053-742-2338
국내여행업,와이티이,대구광역시 수성구 동원로1길 17 (범어동),053-219-0047
국내여행업,영남에어앤투어,대구광역시 수성구 동대구로 20 (지산동),053-782-2232
국내여행업,(주)행복한교육이야기,대구광역시 수성구 수성로56길 33-1 (수성동2가),053-765-7203
국내여행업,제이투어,"대구광역시 수성구 동대구로 336, 510호 (범어동, 마크팰리스 범어)",053-264-7217
국내여행업,(주)칸여행사,"대구광역시 수성구 동대구로 274, 7동 103호 (범어동, 궁전맨션)",053-428-0101
국내여행업,골프헌터,"대구광역시 수성구 달구벌대로480길 22, 3층 (범어동)",053-755-2562
국내여행업,주식회사 여행가자,"대구광역시 수성구 들안로 181, 3층 (중동)",053-429-7795
국내여행업,(주)이편한여행,"대구광역시 수성구 달구벌대로 3233, 402동 13호 (신매동, 신매동 효성 백년가약 (청))",053-424-7674
국내여행업,누리여행사랑,"대구광역시 수성구 수성로 312, 2층 (수성동2가)",
국내여행업,(주)영남투어,"대구광역시 수성구 범안로 2-9, 101호 (범물동)",
국내여행업,(주)더부러네트워크,"대구광역시 수성구 명덕로 494-6, 103호 (범어동)",053-746-6660
국내여행업,황금여행사,"대구광역시 수성구 범어로 9, 1층 (범어동)",053-759-1209
국내여행업,(주)하나로여행사,"대구광역시 수성구 지범로 188, 청구리빙월드 504호 (범물동)",053-783-7740
국내여행업,(주)이인식여행사,"대구광역시 수성구 청솔로 136, 305호 (범어동)",
국내여행업,주식회사 콧수염여행사,대구광역시 수성구 지범로 196 (주)한국상업은행범물동지점 3층 (범물동),
국내여행업,엠에스관광,"대구광역시 수성구 동대구로 395, 블루시마팰리스 (범어동)",
국내여행업,엠투어(대구),"대구광역시 수성구 알파시티1로 206, 마이더스타운 506호 (대흥동)",053-425-0747
국내여행업,주식회사 만남투어여행사,대구광역시 수성구 청호로46길 11 (황금동),053-857-8830
국내여행업,투어패밀리,"대구광역시 수성구 동원로 136, 이마트만촌점 2층 (만촌동)",053-201-1113
국내여행업,(주)투어리스트,"대구광역시 수성구 범어천로 126, 102동 1405호 (범어동, 코오롱 하늘채 수)",053-753-9997
국외여행업,(주)세일관광여행사,대구광역시 수성구 지범로 192 (범물동),053-784-6701
국외여행업,(주)유성관광여행사,대구광역시 수성구 국채보상로 826 (범어동),053-742-0333
국외여행업,동화항공여행주식회사,대구광역시 수성구 국채보상로 1049 (만촌동),053-752-6200
국외여행업,(주)알프스여행사,대구광역시 수성구 지범로 91 (지산동),053-784-9005
국외여행업,(주)투어토탈,"대구광역시 수성구 달구벌대로 3188, 아레나스포츠센터 (신매동)",053-794-3388
국외여행업,(주)스타투어 여행사,대구광역시 수성구 달구벌대로 2517 (범어동),053-742-3890
국외여행업,(주)동성여행사,대구광역시 수성구 달구벌대로627길 5-4 (매호동),053-792-8952
국외여행업,(주)수은관광,대구광역시 수성구 달구벌대로 3103 (시지동),053-792-2888
국외여행업,(주)범어투어,"대구광역시 수성구 달구벌대로 2378 (범어동,2층)",053-755-8888
국외여행업,(주)모두세계일주,"대구광역시 수성구 동대구로 300, 401동 206호 (범어동,범어롯데캐슬)",053-742-9114
국외여행업,인차이나여행사,"대구광역시 수성구 청호로 496, 4층 (만촌동)",053-981-0833
국외여행업,(주)허브여행,"대구광역시 수성구 청수로35길 97, 4층 (황금동)",053-422-7555
국외여행업,(주)더블유투어,"대구광역시 수성구 동대구로 95, 108동 501호 (두산동,수성SK리더스뷰아파트 상가)",053-422-6200
국외여행업,(주)세교항공여행사,대구광역시 수성구 들안로 324 (수성동3가),053-423-0070
국외여행업,(주)한누리여행사,"대구광역시 수성구 달구벌대로631길 3 (매호동,1층)",053-431-0810
국외여행업,(주)하나로여행사,"대구광역시 수성구 지범로 188, 504호 (범물동,5층)",053-783-7740
국외여행업,수성투어,"대구광역시 수성구 동대구로 376, 301동 212호 (범어동)",053-755-2455
국외여행업,제일여행,대구광역시 수성구 동대구로77길 32 (범어동),053-756-0010
국외여행업,드림마운틴투어,대구광역시 수성구 명덕로 394 (수성동1가),053-768-8188
국외여행업,주식회사 롯데수성,"대구광역시 수성구 동대구로 300, 401동 205호 (범어동, 범어롯데캐슬상가)",053-759-0990
국외여행업,주식회사 제로투어,"대구광역시 수성구 용학로31길 48, 201호 (지산동)",053-243-8866
국외여행업,주식회사 가온투어,대구광역시 수성구 수성로 35-1 (상동),053-753-8585
국외여행업,국제트레킹,대구광역시 수성구 동대구로77길 32 (범어동),053-756-0010
국외여행업,주식회사 올림피아관광여행사,"대구광역시 수성구 달구벌대로 3061, 2층 (시지동)",053-768-4006
국외여행업,디에스라이프(주),"대구광역시 수성구 달구벌대로 2461 (범어동, 대구상조빌딩)",053-253-6655
국외여행업,(주)하이투어,"대구광역시 수성구 동대구로 386 (범어동, 킹덤오피스텔  1004호)",053-247-6768
국외여행업,(주)수성여행사,"대구광역시 수성구 용학로50길 62, 1층 102호 (지산동, 산장빌라)",053-742-0997
국외여행업,(주)엠에스투어,"대구광역시 수성구 달구벌대로 2583, 201호 (만촌동, 월드메르디앙)",053-753-1600
국외여행업,아상여행사,"대구광역시 수성구 지범로 181, 205호 (지산동)",053-962-8513
국외여행업,제스트 투어,"대구광역시 수성구 용학로 189, 114동 8호 (지산동, 지산시영1단지)",053-262-6060
국외여행업,(주)비케이투어,대구광역시 수성구 수성로 91-1 (상동),053-631-1777
국외여행업,주식회사 나비트레킹투어,"대구광역시 수성구 달구벌대로 3086, 2층 (시지동)",1899-5887
국외여행업,(주)신한월드투어,대구광역시 수성구 범어로20길 64 (범어동),053-421-7378
국외여행업,주식회사 투어리스트,"대구광역시 수성구 범어천로 126, 102동 1405호 (범어동, 코오롱 하늘채 수)",053-753-9997
국외여행업,(주)캔유여행사,"대구광역시 수성구 달구벌대로 3061, 201호 (시지동)",053-751-3366
국외여행업,주식회사 클럽지알오,"대구광역시 수성구 달구벌대로669길 80, 105동 705호 (사월동, 시지대성유니드아파트)",
국외여행업,오성투어,"대구광역시 수성구 알파시티2로 15, 라온하제 201호 (시지동)",053-216-5700
국외여행업,주식회사 이원,"대구광역시 수성구 들안로1길 34, 1층 (상동)",
국외여행업,(주) 오로라 관광 여행사,대구광역시 수성구 지범로 192 (범물동),053-781-3885
국외여행업,꿈의교실&꿈의여행,대구광역시 수성구 달구벌대로 3138 (시지동),053-795-6624
국외여행업,참길여행사,"대구광역시 수성구 청수로 108, 퍼플하임수성 417호 (두산동)",053-742-2338
국외여행업,와이티이,대구광역시 수성구 동원로1길 17 (범어동),053-219-0047
국외여행업,영남에어앤투어,대구광역시 수성구 동대구로 20 (지산동),053-782-2232
국외여행업,(주)행복한교육이야기,대구광역시 수성구 수성로 300-1 (수성동2가),053-765-7203
국외여행업,제이투어,"대구광역시 수성구 동대구로 336, 510호 (범어동, 마크팰리스 범어)",053-264-7217
국외여행업,(주)칸여행사,"대구광역시 수성구 동대구로 274, 7동 103호 (범어동, 궁전맨션)",053-428-0101
국외여행업,골프헌터,"대구광역시 수성구 달구벌대로480길 22, 3층 (범어동)",053-755-2562
국외여행업,주식회사 여행가자,"대구광역시 수성구 들안로 181, 3층 (중동)",053-429-7795
국외여행업,(주)이편한여행,"대구광역시 수성구 달구벌대로 3233, 402동 13호 (신매동, 신매동 효성 백년가약 (청))",053-424-7674
국외여행업,누리여행사랑,"대구광역시 수성구 수성로 312, 2층 (수성동2가)",
국외여행업,(주)영남투어,"대구광역시 수성구 범안로 2-9, 101호 (범물동)",
국외여행업,(주)더부러네트워크,"대구광역시 수성구 명덕로 494-6, 103호 (범어동)",053-746-6660
국외여행업,황금여행사,"대구광역시 수성구 범어로 9, 1층 (범어동)",053-759-1209
국외여행업,(주)이인식여행사,"대구광역시 수성구 청솔로 136, 305호 (범어동)",
국외여행업,엠에스관광,"대구광역시 수성구 동대구로 395, 블루시마팰리스 (범어동)",
국외여행업,엠투어(대구),"대구광역시 수성구 알파시티1로 206, 마이더스타운 506호 (대흥동)",053-425-0747
국외여행업,주식회사 만남투어여행사,대구광역시 수성구 청호로46길 11 (황금동),053-857-8830
국외여행업,위더스 투어,"대구광역시 수성구 명덕로 368, 207호 (수성동1가, 우방한가람타운)",053-215-2894
국외여행업,팬다스쿠바 투어,대구광역시 수성구 범안로 12 (범물동),053-784-0808
국외여행업,투어패밀리,"대구광역시 수성구 동원로 136, 이마트만촌점 (만촌동)",053-201-1113
일반여행업,(주)스마일관광,대구광역시 수성구 욱수천로 38-9 (욱수동),053-474-0088
일반여행업,(주)덱스코,"대구광역시 수성구 화랑로8길 11-13 (만촌동, 성화빌딩)",053-746-8007
일반여행업,삼성플러스관광(주),대구광역시 수성구 알파시티2로 37 (시지동),053-794-8700
일반여행업,(주)예투어,대구광역시 수성구 들안로2길 52-4 (두산동),053-427-0815
일반여행업,넥서스투어 주식회사,"대구광역시 수성구 화랑로 46, 1층 (만촌동)",053-759-5125
일반여행업,(주)거산투어여행사,대구광역시 수성구 달구벌대로 2277 (수성동4가),053-554-2525
일반여행업,주식회사 에듀투어,"대구광역시 수성구 지범로 191, 지하2층 (범물동, 동아백화점수성점)",053-421-3501
일반여행업,여행으로 크는 아이들 굴렁쇠,대구광역시 수성구 범어천로 23-3 (황금동),053-428-0208
일반여행업,더블유관광협동조합,대구광역시 수성구 알파시티2로 37 (시지동),053-474-2300
일반여행업,(주)평화고속관광,"대구광역시 수성구 수성로69길 65, 7동 301호 (수성동1가, 수성롯데캐슬더퍼스트2단지)",053-422-9925
일반여행업,(주)평화여행사,"대구광역시 수성구 수성로69길 65, 7동 301호 (수성동1가, 수성롯데캐슬더퍼스트2단지)",053-422-9925
일반여행업,(주)힐링투어 앤 골프,대구광역시 수성구 상록로 82 (범어동),053-742-3535
일반여행업,(주)드림투어로,"대구광역시 수성구 들안로 181, 3층 (중동)",053-764-2625
일반여행업,더블유티앤씨,"대구광역시 수성구 용학로 293-9, 2층 (지산동)",053-639-7875
일반여행업,(주)투어인터불고,"대구광역시 수성구 화랑로 108, 3층 (만촌동)",053-714-5055
일반여행업,퍼스트여행사,"대구광역시 수성구 신매로 102-1, 2층층 (신매동)",053-793-4418
일반여행업,마루투어,"대구광역시 수성구 국채보상로 931, 3층 (만촌동)",053-721-7121
일반여행업,라온컨벤션,"대구광역시 수성구 미술관로 40, 대구미술관 1층 (삼덕동)",053-792-7788
일반여행업,아이피엠 코퍼레이션,"대구광역시 수성구 청수로26길 36, 한성스퀘어 601호 (두산동)",070-4797-1712
관광숙박업,(주)호텔 수성,대구광역시 수성구 용학로 106-7 (두산동),053-763-7311
관광숙박업,호텔아리아나,대구광역시 수성구 동대구로 27 (두산동),053-765-7776
관광숙박업,(주)그랜드관광호텔,대구광역시 수성구 동대구로 305 (범어동),053-742-0001
관광숙박업,호텔인터불고,"대구광역시 수성구 팔현길 212 (만촌동, 호텔인터불고)",053-602-7113
관광숙박업,(주)호텔 라온제나,"대구광역시 수성구 범어천로 73 (범어동, 호텔 라온제나)",053-718-7000
