영업종류,상호,소재지(도로명),연락처,위도,경도,데이터기준일자
국외여행업,(주)이천이월드고속관광,대구광역시 북구 동북로 145 (산격동),053-351-5882,35.9006021,128.609155,2021-07-23
국외여행업,(주)아름다운 여행사,대구광역시 북구 성북로 1 (침산동),053-352-7088,35.89018268,128.5838428,2021-07-23
국외여행업,(주)드림항공여행사,"대구광역시 북구 침산로 100, 125호 (칠성동2가, 오페라삼정그린코아더베스트)",053-357-5200,35.88523384,128.5913158,2021-07-23
국외여행업,(주)엔케이,대구광역시 북구 구암로 207 (구암동),053-313-2002,35.93182145,128.5635808,2021-07-23
국외여행업,더월드 투어,대구광역시 북구 학정로 426 (구암동),053-326-8226,35.94268937,128.5639907,2021-07-23
국외여행업,(주)진투어,"대구광역시 북구 팔달로 201, 2층 (노원동2가)",053-353-8333,35.88849076,128.5721006,2021-07-23
국외여행업,가람여행사,"대구광역시 북구 구암로 110, 4층 (태전동)",,35.93169038,128.5530296,2021-07-23
국외여행업,(주)새천년고속관광,"대구광역시 북구 동암로12길 15, 3층 (동천동)",053-323-8015,35.94361469,128.5569368,2021-07-23
국외여행업,주식회사 신라여행사,"대구광역시 북구 연암로 68-1, 2층 (산격동)",,35.89144726,128.5961029,2021-07-23
국외여행업,엘지에스(LZS),"대구광역시 북구 동북로 117, 소프트웨어벤처타워동 104-2호 (산격동)",1688-3570,35.90216568,128.6065304,2021-07-23
국외여행업,진 월드투어,"대구광역시 북구 동북로 163, 101동 113호 (산격동, 산격대우아파트상가)",053-382-0705,35.89901704,128.612444,2021-07-23
국외여행업,(주)영일항공여행사,"대구광역시 북구 호국로43길 17, 2층 (서변동)",053-382-0101,35.92090608,128.5971554,2021-07-23
국외여행업,글로벌 여행사,"대구광역시 북구 칠성남로30길 20, 5층 (칠성동2가)",053-422-7736,35.87647192,128.5969871,2021-07-23
국외여행업,오로라 투어,대구광역시 북구 서변로9길 2 (서변동),,35.92011681,128.5963738,2021-07-23
국외여행업,(주)세주투어,"대구광역시 북구 옥산로17길 50, 101동 상가10호 (침산동, 침산제일아파트)",053-341-5545,35.88893233,128.5870236,2021-07-23
국외여행업,심미정투어,대구광역시 북구 침산남로13길 27 (노원동1가),053-356-6870,35.89050763,128.5800349,2021-07-23
국외여행업,브라운백여행사,"대구광역시 북구 호국로 229, 5층 (서변동)",,35.9223568,128.599039,2021-07-23
국외여행업,주식회사 렛츠스카이,"대구광역시 북구 동북로 117, 507호 (산격동, 소프트웨어 벤처타워)",053-525-7600,35.90216568,128.6065304,2021-07-23
국외여행업,소풍여행사,대구광역시 북구 칠곡중앙대로 28 (팔달동),,35.89869572,128.5485456,2021-07-23
국외여행업,(주)홀리데이여행,"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점대구역)",,35.87588137,128.5961189,2021-07-23
국외여행업,주식회사 아름다운 사람과 길,"대구광역시 북구 경대로5길 12-1, 2층 (대현동)",,35.88483992,128.6123235,2021-07-23
국외여행업,(주)나드리투어,"대구광역시 북구 칠곡중앙대로 551, 1층 (읍내동)",053-326-5400,35.94476125,128.5506824,2021-07-23
국외여행업,(주)경상관광여행사,"대구광역시 북구 호암로 51, 삼성창조경제단지 1층 7호 (침산동)",,35.88368751,128.5959781,2021-07-23
국외여행업,KT travel,대구광역시 북구 성북로5길 17 (침산동),053-941-5555,35.89255811,128.5865187,2021-07-23
국외여행업,알짜여행,대구광역시 북구 칠곡중앙대로 232 (태전동),,35.91671247,128.5486813,2021-07-23
국외여행업,(주)에스제이여행카페,"대구광역시 북구 동천로 120, 3층 302호 (동천동)",,35.94228004,128.5609508,2021-07-23
국외여행업,몽투어(Mongtour),"대구광역시 북구 동북로 35, 동광빌딩 4층 (산격동)",,35.90222869,128.5975797,2021-07-23
국외여행업,(주)글로벌투어,"대구광역시 북구 대구체육관로11길 25, 302호 (산격동)",053-422-8220,35.89378498,128.6044392,2021-07-23
국외여행업,㈜중국항공,"대구광역시 북구 구암로65길 2-1, 502호 (구암동)",053-427-2884,35.94067252,128.5692632,2021-07-23
국외여행업,㈜모바일골프,"대구광역시 북구 팔달로 93, 3층 312호 (노원동3가)",,35.89040337,128.5602736,2021-07-23
국외여행업,㈜자이언트골프앤투어,"대구광역시 북구 팔달로 93, 1,2층 212호 (노원동3가)",,35.89040337,128.5602736,2021-07-23
국외여행업,㈜알파월드투어,"대구광역시 북구 침산남로 49, 3층 (노원동1가)",,35.88949244,128.5812126,2021-07-23
국외여행업,㈜트래블스테이션,"대구광역시 북구 칠성남로 122, 2층 (칠성동2가)",1644-9223,35.87774155,128.5936078,2021-07-23
관광숙박업,(주)인터불고 엑스코,대구광역시 북구 유통단지로 80 (산격동),053-380-0114,35.90699961,128.6112869,2021-07-23
일반여행업,(주)대진고속관광,대구광역시 북구 칠곡중앙대로 620 (읍내동),053-323-0025,35.95060754,128.5533391,2021-07-23
일반여행업,"주식회사 엠씨씨 투어(MCCTOUR.Co.,Ltd.)","대구광역시 북구 학정로 143-16, 2층 (태전동)",,35.92155118,128.5509421,2021-07-23
일반여행업,(주)그랜드관광,대구광역시 북구 칠곡중앙대로129길 77-7 (읍내동),053-475-1008,35.9444817,128.5507137,2021-07-23
일반여행업,주식회사 제피러스,"대구광역시 북구 호암로 51, 4층 (침산동, 대구창조경제혁신센터)",,35.88368751,128.5959781,2021-07-23
일반여행업,진미여행사,"대구광역시 북구 침산로 93, 스펙트럼시티 2층 22호 (칠성동2가)",053-262-0610,35.88522335,128.5897872,2021-07-23
일반여행업,(주)차이나드림투어,"대구광역시 북구 침산로 116, 2층 (침산동)",053-213-8336,35.8867024,128.5914375,2021-07-23
일반여행업,(주)새천년관광,"대구광역시 북구 동암로12길 15, 3층 (동천동)",053-327-3322,35.94361469,128.5569368,2021-07-23
일반여행업,유성투어,"대구광역시 북구 연암로 115, 3층 (산격동)",053-341-8874,35.89482731,128.5942673,2021-07-23
일반여행업,(주)경대쌍마관광,"대구광역시 북구 대학로 80, 경북대학교 구내복지관 1층 (산격동)",053-956-5061,35.88901082,128.6145155,2021-07-23
일반여행업,(주)아름다운 사람과 길,"대구광역시 북구 경대로5길 12-1, 2층 (대현동)",,35.88483992,128.6123235,2021-07-23
일반여행업,메디엠,"대구광역시 북구 태전로13길 12-2, 201호 (태전동)",053-424-1038,35.92508929,128.5419576,2021-07-23
일반여행업,주식회사 불도저,"대구광역시 북구 옥산로 111, 대구은행 제2본점 5층 (칠성동2가)",070-5161-2665,35.88445592,128.5882199,2021-07-23
일반여행업,(주)케이패스,"대구광역시 북구 성북로9길 3, 2층 (침산동)",,35.89167686,128.5879411,2021-07-23
일반여행업,칠성여행사,대구광역시 북구 칠성로17길 5-1 (칠성동2가),,35.87919587,128.598403,2021-07-23
일반여행업,에이치투어 주식회사,"대구광역시 북구 영송로 15, 대구보건대학교 5층 504호 (태전동)",,35.92684647,128.5440308,2021-07-23
일반야영장업,금호강 산격야영장,대구광역시 북구 산격동 1477-1,053-589-5855,35.90670062,128.6026986,2021-07-23
자동차야영장업,금호강 오토캠핑장 ,대구광역시 북구 검단동 458-4,,35.91863428,128.6115428,2021-07-23
외국인관광 도시민박업,패밀리민박,대구광역시 북구 대학로9길 68-2 (산격동),,35.89682259,128.6061904,2021-07-23
국제회의기획업,(주)엑스코,대구광역시 북구 엑스코로 10 (산격동),053-601-5051,35.90707161,128.6130712,2021-07-23
국제회의기획업,한국전시산업연구원(주),"대구광역시 북구 유통단지로 90, 403A호 (산격동, 엑스코)",053-601-5330,35.907056,128.613133,2021-07-23
국제회의기획업,(주)동인전람,대구광역시 북구 유통단지로7길 57 (산격동),053-384-5477,35.91014909,128.6087519,2021-07-23
국제회의기획업,주식회사 타이탄,"대구광역시 북구 동북로 117, 8층 803호 (산격동, 소프트웨어벤처타워)",053-525-7500,35.89271952,128.6136802,2021-07-23
국제회의기획업,(주)엑스코피아,대구광역시 북구 유통단지로8길 116 (산격동),053-381-2831,35.90216568,128.6065304,2021-07-23
국제회의기획업,(주)아이엠전시문화,"대구광역시 북구 유통단지로24길 34, 201호 (산격동)",053-383-1130,35.90763879,128.6167094,2021-07-23
국제회의기획업,소나무,"대구광역시 북구 유통단지로3길 21, 1층 (산격동)",,35.90671932,128.6167355,2021-07-23
국제회의기획업,마이스산업연구원(주),"대구광역시 북구 호국로43길 17 (서변동, 서변동 우체국)",,35.90642901,128.6029403,2021-07-23
국제회의기획업,주식회사 렛츠스카이,"대구광역시 북구 동북로 117, 507호 (산격동, 소프트웨어 벤처타워)",,35.92090608,128.5971554,2021-07-23
국제회의기획업,(주)에스에이지코리아,대구광역시 북구 칠성남로38길 56 (칠성동2가),053-217-0088,35.90216568,128.6065304,2021-07-23
국제회의기획업,(주)이끌림디자인,"대구광역시 북구 검단로 135, 101동 203호 (검단동)",,35.89574647,128.6015298,2021-07-23
국제회의기획업,주식회사 디오씨앤,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 204호 (산격동)",,35.90707161,128.6130712,2021-07-23
국제회의기획업,대성기획,대구광역시 북구 산격로11길 33-2 (산격동),,35.89574647,128.6015298,2021-07-23
한옥체험업,(사)영남선비문화수련원,"대구광역시 북구 연암공원로17길 20 (산격동, 구암서원)",053-959-7200,35.89881464,128.5989941,2021-07-23
일반유원시설업,롯데백화점 대구점 키즈파크,"대구광역시 북구 태평로 161, 8층 (칠성동2가, 롯데백화점대구역)",053-660-1221,35.87588137,128.5961189,2021-07-23
일반유원시설업,엑스코 상상체험 키즈월드,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 1층 (산격동)",,35.90707161,128.6130712,2021-07-23
기타유원시설업,비트,대구광역시 북구 대학로15길 6 (산격동),,35.89244949,128.6083059,2021-07-23
기타유원시설업,로프로프 키즈카페,"대구광역시 북구 구암로32길 6-20, 3층 (구암동)",,35.93132518,128.555986,2021-07-23
기타유원시설업,너티차일드 대구점,"대구광역시 북구 호암로 51, 파크몰 B동 2층 (침산동, 대구삼성창조경제단지)",,35.88368751,128.5959781,2021-07-23
기타유원시설업,키즈몽 사수점,"대구광역시 북구 내곡로 38-6, 3층 (사수동)",,35.89893543,128.5106393,2021-07-23
기타유원시설업,플레이2,"대구광역시 북구 호국로 215, 303호 (서변동)",,35.92086173,128.5988172,2021-07-23
기타유원시설업,라라랜드키즈카페,"대구광역시 북구 호국로 225, 4층 (서변동)",053-939-0520,35.9218972,128.5990245,2021-07-23
기타유원시설업,애플블록앤퍼즐,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 2층 (동천동)",053-322-0826,35.94484497,128.5559701,2021-07-23
기타유원시설업,모모키즈빌리지,"대구광역시 북구 유통단지로14길 22, 일반의류관 4층 (산격동)",053-719-2692,35.9052197,128.6103648,2021-07-23
기타유원시설업,㈜아이니멀티플랙스,"대구광역시 북구 침산로 93, 스펙트럼시티 5층 (칠성동2가)",,35.88522335,128.5897872,2021-07-23
기타유원시설업,꼼지락노리터,"대구광역시 북구 검단로 255, 상가3동 201호 (검단동, 민들레아파트)",,35.91633109,128.6281563,2021-07-23
기타유원시설업,리틀비틀,"대구광역시 북구 팔거천동로 221, 3층 (동천동)",,35.9437455,128.5578799,2021-07-23
기타유원시설업,위니키즈카페,"대구광역시 북구 침산로 168, 엠브로타워 6층 601호 (침산동)",053-341-9401,35.89119501,128.5906181,2021-07-23
기타유원시설업,루카치키,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 지하1층 (산격동)",,35.90707161,128.6130712,2021-07-23
기타유원시설업,태권 앤 방방,대구광역시 북구 침산남로 96 (침산동),,35.88896317,128.5862485,2021-07-23
