구분,구군,업종중분류,업체명,"물놀이업체해당여부(○, × 표시)","총 기종수(안전성검사대상기종,안전성검사비대상기종)",대표자,소재지,전화번호,허가(신고)일자,등록년월일(변경등록),자본금(원),비고(휴업 등 여부)
11,동구,일반유원시설업,동촌랜드,×,"1(1,0)",안인자,대구광역시 동구 효목동 1113,,1987-12-30,1987-12-30,,
12,동구,일반유원시설업,주라지(ZOORAJI),×,"2(2,0)",배재석,"대구광역시 동구 동부로 149,9층(신천동,동대구복합환승센터)",053-661-1042,2016-12-14,2018-04-16,,
13,동구,기타유원시설업,㈜바운스 트램폴린파크 대구신세계점,×,"6(0,6)",김여진,"대구광역시 동구 효신로 88, 7층(신암동, 동대구역박차장)",053-661-1780,2016-12-14,2016-12-14,,
14,동구,기타유원시설업,펀시티(Funcity),×,"1(0,1)",서덕원,"대구광역시 동구 동부로 149, 9층(신천동, 동대구역복합환승센터)",,2016-12-14,2016-12-14,,
15,동구,기타유원시설업,㈜타요키즈카페 현대시티아울렛점,×,"6(0,6)",정금선,"대구광역시 동구 동대구로 454, 6층 (신천동)",,2017-05-17,2017-05-17,,
16,동구,기타유원시설업,점핑봉봉,×,"2(0,2)",김해주,"대구광역시 동구 화랑로80길 12, 4층 (방촌동)",,2017-10-20,2017-10-20,,
17,동구,기타유원시설업,챔피온,×,"2(0,2)",김남경,"대구광역시 동구 동촌로 127, 홈플러스 동촌점 1층 (검사동)",053-985-9850,2017-12-18,2017-12-18,,
18,동구,기타유원시설업,맥스라이더,×,"1(0,1)",김남경,"대구광역시 동구 동촌로 127, 홈플러스 동촌점 1층 (검사동)",053-985-9850,2017-12-18,2017-12-18,,휴업
19,동구,기타유원시설업,㈜현대백화점 현대시티아울렛 대구점,×,"1(0,1)",박병준,대구광역시 동구 동대구로 454(신천동),053-770-1234,2018-03-09,2018-03-09,,
20,동구,기타유원시설업,플레이스쿨키즈카페,×,"4(0,4)",최성규,"대구광역시 동구 안심로22길 40-1, 5층(율하동)",,2018-05-17,2018-05-17,,
21,동구,기타유원시설업,유후점핑클럽,×,"1(0,2)",박남규,"대구광역시 동구 이노밸리로26길 17, 3층(각산동)",,2018-06-27,2018-06-27,,
22,동구,기타유원시설업,노리파크 대구혁신도시점,×,"1(0,1)",문봉우,"대구광역시 동구 경안로 850, 4층(각산동)",,2018-07-31,2018-07-31,,
23,동구,기타유원시설업,뽀로로 맘앤키즈카페,×,"1(0,1)",최종일 외 1명,"대구광역시 동구 안심로 389-2, 이마트 반야월점 1층(신서동)",,2019-05-23,2019-05-23,,
24,동구,기타유원시설업,기드온 주식회사,×,"3(0,1)",전혜선,대구광역시 동구 동부로149 신세계백화점7층 토이킹덤 대구점(신천동),,2019-08-07,2019-08-07,,
25,동구,기타유원시설업,슈퍼몬스터,×,"4(0,1)",이자경,대구광역시 동구 안심로389-5(신서동),,2019-11-15,2019-11-15,,
26,동구,기타유원시설업,리틀팡팡,×,"10(0,1)",이건오,대구광역시 동구 안심로22길 60-11(율하동),,2019-12-20,2019-12-20,,
27,동구,기타유원시설업,VRUN,×,"2(0,2)",차은아,"대구광역시 동구 동부로149,신세계동대구복합환승센터 9층 (신천동)",,2020-04-22,2020-04-22,,
28,서구,기타유원시설업,점프점프플레이방,×,안전성검사비대상 : 3,방지혜,"대구광역시 서구 평리로 377, 2층 (평리동)",,2016-02-04,2020-03-02,,
29,서구,기타유원시설업,플레이봉봉,×,안전성검사비대상 : 3,이선현,"대구광역시 서구 국채보상로 316 201동 201호(평리동, 평리롯데캐슬)",053-525-8880,2017-01-23,2017-08-22(2018-10-02),,
30,서구,기타유원시설업,몽키팡팡,×,안전성검사비대상 : 1,권택순,대구 서구 달서천로57길 32. 3층,053-351-2589,2017-02-21,,,
31,남구,기타유원시설업,슈슈봉봉디노,×,"1(0,1)",이정향,"대구광역시 남구 용두2길 42, 2층(봉덕동)",053-471-8002,2020-07-27,2020-07-27,,
32,북구,일반유원시설업,롯데백화점대구점키즈파크,×,"2(2,0)","롯데역사㈜,정동혁","대구광역시 북구 태평로 161, 8층(칠성동2가)",053-660-1221,2016-11-10,2019-09-15,,"대표자,안전관리자 변경"
33,북구,기타유원시설업,나인로드 피제리아 침산점,×,"1(0,1)",이동혁,대구광역시 북구 중앙대로 531 (칠성동2가),053-356-8118,2016-10-06,,,
34,북구,기타유원시설업,비트,×,"3(0,3)",임지훈,대구광역시 북구 대학로15길 6 (산격동),,2016-10-28,,,
35,북구,기타유원시설업,로프로프키즈카페,×,"1(0,1)",이숙자,"대구광역시 북구 구암로32길 6-20, 3층(구암동)",,2017-04-24,,,
36,북구,기타유원시설업,너티차일드 대구점,×,"8(0,8)",김동관,"대구광역시 북구 호암로 51, 파크몰B동2층(침산동, 대구삼성창조경제단지)",,2017-04-25,,,
37,북구,기타유원시설업,킹콩점프,×,"2(0,2)",김영란,"대구광역시 북구 매천로 124, 3층(매천동)",053-326-5112,2017-08-08,,,
38,북구,기타유원시설업,키즈몽 사수점,×,"4(0,4)",우영자,"대구광역시 북구 내곡로 38-6, 3층(사수동)",,2017-10-31,,,
39,북구,기타유원시설업,맥스라이더 칠성점,×,"1(0,1)",이애경,"대구광역시 북구 중앙대로 543, 2층(칠성동2가)",053-350-8000,2017-11-02,,,
40,북구,기타유원시설업,플레이2,×,"1(0,1)",신현숙,"대구광역시 북구 호국로 215, 303호(서변동)",,2017-11-14,,,
41,북구,기타유원시설업,꼬마대통령칠곡점,×,"2(0,2)",이선미,"대구광역시 북구 학정로431, 우리빌딩5층(동천동)",,2018-01-24,,,
42,북구,기타유원시설업,라라랜드키즈카페,×,"1(0,1)",김영도,"대구광역시 북구 호국로 225, 4층(서변동)",053-939-0520,2018-02-22,,,
43,북구,기타유원시설업,스타이점핑랜드 칠곡점,×,"2(0, 2)",김대수,"대구광역시 북구 동암로 104, 4층 (동천동)",053-326-7773,2018-06-14,,,
44,북구,기타유원시설업,홈플러스대구점 챔피언,×,"1(0, 1)",김종수,"대구광역시 북구 중앙대로 543, 2층(칠성동2가)",053-355-0970,2018-09-28,,,
45,북구,기타유원시설업,애플블록앤퍼즐,×,"1(0, 1)",도환운,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 2층 (동천동)",053-322-0826,2019-07-10,,,
46,북구,기타유원시설업,모모키즈빌리지,×,"8(0,8)",장보연,"대구광역시 북구 유통단지로14길 22, 4층 (산격동)",053-719-2692,2019-08-12,,,
47,북구,기타유원시설업,봉봉해물탕,×,"2(0,2)",황정희,"대구광역시 북구 유통단지로7길 21, 1층 (산격동)",053-383-8000,2019-08-30,,,
48,북구,기타유원시설업,타임몬스터,×,"2(0,4)",이재숙,"대구광역시 북구 침산로 93, 4층 (칠성동2가)",,2019-10-22,,,
49,수성구,일반유원시설업,(주)수성랜드, ×,안전성검사대상 : 9안전성검사비대상 : 18,김영미,수성구 용학로 35-5 (상동),053-762-6622,1993-07-09,2019-02-26,,
50,수성구,일반유원시설업,(주)수성파크랜드, ×,안전성검사대상 : 4안전성검사비대상 : 26,박기영,"수성구 용학로 35-3 (상동,외3필지)",053-762-8400,1994-07-30,2019-09-16,,
51,수성구,일반유원시설업,대구광역시 어린이회관, ×,안전성검사대상 : 2안전성검사비대상:1,이영락,수성구 동대구로 176 (황금동),053-760-0617,2007-03-07,2019-08-21,,휴업(2.18.~ )
52,수성구,기타유원시설업,(주)이키즈랜드 코코몽 대구수성점, ×,안전성검사비대상 : 2,조일성,"수성구 지범로 191, 8층 (범물동, 동아백화점수성점)",053-780-1977,2017-05-23,2019-05-21,,
53,수성구,기타유원시설업,(주)히어로키즈파크대구지점, ×,안전성검사비대상 : 3,박진용,"수성구 유니버시아드로 140, 1호 (대흥동)",053-719-3773,2017-11-17,2018-04-09,,
54,수성구,기타유원시설업,키존빌리지 키즈카페 대구수성점, ×,안전성검사비대상 : 3,김건수,"수성구 유니버시아드로 140, 대구스타디움몰 101동 1층 42호 (대흥동)",053-222-6410,2018-04-12,2019-08-27,,휴업(2.17.~ )
55,수성구,기타유원시설업,모넬로 대구수성점, ×,안전성검사비대상 : 1,장재혁,"수성구 달구벌대로 2811, 지하1층 (이천동)",,2019-05-29,2019-03-04,,
56,수성구,기타유원시설업,4D롤러코스터, ×,안전성검사비대상 : 1,박천식,"수성구 유니버시아드로 140, 대구스타디움몰 70호 (대흥동)",,2019-10-04,2019-05-29,,
57,수성구,기타유원시설업,fun the land, ×,안전성검사비대상 : 2,이재욱,"수성구 용학로 106-7, 2층 (두산동)",,2019-12-20,2019-03-15,,
58,달서구,종합유원시설업,이월드,×,"33(30,3)",유병천,대구광역시 달서구 두류공원로 200(두류동),053-620-0001,1995-03-02,2019-02-18,,
59,달서구,일반유원시설업,온천 엘리바덴,○,"4(4,0)",나우태,대구광역시 달서구 상인서로 8-6(상인동),053-664-7000,2012-12-11,2018-05-02,,
60,달서구,일반유원시설업,대구광역시시설관리공단(두류수영장),○,"5(4,1)",김호경,대구광역시 달서구 공원순환로 237(성당동),053-623-2150,2015-05-20,2017-06-20,,2021-06-30까지 휴업
61,달서구,기타유원시설업,슈퍼윙스 키즈카페홈플러스 성서점,×,"4(0,4)",김순중,대구광역시 달서구 달구벌대로 1467(용산동),,,2016-04-21(2019-12-09),,
62,달서구,기타유원시설업,아이마밍,×,"1(0,1)",조미선,"대구광역시 달서구 구마로 131, 2층 (본리동)",053-553-1030,2016-09-05,2016-09-05(2019-04-22),,
63,달서구,기타유원시설업,타요키즈카페 대구월성점,×,"2(0,2)",백진욱,"대구광역시 달서구 조암로 17, 7층 302호(월성동)",,2017-07-27,2017-07-27,,
64,달서구,기타유원시설업,맥스라이더 상인점,×,"1(0,1)",한혜경,"대구광역시 달서구 월배로 183, 지하2층 XJ,Y10호",,2017-11-02,2017-11-02,,
65,달서구,기타유원시설업,헬로방방 월성,×,"4(0,4)",전상훈,"대구광역시 달서구 조암남로 85, 4층 408,409호(월성동, DS타워)",,2017-12-06,2017-12-06,,
66,달서구,기타유원시설업,슈슈봉봉 대구 월성점,×,"1(0,1)",송주현,"대구광역시 달서구 조암로 42, 플러스타워 8층(월성동)",,2017-12-13,2017-12-13,,
67,달서구,기타유원시설업,아이점프 월배점,×,"2(0,2)",박찬영,"대구광역시 달서구 조암남로28길 9, 2층 202,203호(대천동)",053-635-0071,2018-02-19,2018-02-19,,
68,달서구,기타유원시설업,스카이점핑랜드(월성점),×,"1(0,1)",정경화,"대구광역시 달서구 조암로6길 6-18, 4층",053-631-7771,2018-06-20,2018-06-20,,
69,달서구,기타유원시설업,스카이점핑랜드(성서점),×,"2(0,2)",노병주,"대구광역시 달서구 이곡공원로 12, 3층",053-588-3311,2018-08-20,2018-08-20,,
70,달서구,기타유원시설업,원더 4D,×,"1(0,1)",정미회,"대구광역시 달서구 달구벌대로 1467, 성서홈플러스 지하 2층 (용산동)",,2018-10-25,2018-10-25,,
71,달서구,기타유원시설업,알리딘 키즈카페,×,"1(0,1)",변영자,"대구광역시 달서구 와룡로 169, 106동 201~207호 (감삼동, 월드마크웨스트엔드)",,2018-12-24,2018-12-24,,
72,달서구,기타유원시설업,㈜유성스파랜드 엘리몽,×,5(0.5),박윤정,"대구광역시 달서구 조암로 38, 3층(월성동)",053-288-5000,2019-07-29,2019-07-29,,
73,달서구,기타유원시설업,리틀비틀,×,"2(0,2)",이준우,"대구광역시 달서구 달구벌대로 1525, 4층",,2019-12-04,2019-12-04,,
74,달서구,기타유원시설업,테리베리 키즈카페,×,"1(0,1)",장재용,"대구광역시 달서구 계대동문로 98, 5층",,2019-12-04,2019-12-04,,
75,달서구,기타유원시설업,클래비파크,×,"2(0,2)",이송이,"대구광역시 달서구 와룡로 143, 상가동 209호",053-558-6600,2020-01-30,2020-01-30,,
76,달성군,종합유원시설업,㈜스파밸리,o,"12(12,0)",홍준표, 달성군 가창면 가창로 891,053-608-5000,2003-07-01,2013-09-06(2020-07-09),,휴업(2020-08-24~2020-10-31)대표자 지위승계(2020-07-09)
77,달성군,일반유원시설업,허브랜드 주식회사,×,"9(8, 1)",김판덕, 달성군 가창면 가창로 1003,053-767-6300,2004-05-04,2015-12-16(2019-01-30),,
78,달성군,기타유원시설업,제나드,×,"1(0, 1)",박은미,"달성군 옥포면 돌미상업로2길 1, 5층",053-611-7983,2018-05-28,,,
79,달성군,기타유원시설업,실버스타,×,"1(0, 1)",박은성," 달성군 구지면 과학마을로 60, 덕성빌딩  3층",053-617-2208,2018-06-15,,,
80,달성군,기타유원시설업,노리파크 대구서재점,×,"2(0, 2)",김소현," 달성군 다사읍 서재로7길 36, 4층",053-588-0022,2018-06-18,,,
81,달성군,기타유원시설업,스카이점핑랜드 죽곡점,×,"2(0, 2)",정안희," 달성군 다사읍 달구벌대로 861, 9층",053-585-5780,2018-06-19,,,
82,달성군,기타유원시설업,죽곡 차타타,×,"1(0,1)",김수정,"달성군 다사읍 대실역남로 18, 3층",053-585-3933,2018-07-09,,,
83,달성군,기타유원시설업,큐비쥬노리카페,×,"2(0,2)",박향자,"달성군 옥포면 돌미상업로 10, 3층",053-614-2361,2018-07-25,,,
84,달성군,기타유원시설업,네이처파크,×,"1(0,1)",홍지영,달성군 가창면 가창로 891,053-608-5000,2019-05-20,,,
85,달성군,기타유원시설업,제페토키즈카페,×,"1(0,1)",박미옥,"달성군 다사읍 세천로 157, 4층",053-585-7715,2019-11-28,,,
