연번,관광지,주소,내용,데이터기준일자
15,자유공원,인천광역시 중구 자유공원남로 35 (송학동1가),"우리나라 최초의 서구식 근대공원이다. 각국공동조계 내에 위치했기 때문에 각국 공원이라 불렸다. 공원의 설계는 러시아 측량 기사 사바찐이 담당했으며, 일제강점기에는 서공원으로, 광복 직후에는 만국공원으로도 불렸다. 이후 1957년 자유공원으로 이름을 바꾸었으며, 인천기상대가 매일 낮 12시 대포로 시각을 알렸기에 오포산이라 불리기도 했다.",2021-07-20
16,답동성당,인천광역시 중구 우현로50번길 2 (답동),"파리외방전교회 소속 빌렘 신부가 제물포성당을 창설한 것으로부터 시작되어 1895년 정초식 이후 본격화 되었다. 이듬해 종탑이 완공되고 축성식이 거행되었다. 신자수가 증가하자 제4대 드뇌 신부가 증축계획을 세웠고, 외곽을 벽돌로 쌓아올리는 등 개축을 시작하여 1937년 6월 현재의 구조를 완성했다.",2021-07-20
17,신포시장,인천광역시 중구 개항로26(신포동3),개항 당시 신포동은 인천의 중심지로서 어시장이 활성화 되었다. 이후 중국인이 야채장사를 주도하였고 일제강점기에는 일용품시장 등이 중심이 되었으며 광복 후 신포시장으로 명명되어 쫄면과 닭강정 등이 유명하다.,2021-07-20
18,인천관측소,인천광역시 중구 홍예문로68번길 25 (전동) 현) 인천기상대,"우리나라 최초의 근대적 기상 관측이 이루어진 곳이다. 1905년부터 국내외의 기상 정보를 수신하여 분석, 예고하는 업무를 담당했다. 1948년 중앙기상대가 서울로 이전하고 6·25전쟁 으로 관측시설이 파괴되어 그 기능이 축소되었다. 1992년 인천측후소에서 인천기상대로 명칭이 바뀌었다.",2021-07-20
19,존스톤 별장 터,인천광역시 중구 차이나타운로19번길 12 (북성동3가) 현) 한미수교백주년기,"영국인 사업가 제임스 존스톤의 여름 별장으로 1905년 완공되었다. 별장의 설계는 독일인 쿠르트 로트케겔이 맡고 건축은 중국인 리칭통이 했다. 1936년 인천부청이 매입하여 서공원회관으로 명명했고, 이듬해에는 고급 여관 겸 요정인 인천각으로 개칭되었다. 광복 후에는 미군 고급장교의 기숙사로도 사용되었으나 이후에 소실되었다.",2021-07-20
20,제물포구락부,인천광역시 중구 자유공원남로 25 (송학동1가),"인천광역시 유형문화재 제17호 1891년 인천에 거주하던 외국인들의 사교클럽으로 조직되었다. 초기에는 중구 관동1가의 목조 단층건물이었으나 1901년 중구 송학동1가에 지상 2층의 벽돌 건물을 신축, 이전했다. 설계는 러시아 건축가 사바찐이 담당했다. 사교실을 비롯 당구장, 독서실 및 테니스장 등의 편의시설들도 갖추었다. 이후 정방각, 미군 장교클럽, 시립박물관, 문화원 등으로 사용되었다. 현재는 제물포 구락부의 옛 모습을 재현한 문화공간으로 활용되고 있다.",2021-07-20
21,인천우체국,인천광역시 중구 제물량로 183 (항동6가),"현) 인천중동우체국, 인천광역시 유형문화재 제8호일본영사관은 1884년 4월우편업무를 시작했다. 1896년에는 영사관 내에 인천우편국을 신설했으며, 1905년부터는 통감부 통신관리국 소속으로 대한제국의 우편업무까지 담당했다. 1923년 지금의 자리에 신축되었다. ",2021-07-20
22,인천아트플랫폼,인천광역시 중구 제량물로 218번길 3(해안동 1가 10-1),"개항 후 인천항의 물류운송 업무가 증가하자 갯벌을 매립하여 이를 보관 할 수 있는 적벽돌 창고건축물들을 세웠다. 특히, 인천아트플랫폼 일대는 1899년 매립된 지역으로 현재 이러한 산업문화유산을 활용하여 지역예술인의 창작 활동을 도모하고 다양한 문화행사를 체험할 수 있는 복합문화공간으로 조성하였다. ",2021-07-20
23,한국기독교100주년기념탑,인천광역시 중구 제물량로 240 (항동1가),"1885년 4월5일 부활절에 미국 선교사 아펜젤러 목사 부부와 언더우드 목사가 선교를 목적으로 인천에 상륙했다. 이로부터 100주년 되는 해를 기념하여 중부경찰서 인근에 기념탑을 세웠고, 2008년 주변에 쉼터를 조성했다.",2021-07-20
24,영국영사관 터,인천광역시 중구 제물량로 257 (항동1가),"현) 파라다이스호텔 영국영사관은 1884년 설치되어 1897년 신축되었다. 서울 주재 초대 총영사 아스톤이 공사직을 수행하였으며, 초대 인천 영사는 해링턴이다.",2021-07-20
25,용궁사(龍宮寺),인천광역시 중구 운남로 199-1,"신라 문무왕 때 원효대사가 창건한 것으로 알려져 있는 절로 흥선대원군의 친필현판, 11m 미륵불관음전, 해강 김규진의 시 등 볼거리가 많다.",2021-07-20
26,을왕리해수욕장 ,인천광역시 중구 을왕동 269,가족단위의 물놀이를 즐길 수 있는 완만한 경사와 천연 백사장을 갖춘 해수욕장이다. 물이 빠지면 단단한 모래사장이 드러나 먼 바다까지 달려갈 수 있고 해질녘이면 전국 최고의 낙조를 감상할 수 있어 학생들과 직장인들의 MT장소로도 사랑받는 곳이다.,2021-07-20
27,왕산해수욕장,인천광역시 중구 용유서로423번길 일원,"울창한 수목림과 깨끗한 천연 백사장이 유명하고 한가한 어촌마을 풍경을 지녀 조용하고 오붓한 시간을 갖고 싶은 가족이나 연인이 찾기에 좋은 해수욕장이다. 용유팔경 중 하나인 왕산 낙조를 즐길 수 있고 썰물 때 드러난 갯벌 위로 조개와 소라줍기, 마사지 등 특별한 놀거리를 경험할 수 있는 곳이다.",2021-07-20
28,선녀바위자연발생유원지,인천광역시 중구 용유로 380번길 21(남북동),"울창한 수목림과 깨끗한 천연백사장이 유명하고 한가한 어촌 마을 풍경을 지녀 조용하고 오붓한 시간을 갖고 싶은 가족이나 연인이 찾기에 좋은 해수욕장이다. 용유팔경 중 하나인 왕산 낙조를 즐길 수 있고 썰물 때 드러난 갯벌 위로 조개와 소라줍기, 마사지 등 특별한 놀거리를 경험할 수 있다. ",2021-07-20
29,씨 스카이월드,인천광역시 중구 하나개로 144,"길이 413m, 높이 25m 활강코스로 케이블 2라인으로 하나개 해변의 바다 위를 가로지르며 짜릿한 체험과 즐거움을 시속 40~60㎞ 로 하늘을 나르는 수도권 최초로 도입된 익스트림 레포츠",2021-07-20
30,실미해수욕장  ,인천광역시 중구 무의동,"초승달 모양의 해변과 100년 이상 된 소나무 군락이 매우 아름다운 곳으로 썰물 때 물이 빠져 드러난 200m 정도의 갯벌에서 바지락, 소라, 밭게 등 해산물을 줍는 바다체험을 할 수 있다.",2021-07-20
31,무의도·실미도,인천광역시 중구 무의동,"잠진도 선착장에서 카페리를 타고 10분이면 도착하는 무의도. 섬의 형태가 장군복을 입고 춤을 추는 것 같다고 하여 이름 붙여진 ‘무의도(舞衣島)’는 언젠가부터 ‘천국의 섬’이란 애칭으로 불리며 젊은 연인들의 발길이 이어지고 있다. <천국의 계단>, <칼잡이 오수정>의 촬영세트장이 있는 하나개해수욕장과 천만 관객을 돌파한, <실미도>롤 유명해진 실미도와 실미해수욕장이 있으며 광명항 선착장에서 보이는 소무의도에는 故박정희대통령 전용 낚시터도 있어 아직까지 소무의도 주민들의 자부심이 대단하다.",2021-07-20
32,팔미도,인천광역시 중구 팔미로 28,"106년만에 민간에 개방된 팔미도는 우리나라 최초의 근대식 등대가 있는 섬이다. 인천상륙작전을 성공으로 이끌었다는 팔미도 등대는 광복 이후 교통부에서 인수하면서 정식으로 등대원을 파견하였다. 2003년 한국 등대 설치 100주년을 기념해 조형물인 ‘천년의 빛’이 설치되었고, 해양수산부에서 해양문화유산으로 지정함으로써 팔미도 등대는 영구히 보존하게 되었다.",2021-07-20
33,연안여객터미널,인천광역시 중구 연안부두로 70,"미지의 섬으로 향해 떠나는 설렘과 육지로 돌아오는 기쁨이 교차하는 연안여객터미널은 서해안 일원의 휴양지인 무의도, 덕적도, 자월도, 승봉도, 백령도 뿐 아니라 제주도까지 운행하는 여객선을 정기적으로 운행하고 있다. 특히 주변에는 횟집거리, 해수탕, 인천종합어시장 등이 있어 관광객들이 편리하게 이용할 수 있다.",2021-07-20
34,"패루 (중화가, 선린문, 인화문)",인천광역시 중구 차이나타운로 일원,"웨이하이(威海)시가 기증한 차이나타운의 대표적 상징물이다. 패루는 마을입구나 대로를 가로질러 세운 탑 모양의 중국식 전통대문으로, 정교하고 아름다운 건축 장식과 문화예술이 하나로 융합된 상징성을 보여준다. 차이나타운에 설치된 3개의 패루는 그 명칭이 각각 중화가(中華街), 선린문(善隣門), 인화문(仁華門)이다.",2021-07-20
35,송월동 동화마을,"인천광역시 중구 자유공원서로 45번길, 51번길",송월동은 소나무 숲 사이로 보이는 달이 운치가 있다 하여 붙여진 이름이다. 1883년 개항 이후 독일인을 비롯한 외국인들이 거주하면서 부촌을 형성하였던 지역으로 오랜 세월동안 허름해진 건물이나 담장에 세계 명작 동화를 테마로 하는 그림을 그리고 조형물을 설치하여 꿈을 꾸고 희망을 만나는 동화마을로 태어났다.,2021-07-20
36,"짜장면박물관_ 舊)공화춘, 등록문화재 제246호) ",인천광역시 중구 차이나타운로 56-14 (선린동),"공화춘의 전신은 청국 조계지에 음식점과 호텔의 혼합형 숙식업소로 있던 산동회관으로, 1911년 산동성 출신의 화교 우희광(于希光)이 지금의 위치에 이전 개업하였다가 이듬해 중화민국의 수립을 기념하여 공화춘(共和春)으로 개명하였다. 일제강점기에 인천과 서울의 상류층들이 이용하는 경인지역 최고급 요리점이었고, 6.25전쟁 이후에는 자장면 등 대중적인 음식 보급에 앞장섰다. 화강암 석축 위에 벽돌을 쌓아올린 2층 벽돌조 건물은 화교의 생활상을 보여주는 근대 문화유산이다. ",2021-07-20
37,한중문화관 ,인천광역시 중구 제물량로 238,"인천 차이나타운의 활성화를 위하여 2005년 중구청에서 건립하였다. 주말 상설 공연과 한국인을 위한 중국어 교실, 중국인을 위한 한국어 교실, 무료영화상영 및 다양한 기획 전시를 하고 있다. 서로 다른 양국의 문화를 이해할 수 있는 한중교류의 가교 역할을 해 나가는 곳으로 역사·문화·경제·사회· 생활상을 서로 비교해 볼 수 있다. ",2021-07-20
38,삼국지 벽화거리,인천광역시 중구 차이나타운로 51번길 일원," 삼국지 소설 속의 유비, 관우, 장비, 제갈공명 등의 무용과 지모를 소개하는 150m 길이의 대형 벽화이다. 후한(後漢) 말의 역사적 사실을 고사성어와 그림으로 보면서 과거로의 시간 여행을 즐길 수 있다. ",2021-07-20
39,"중구청_ 舊, 일본영사관 (등록문화재 제249호) ",인천광역시 중구 신포로27번길 80 (관동1가) 현) 인천 중구청,"1883년 일본조계지 내 거류민을 보호하기 위해 설치된 일본영사관은 이사청, 인천부 청사로 사용되다 1933년 지상 2층으로 신축 되었고, 1964년 현재의 모습인 3층으로 증축 되었다. 광복 후 인천시청으로 활용되다가 1985년부터 중구청으로 사용되고 있다. 모더니즘 양식의 수평의 긴 띠창이 특징이다.",2021-07-20
40,월미놀이동산 ,"인천광역시 중구 월미문화로, 월미로 일원",어깨가 절로 들썩여지는 신나는 음악과 각종 놀이기구에서 터져 나오는 젊은이들의 즐거운 비명이 사시사철 넘쳐나는 곳이다. 빙빙 돌아가는 넓적하고 동그란 접시 모양의‘아폴로 디스코’속 사람들의 모습과 DJ멘트는 관광객 에게 재미를 준다. ,2021-07-20
41,월미 문화의 거리 친수공간 ,인천광역시 중구 월미문화로 일원,"인천대교와 서해바다의 경관을 활용한 휴게 및 문화 이벤트 공간으로 별빛·수경·이벤트 광장과 전망대, 휴식·테마공간 등 직접 해양을 접할 수 있는 장소다. ",2021-07-20
42,‘젊음과 낭만이 있는 곳’ 월미도,인천광역시 중구 북성동1가 일원,"월미도는 달의 꼬리를 닮았다하여 이름 붙여진 월미도(月眉島)는 러일전쟁, 병인양요 및 인천상륙작전의 주무대로 인천의 역사이자 월미도 조탕이 있었던 1920년대 한국을 대표하는 유원지였다. 지금은 매립으로 인해 섬이 아닌 섬이 되어 월미공원, 월미문화의 거리, 월미놀이동산 등 인천의 역사와 문화가 담겨 있는 연인과 가족들을 위한 휴식처로 자리매김하고 있다.",2021-07-20
43,인천상륙작전표지석(그린비치),인천광역시 중구 월미문화로,"월미도 문화의 거리에는 1950년 9월 15일 새벽 한국전쟁을 승리로 이끈 인천상륙작전을 기념해 작전이 개시된 세 지점 레드비치(북성동 대한제분), 그린비치(월미도), 블루비치(연안부두) 중 제일 먼저 상륙작전이 이루어진 장소인‘그린비치’표지석이 건립되어 있다.",2021-07-20
44,월미 문화의 거리 ,인천광역시 중구 월미문화로 일원,"바다와 각종 공연 그리고 거리의 화가가 있는 월미 문화의 거리,‘이별의 인천항’노래비가 있는 곳에 닿으면 연인과 함께 바닷물에 손을 담글 수 있는 친수공간이 있어 그저 바라만 보는 바다가 아닌 낭만과 함께 추억 만들기가 가능한 거리이다.",2021-07-20
45,한국이민사박물관 ,인천광역시 중구 월미로 329,"미주 이민 100주년을 맞아 선조들의 해외에서의 개척자적인 삶을 기리고 그 발자취를 후손들에게 전하기 위해 첫 공식이민의 출발지였던 인천에 2008년 건립된 한국 최초의 이민사박물관이다. 1902년 첫 공식 이민 이후 총 64회에 걸쳐 건너간 7,415명 이민자들의 여정과 생활상, 이민 모집광고, 최초의 공식적인 여권‘집조’, 이민자를 싣고 하와이로 떠난 첫 선 ‘갤릭호’모형 등 다양한 자료를 전시하고 있다.",2021-07-20
46,월미공원 ,인천광역시 중구 월미로 131-31(북성동),"군부대가 주둔하면서 50년간 제한되다 2001년 시민들에게 개방된 월미공원은 자연생태계가 잘 보존된 생태공원이자 한국전쟁 당시 인천상륙작전이 개시된 역사공원이다. 또한 양진당, 소쇄원 및 전통 연못인 부용정, 애련정 등 한국 고건축의 미도 느낄 수 있는 전통공원이라 학생들의 교육장소와 시민들의 휴식공간으로 좋은 곳이다.",2021-07-20
47,북성포구,인천광역시 중구 북성동 일원,"소설 ‘괭이부리말 아이들’의 배경무대로 1970년대 인천 최대의 어항이였던 북성포구가 향후 대규모 수산물 공판장과 어시장, 회센터, 공연장 등 관광지역으로 조성하여 수도권 최고 포구의 옛 명성을 되찾을 예정이다.",2021-07-20
48,월미전망대,인천광역시 중구 북성동1가 산2-16,"2005년 23m의 3층 높이로 건립된 전망대로 피사의 사탑처럼 아랫부분이 좁아지는 특이한 모양과 밤이면 형형색색 빛을 발하는 우주선을 연상시킨다.전망대 꼭대기에 서면 인천항, 갑문 뿐만 아니라 인천시내와 자유공원을 한 눈에 볼 수 있으며 서해 바다의 낙조와 인천항 야경이 아름다워 연인들의 데이트 코스로도 좋다.",2021-07-20
49,인천항 갑문,인천광역시 중구 월미로 337, 최대 10m에 이르는 조수 간만의 차이를 극복하고 자유롭게 배가 드나들 수 있도록 조성된 인천항 갑문은 동양 최대이자 세계에서 세번째로 큰 도크를 가지고 있다. 1918년 준공된 제1도크와 1974년 준공된 제2도크를 통해 5만톤급과 1만 톤급 선박이 드나들면서 현재 명실상부한 국제항으로서의 모습을 갖추고 있다.,2021-07-20
50,연안부두 밴댕이 회무침 거리 ,인천광역시 중구 항동7가 일대,밴댕이만 전문적으로 요리하는 집이 삼십 여 곳 모여있는 연안부두 해양센터 건물은 아예‘밴댕이 건물’로 불릴 정도로 유명하다.‘밴댕이 소갈딱지’라는 말처럼 급한 성질을 가져 물밖으로 나오면 바로 죽고 마는 밴댕이는 회도 맛있지만 온갖 양념으로 버무린 무침은 매콤한 맛을 좋아하는 이들에게 인기있는 메뉴이다.,2021-07-20
51,연안부두 해양광장 ,인천광역시 중구 연안부두로 36,연안부두에서 서해 바다를 바라보기에 가장 좋은 곳이자 러일전쟁 100주년을 맞아 당시 인천 앞바다에서 숨진 러시아 군인들을 추모하기 위한 기념석이 있는 곳이 바로 해양광장이다. 서해바다의 낭만을 만끽할 수 있는 유람선과 다양한 맛집이 밀접한 지역이기도 하다.,2021-07-20
52,인천종합어시장,인천광역시 중구 연안부두로 33번길 37,"수도권 수산물 도매시장 중 가장 오래된 인천종합어시장은 싱싱하면서도 저렴한 가격에 바다 생선을 사려는 사람들로 사시사철 붐비는 곳이다. 당일 인천 연근해에서 잡아올린 꽃게와 새우, 조기, 광어, 우럭 등 400종의 수산물과 젓갈을 팔고 있으며 그 자리에서 바로 회를 떠 포장해 가져갈 수 있다.",2021-07-20
53,해수탕 | Sea-Water Bath,인천광역시 중구 연안부두로 일원,"‘해수탕거리’로 불리는 연안부두 일대에는 국내 해수탕의 원조인 10여 곳의 해수탕이 모여 있다. 지하 200m의 100여 가지가 넘는 미네랄이 함유되어 있는 바닷물을 사용하는 해수탕은 부인병, 성인병, 비만, 관절염, 고혈압 및 피부 미용에 효과가 좋고 허브탕, 인삼탕, 다시마탕 등 특색 있는 테마탕을 갖추고 있다.",2021-07-20
54,연안부두 횟집거리,인천광역시 중구 연안부두로 일원,"인천종합어시장과 제1국제여객터미널 앞 길에는 인천 연근해에서 당일 잡아온 저렴하고 싱싱한회를 바로 맛볼 수 있는 횟집들이 모여있다. 회무침, 회덮밥, 매운탕을 먹는 재미와 바다내음 물씬 풍기는 수족관을 들여다 보는 재미까지 있다.",2021-07-20
55,연안부두 바다쉼터,인천광역시 중구 항동7가 82-30,제1국제여객터미널와 회센터를 지나면 세계에서 5번째로 긴 인천대교와 10m 앞에 정박해 있는 관공선 부지를 가장 가까이서 볼 수 있는 전망데크가 있다.해안 경계 철책을 제거해 서해 바다를 보며 시원한 바닷바람을 쐬기에 좋다.,2021-07-20
