"문화재종류","지정번호","명칭","수량","크기","소재지","소유자(관리자)","지정일자"
"보물","1785","강화 전등사 목조석가여래삼불좌상","3구","-","강화군 전등사로 37-41","전등사","2012-12-27"
"보물","1786","강화 전등사 목조지장보살삼존상 및 시왕상 일괄","31구","-","강화군 전등사로 37-41","전등사","2012-12-27"
"보물","1787","강화 청련사 목조아미타여래좌상","1구","높이85㎝무릎폭61㎝","강화군 고비고개로 188번길 112, 청련사","청련사","2012-12-27"
"보물","1908","묘법연화경 목판","104매","23.3x91.2㎝","강화군 전등사로 37-41","전등사","2016-09-01"
"보물","1997","평양성도 병풍","1좌(8폭)","146.5×356㎝","미추홀구 비류대로 55번길 68","인천광역시장(송암미술관장)","2018-08-21"
"사적","130","강화 삼랑성","","260,536.00","강화군 길상면 온수리 산41 외 /48필지","국·공·사유(강화군수)","1964-06-10"
"사적","132","강화산성","","791,740.00","강화군 강화읍 국화리 산3번지 일원 / 534필지","국·공·사유(강화군수)","1964-06-10"
"사적","133","강화 고려궁지","","15,097.00","강화군 강화읍 관청리 743-1 외/ 3필지","국·공유(강화군수)","1964-06-10"
"사적","136","강화 참성단","","5,774.00","강화군 화도면 흥왕리 산42-1/ 4필지","국·공·사유(강화군수)","1964-07-11"
"사적","137","강화 부근리 지석묘","","69,292.50","강화군 하점면 부근리 317 외/ 47필지","국·공·사유(강화군수)","1964-07-11"
"사적","211","인천 경서동 녹청자 요지","","6,060.50","서구 경서동 385/ 8필지","국제 CC(서구청장)","1970-06-08"
"사적","224","강화 홍릉","","31,415.00","강화군 강화읍 국화리 산180 / 1필지","산림청장(강화군수)","1971-12-29"
"사적","225","강화 초지진","","4,242.00","강화군 길상면 초지리 624 / 2필지","문화재청장(강화군수)","1971-12-29"
"사적","226","강화 덕진진","","15,171.00","강화군 불은면 덕성리 373 / 3필지","문화재청장(강화군수)","1971-12-29"
"사적","227","강화 광성보","","144,632.00","강화군 불은면 덕성리 23-1 / 103필지","국·공·사유(강화군수)","1971-12-29"
"사적","259","강화 선원사지","","12,486.00","강화군 선원면 지산리 산133 / 9필지","강화군청(강화군수)","1977-11-29"
"사적","287","인천 답동성당","","6,164.00","중구 우현로50번길 2 / 3필지","(재)인천교구천주교회유지재단","1981-09-25"
"사적","306","강화 갑곶돈","","65,099.30","강화군 강화읍 갑곳리 1021 / 110필지","국·공·사유(강화군수)","1984-08-13"
"사적","369","강화 석릉","","793","강화군 양도면 길정리 산182 / 1필지","산림청장(강화군수)","1992-03-10"
"사적","370","강화 가릉","","2,656.00","강화군 양도면 능내리 산16-2 / 1필지","산림청장(강화군수)","1992-03-10"
"사적","371","강화 곤릉","","1,572.00","강화군 양도면 길정리 산75 / 4필지","산림청장 외(강화군수)","1992-03-10"
"사적","424","대한성공회 강화성당","","6,969.00","강화군 강화읍 관청리 22 / 23필지","성공회유지재단(강화군수)","2001-01-04"
"사적","452","강화 외성","","257,735.00","강화군 선원면, 불은면,길상면 일원 / 85필지","국·공·사유(강화군수)","2003-10-25"
"명승","8","옹진 백령도 두무진","","1,923,712.0(육318,544/해1,605,168)","옹진군 백령면 연화리 255-1번지 / 18필지와 해역부","국·공·사유(옹진군수)","1997-12-30"
"천연기념물","66","옹진 대청도 동백나무자생북한지","","156,396.00","옹진군 백령면 대청리 43-1/ 11필지","국·공·사유(옹진군수)","1962-12-07"
"천연기념물","78","강화 갑곶리 탱자나무","","79","강화군 강화읍 갑곳리 1016 / 1필지","강화군수","1962-12-07"
"천연기념물","79","강화 사기리 탱자나무","","262","강화군 화도면 사기리 135-10/ 3필지","강화군수","1962-12-07"
"천연기념물","304","강화 볼음도 은행나무","","593","강화군 서도면 볼음도리 산186번지 / 2필지","강화군수","1982-11-09"
"천연기념물","315","인천 신현동 회화나무","","676","서구 신현동 131-7번지 / 13필지","인천광역시장(서구청장)","1982-11-09"
"천연기념물","360","옹진 신도 노랑부리백로와 괭이갈매기 번식지","","3,623.00","옹진군 북도면 장봉리 산297번지(신도 전역)","산림청장(옹진군수)","1988-08-23"
"천연기념물","391","옹진 백령도 사곶 사빈(천연비행장)","","2,566,000.0(해 2,566,000)","옹진군 백령면 진촌리 413-2번지 / 해역부","국유(옹진군수)","1997-12-30"
"천연기념물","392","옹진 백령도 남포리 콩돌해안","","2,805,344.0(해2,779,000/육26,344)","옹진군 백령면 남포리 콩돌해안 일원/3필지와 해역부","산림청장(옹진군수)","1997-12-30"
"천연기념물","393","옹진 백령도 진촌리 감람암포획 현무암분포지","","6,307.00","옹진군 백령면 진촌리 154-2번지 / 1필지","국유(옹진군수)","1997-12-30"
"천연기념물","419","강화갯벌 및 저어새번식지","","435,067,696.0(육22,351/해435,045,345)","강화군 서도면 말도리 산89/2필지(비도, 함박도)와 해역부","국·강화군(강화군수)","2000-07-06"
"천연기념물","502","강화 참성단 소사나무","","314","강화군 화도면 문산리 산55번지 참성단 내 / 1필지","인천시교육감(강화군수)","2009-09-16"
"천연기념물","507","옹진 백령도 남포리 습곡구조","","79,998.0(해18,779/육61,219)","옹진군 백령면 남포리 산282-1번지 / 6필지와 해역부","국·사유(옹진군수)","2009-11-10"
"천연기념물","508","옹진 소청도 스트로마톨라이트 및 분바위","","29,686.0(해7,893/육21,793)","옹진군 대청면 소청리 산55-3번지 / 6필지와 해역부","국·사유(옹진군수)","2009-11-10"
"국가무형문화재","47","궁시장","","","부평구","박호준 (남)","1971-09-13"
"국가무형문화재","61","은율탈춤","","","미추홀구","차부회 (남)박일흥 (남)","1978-02-23"
"국가무형문화재","82-2","서해안 배연신굿 및 대동굿","","","미추홀구","-","1985-02-01"
"국가무형문화재","90","황해도 평산 소 놀음 굿","","","동구","-","1988-08-01"
"국가무형문화재","103","완초장","","","강화군","이상재 (남)","1996-05-01"
"국가무형문화재","109","화각장","","","남동구","이재만 (남)","1996-12-31"
"등록문화재","246","인천 선린동 공화춘","1동","","중구 차이나타운로 56-14","중구청장(중구청장)","2006-04-14"
"등록문화재","247","대한민국 수준원점","-","","미추홀구 인하로 100","국토지리정보원장(미추홀구청장)","2006-04-14"
"등록문화재","248","구 일본우선주식회사 인천지점","1동","","중구 제물량로218번길 3","인천광역시장(중구청장)","2006-04-14"
"등록문화재","249","구 인천부 청사","1동","","중구 신포로27번길 80","중구청장(중구청장)","2006-04-14"
"등록문화재","427","인천 제물포고등학교 강당","1동","","중구 자유공원로 58-9","인천시교육감(중구청장)","2008-10-27"
"등록문화재","567","인천 구 대화조 사무소","1동","","중구 신포로27번길 96-2","***, ***(중구청장)","2013-08-29"
"등록문화재","569","인천 세관 구 창고와 부속동","3동","","중구 항동7가 1-47","관세청장(중구청장)","2013-10-29"
"등록문화재","705","대한성공회 강화성당제대 및 세례대","2점","","강화군 강화읍 관청길 27번길 10","(재)대한성공회유지재단","2017-12-05"
"시지정문화재","1","인천도호부관아","2동","17,589.90","미추홀구 매소홀로 553 (문학초등학교 내) / 1필지","인천시교육감","1982-03-02"
"시지정문화재","2","부평도호부관아","1동","17,566.00","계양구 어사대로 20 / 1필지","인천시교육감","1982-03-02"
"시지정문화재","3","원대철제범종","1기","높230,둘480,지154","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1982-03-02"
"시지정문화재","4","송대철제범종","1기","높250,둘490,지150㎝","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1982-03-02"
"시지정문화재","5","관음좌상","1기","69x44㎝","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1982-03-02"
"시지정문화재","6","논현포대","2좌","1,826.00","남동구 논현동 648-1 / 1필지","남동구청장","1982-03-02"
"시지정문화재","7","구)인천일본제1은행지점","1동","677.7","중구 신포로23번길 89 / 1필지","중구청장","1982-03-02"
"시지정문화재","8","인천우체국","1동","4,483.60","중구 제물량로 183 / 1필지","과학기술정보통신부 외 1인","1982-03-02"
"시지정문화재","9","정우량 영정","1폭","-","미추홀구 수봉로33번길 37-27","***","1986-12-18"
"시지정문화재","11","인천향교","6동","21,333.10","미추홀구 매소홀로 589 / 8필지","인천광역시장(미추홀구청장)","1990-11-09"
"시지정문화재","12","부평향교","2동","9,596.00","계양구 향교로 19 / 1필지","(재)인천광역시향교재단","1990-11-09"
"시지정문화재","13","건칠여래좌상","1구","51.5x33.5㎝","연수구 청량로160번길 26","인천광역시(시립박물관장)","1990-11-09"
"시지정문화재","14","목조보살좌상","1구","54.2x34.1㎝","연수구 청량로160번길 26","인천광역시(시립박물관장)","1990-11-09"
"시지정문화재","15","용궁사","3동","113,791.00","중구 운남로 199-1 / 4필지","(재)한국불교태고종중앙회","1990-11-09"
"시지정문화재","16","인천창영초등학교(구)교사","1동","8,789.70","동구 우각로15번길 16 / 4필지","인천시교육감(동구청장)","1992-12-16"
"시지정문화재","17","구)제물포구락부","1동","586.6","중구 자유공원남로 25 / 2필지","인천광역시장(중구청장)","1993-07-06"
"시지정문화재","18","인천기독교 사회복지관","1동","3,669.10","동구 우각로 57 / 1필지","(재)기독교대한감리회유지재단","1993-07-06"
"시지정문화재","19","구)일본제58은행지점","1동","310.7","중구 신포로23번길 69-1 / 1필지","중구요식업협동조합","1993-07-06"
"시지정문화재","20","용흥궁","3동","2,496.00","강화군 동문안길21번길 16-1/ 3필지","공·사유(강화군수)","1995-03-02"
"시지정문화재","21","충렬사","5동","14,803.00","강화군 충렬사로 232 / 4필지","충렬사 외 (강화군수)","1995-03-02"
"시지정문화재","24","연미정","1동","2,149.00","강화군 강화읍 월곳리 242/ 1필지","회산남용(강화군수)","1995-03-02"
"시지정문화재","25","강화유수부 동헌","1동","326.8","강화군 북문길 42 / 1필지","인천광역시장(강화군수)","1995-03-02"
"시지정문화재","26","강화유수부 이방청","1동","1,765.00","강화군 북문길 42 / 1필지","문화재청장(강화군수)","1995-03-02"
"시지정문화재","27","보문사 석실","1동","282,054.10","강화군 삼산남로828번길 44 / 25필지","보문사 외","1995-03-02"
"시지정문화재","28","교동향교","9동","3,835.00","강화군 교동남로 229-49/ 1필지","(재)인천광역시향교재단","1995-03-02"
"시지정문화재","29","보문사 마애석불좌상","1구","-","강화군 삼산남로828번길 44 (강화군 삼산면 매음리 산293)","보문사","1995-03-02"
"시지정문화재","30","강화 석수문","1기","77.5","강화군 강화읍 국화리 883/ 1필지","문화재청장","1995-03-02"
"시지정문화재","32","심즙 신도비","1기","127.5","서구 공촌동 산8번지 / 1필지","청송심씨 첨종공파종중회","1995-11-15"
"시지정문화재","33","후애돈대","1기","1,064.00","강화군 길상면 선두리 954번지/ 1필지","국유(강화군수)","1995-11-15"
"시지정문화재","34","강화향교","1곽","2,460.00","강화군 향교길 58 / 1필지","(재)인천광역시향교재단","1995-11-15"
"시지정문화재","35","삼암돈대","1기","5,044.10","강화군 내가면 외포리 산223-4/ 4필지","국·공·사유(강화군수)","1999-03-29"
"시지정문화재","36","분오리돈대","1기","11,728.00","강화군 화도면 사기리 산185-1/ 5필지","강화군수","1999-03-29"
"시지정문화재","38","적석사 사적비","1기","71,704.00","강화군 내가면 고천리 산74 / 1필지","적석사","2001-04-02"
"시지정문화재","39","영화초등학교 본관동","1동","9,101.20","동구 우각로 39 / 1필지","학교법인 영화학원","2001-04-02"
"시지정문화재","40","팔미도등대","1동","992","중구 팔미로 28 / 2필지","국유","2002-02-04"
"시지정문화재","41","강화 온수리 성공회사제관","1동","314.9","강화군 길상면 온수리 505-1/ 2필지","(재)대한성공회유지재단","2002-02-04"
"시지정문화재","43","전등사 약사전 현왕탱","1폭","-","강화군 전등사로 37-41","대한불교조계종전등사","2002-12-23"
"시지정문화재","44","전등사 약사전 후불탱","1폭","-","강화군 전등사로 37-41","대한불교조계종전등사","2002-12-23"
"시지정문화재","46","전등사 청동수조","1구","-","강화군 전등사로 37-41","대한불교조계종전등사","2002-12-23"
"시지정문화재","47","전등사 업경대","1쌍","-","강화군 전등사로 37-41","대한불교조계종전등사","2002-12-23"
"시지정문화재","48","전등사 대웅보전 수미단","1식","-","강화군 전등사로 37-41","대한불교조계종전등사","2002-12-23"
"시지정문화재","49","홍예문","1기","1,952.60","중구 송학동2가 20 / 9필지","국·공유(중구청장)","2002-12-23"
"시지정문화재","50","구)인천일본제18은행지점","1동","475.8","중구 신포로23번길 77 / 2필지","국·공유(중구청장)","2002-12-23"
"시지정문화재","51","내동 성공회성당","","2,056.70","중구 개항로45번길 21-32/ 1필지","(재)대한성공회유지재단","2002-12-23"
"시지정문화재","52","강화 온수리 성공회성당","1동","618","강화군 온수길38번길 14 /1필지","(재)대한성공회유지재단","2003-11-10"
"시지정문화재","53","청련사 큰법당 삼장탱","1폭","-","강화군 고비고개로188번길 112","청련사","2004-04-06"
"시지정문화재","54","청련사 큰법당 현왕탱","1폭","-","강화군 고비고개로188번길 112","청련사","2004-04-06"
"시지정문화재","55","청련사 원통암 감로왕탱","1폭","-","강화군 고비고개로188번길 112","청련사","2004-04-06"
"시지정문화재","57","전등사 약사전 석불좌상","1구","-","강화군 길상면 전등사로 37-41","대한불교조계종전등사","2004-04-06"
"시지정문화재","58","연수구 흥륜사 소장 대장일람집 권 제7,8","1책","-","연수구 청량로70번길 40-18","흥륜사","2004-04-06"
"시지정문화재","59","연수구 흥륜사 소장 자치통감강목 제23 상권","1책","-","연수구 청량로70번길 40-18","흥륜사","2004-04-06"
"시지정문화재","60","강화 고대섭 가옥","","1,479.00","강화군 강화대로674번길 23-4/ 2필지","***","2006-05-15"
"시지정문화재","61","능인교당 신중탱화","1폭","110*108.5㎝","중구 우현로 62번길 19","능인사","2009-03-02"
"시지정문화재","62","백련정사 칠성도","1폭","-","미추홀구 경인로252번안길 58-16","백련정사","2010-12-06"
"시지정문화재","63","신간소문입식운기론오","3권1책","32.2*20.3㎝","연수구 청량로102번길 40-9","***(가천박물관장)","2012-07-26"
"시지정문화재","64","효경","1책","-","연수구 청량로102번길 40-9","***(가천박물관장)","2012-07-26"
"시지정문화재","65","증주당현절구삼체시법 권1","1권1책","-","연수구 청량로102번길 40-9","***(가천박물관장)","2012-07-26"
"시지정문화재","66","바리야크함 깃발","1점","257x200㎝","연수구 청량로160번길 26","인천광역시장(시립박물관장)","2015-10-07"
"시지정문화재","67","시왕도","1점","125×155㎝","미추홀구 비류대로 55번길 68","인천광역시장(송암미술관장)","2015-10-07"
"시지정문화재","68","목조아미타여래좌상","1점","-","미추홀구 비류대로 55번길 68","인천광역시장(송암미술관장)","2015-10-07"
"시지정문화재","69","목조보살좌상","1점","-","미추홀구 비류대로 55번길 68","인천광역시장(송암미술관장)","2015-10-07"
"시지정문화재","70","선문염송설화 권1-30","30권10책","-","서구 원적로 163-22","법명사","2015-12-02"
"시지정문화재","71","묘법연화경 권3","1축","-","연수구 청량로70번길 40-17","흥륜사","2015-12-02"
"시지정문화재","72","대방광불화엄경 진본 권21","1축","-","연수구 청량로70번길 40-17","흥륜사","2015-12-02"
"시지정문화재","73","대방광불화엄경 주본 권61","1축","-","연수구 청량로70번길 40-17","흥륜사","2015-12-02"
"시지정문화재","74","몽산화상육도보설","1책24장","-","연수구 청량로70번길 40-17","흥륜사","2015-12-02"
"시지정문화재","75","불설장수멸죄호제동자다라니경","1책","-","연수구 청량로70번길 40-17","흥륜사","2015-12-02"
"시지정문화재","76","용궁사 수월관음도","1점","-","중구 운남로 199-1","한국불교태고종용궁사","2016-02-24"
"시지정문화재","77","명대철제도종","1구","140㎝×81㎝","연수구 청량로 160번길 26","인천광역시장(시립박물관장)","2019-07-29"
"무형문화재","1","삼현육각","","","강화군","김석숭 (남)","2006-01-23"
"무형문화재","2","단소장","","","미추홀구","김환중 (남)","1990-11-09"
"무형문화재","3","인천근해 갯가노래 뱃노래","","","동구","김병기 (남)김정숙 (여)","1992-05-29 2010-06-10"
"무형문화재","4","대금정악(대풍류·대금)","","","중구","진철호 (남)","2003-11-10"
"무형문화재","5","주대소리","","","남동구","김필운 (남)","2010-06-10"
"무형문화재","6","대금장","","","연수구","임경배 (남)","2010-06-10"
"무형문화재","7-1","가곡(남창)","","","연수구","-",""
"무형문화재","7-2","가곡(여창)","","","미추홀구","김명순 (여)","2006-10-30"
"무형문화재","8","강화 외포리 곶창굿","","","강화군","정정애 (여)","1997-07-14"
"무형문화재","9","대금장(일반)","","","미추홀구","이정대 (남)","2002-02-04"
"무형문화재","10-1","범패와 작법무(바라춤)","","","미추홀구","김종형(능화) (남)","2002-02-04"
"무형문화재","10-2","범패와 작법무(나비춤)","","","남동구","박치훈(일초) (남)","2002-02-04"
"무형문화재","11","규방다례","","","연수구","최소연 (여)","2013-04-30"
"무형문화재","12","강화 용두레질소리","","","강화군","황길범 (남)","2010-06-10"
"무형문화재","13","자수장","","","부평구","-",""
"무형문화재","14","단청장","","","중구","정성길 (남)","2004-04-06"
"무형문화재","15","인천수륙재","","","남동구","박치훈(일초) (남)","2004-04-06"
"무형문화재","16","인천근해 도서지방 상여소리","","","미추홀구","박상주 (남)","2006-01-23"
"무형문화재","17","완초장","","","미추홀구","한명자 (여)","2008-12-15"
"무형문화재","18","서곶들노래","","","서구","-",""
"무형문화재","19","갑비고차농악","","","강화군","전내익 (남)임명선 (남)","2008-12-10"
"무형문화재","20","휘모리잡가","","","서구","김국진 (남)","2008-12-10"
"무형문화재","21","경기12잡가","","","미추홀구","-",""
"무형문화재","22","목조각장","","","계양구","이방호 (남)","2009-03-30"
"무형문화재","23","고법(북·장구)","","","서구","조경곤 (남)","2013-04-30"
"무형문화재","24","꽃맞이굿","","","미추홀구","김매물 (여)","2013-04-30"
"무형문화재","25","지화장","","","중구","김은옥 (여)","2013-04-30"
"무형문화재","26","부평두레놀이","","","부평구","-",""
"무형문화재","27","강화 교동 진오기굿","","","강화군","주정자(여)","2019-05-07"
"기념물","1","문학산성","1곽","87,170.00","미추홀구 문학동 164-69번지/ 1필지","인천광역시장(미추홀구청장)","1986-12-18"
"기념물","2","화도진지","-","20,240.00","동구 화도진로 114 / 143필지","인천광역시장(동구청장)","1990-11-09"
"기념물","3","김재로 묘","1기","434.3","남동구 운연동 산64-13번지/ 1필지","국토교통부(남동구청장)","1990-11-09"
"기념물","4","이윤생·강씨정려","1동","66","미추홀구 독배로404번길 34/ 1필지","부평이씨승지공파종친회","1990-11-09"
"기념물","5","류사눌 묘","1기","1,257.60","서구 경서동 산200-1번지/ 1필지","문화류씨 문숙공파 종회","1990-11-09"
"기념물","6","조서강 묘","1기","2,660.00","서구 석남동 산119-2번지/ 1필지","배천조씨숙위공경은당파종중","1990-11-09"
"기념물","7","조정만 묘","1기","516.9","남동구 도림동 산46-3번지/ 1필지","임천조씨 오제공파 종중","1990-11-09"
"기념물","8","능허대지","-","1,692.00","연수구 옥련동 194-54번지/ 1필지","재정경제부(연수구청장","1990-11-09"
"기념물","9","용궁사 느티나무","2주","277.1","중구 운남로 199-1 / 4필지","(사)한국불교태고종중앙회","1990-11-09"
"기념물","10","계양산성","1곽","104,470.00","계양구 계산2동 산8 / 45필지","계양구청장","1992-05-15"
"기념물","11","계산동 은행나무","1주","195.8","계양구 어사대로 20 / 1필지","인천시교육감(계양구청장)","1992-05-15"
"기념물","12","장수동 은행나무","1주","674.7","남동구 장수동 63-6번지/ 4필지","국·공·사유(남동구청장)","1992-12-16"
"기념물","15","이규보 묘","1기","668.9","강화군 까치골길 72-17 / 1필지","여주이씨문순공휘규보파 종중","1995-03-02"
"기념물","16","강화 내가 오상리 고인돌","1기","9.1","강화군 내가면 오상리 산125-1 / 1필지","강화군수","1995-03-02"
"기념물","17","보문사 향나무","1주","85.1","강화군 삼산남로828번길 44/ 1필지","대한불교조계종 보문사","1995-03-02"
"기념물","18","봉천대","1기","231.3","강화군 고려산로463번길 30-6/ 1필지","산림청장(강화군수)","1995-03-02"
"기념물","19","장곶돈대","1곽","1,328.60","강화군 화도면 장화리 113/ 3필지","국·사유(강화군수)","1995-03-02"
"기념물","20","강화전성","1곽","7,176.40","강화군 불은면 오두리 563/ 7필지","국·사유(강화군수)","1995-03-02"
"기념물","22","계룡돈대","1곽","2,727.00","강화군 내가면 황청리 282/ 1필지","강화군수","1995-03-02"
"기념물","23","교동읍성","1곽","5,958.70","강화군 교동면 읍내리 577/ 9필지","국·공·사유(강화군수)","1995-03-02"
"기념물","24","천제암(궁)지","-","1,025.20","강화군 화도면 문산리 산64-1/ 2필지","산림청 외 (강화군수)","1995-03-02"
"기념물","25","갑곶나루 선착장 석축로","2개소","1,253.00","강화군 갑곳리 1087 / 2필지","국토해양부 외(강화군수)","1995-03-02"
"기념물","26","허유전 묘","1기","557.9","강화군 불은면 두운리 산297/ 1필지","김해허씨 시중공파중앙회","1995-03-02"
"기념물","27","강화 인산리 석실분","1기","402.6","강화군 양도면 인산리 산71 / 2필지","***(강화군수)","1995-03-02"
"기념물","28","강화 능내리 석실분","1기","2,340.90","강화군 양도면 능내리 산16-1/ 1필지","산림청장(강화군수)","1995-03-02"
"기념물","29","이건창 묘","1기","241.5","강화군 양도면 건평리 655-27/ 1필지","강화군수","1995-03-02"
"기념물","30","이건창 생가","2동","1,163.00","강화군 해안남로1114번길 6/ 1필지","강화군수","1995-03-02"
"기념물","31","강화 대산리 지석묘","1기","558","강화군 강화읍 대산리 1189-1/ 1필지","강화군수","1995-03-02"
"기념물","32","강화 부근리 점골 고인돌","1기","529.3","강화군 하점면 부근리 743-6/ 2필지","강화군수","1995-03-02"
"기념물","33","검단 대곡동 지석묘군","7기","8,628.00","서구 대곡로 356 (대곡동 123-1) / 1필지","평산신씨정언공파통덕랑공소종중","1995-03-02"
"기념물","34","학익지석묘","1기","-","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1995-11-15"
"기념물","35","김상용 순절비","1기","43","강화군 강화읍 관청리 416/ 1필지","기획재정부(강화군수)","1995-11-15"
"기념물","36","양헌수 승전비","1기","45","강화군 전등사로 37-41 / 1필지","대한불교조계종전등사","1995-11-15"
"기념물","37","망양 돈대","1곽","2,026.00","강화군 내가면 외포리 680/ 2필지","국·사유(강화군수)","1999-03-29"
"기념물","38","건평 돈대","1곽","2,600.00","강화군 양도면 건평리 산39/ 1필지","산림청장(강화군수)","1999-03-29"
"기념물","39","굴암 돈대","1곽","4,026.00","강화군 양도면 하일리 487/ 2필지","기획재정부 외(강화군수)","1999-03-29"
"기념물","40","미루지 돈대","1곽","1,369.00","강화군 화도면 여차리 170-2/ 1필지","기획재정부(강화군수)","1999-03-29"
"기념물","41","북일곶 돈대","1곽","986","강화군 화도면 장화리 산361/ 1필지","산림청장","1999-03-29"
"기념물","42","용진진","1곽","5,503.20","강화군 선원면 지산리215번지/ 10필지","국·공·사유(강화군수)","1999-03-29"
"기념물","43","영신군 이이묘","1기","3,556.70","계양구 계양대로 139번길23-36 / 1필지","전주이씨효령대군파영신군종회","1999-03-29"
"기념물","44","부근리고인돌군","16기","237,508.00","강화군 하점면 부근리 317/ 91필지","강화군수 외","1999-04-26"
"기념물","45","삼거리고인돌군","9기","177,577.00","강화군 하점면 삼거리 산120번지 일원/ 6필지","*** 외(강화군수)","1999-04-26"
"기념물","46","고천리고인돌군","18기","462,646.00","강화군 내가면 고천리 산96/ 13필지","국·공·사유(강화군수","1999-04-26"
"기념물","47","오상리고인돌군","12기","44,622.00","강화군 내가면 오상리 산124/ 20필지","국·공·사유(강화군수","1999-04-26"
"기념물","48","교산리고인돌군","11기","287,625.00","강화군 양사면 교산리 산108/ 34필지","국·공·사유 (강화군수)","1999-04-26"
"기념물","49","강화 통제영학당지","-","6,381.00","강화군 강화읍 갑곳리 1061/ 5필지","학교법인인천가톨릭학원 외","2001-04-02"
"기념물","50","이여발 묘","-","1,774.00","남동구 운연동 343-1번지/ 1필지","한산이씨정익공파종중","2002-02-04"
"기념물","51","청·일조계지 경계계단","-","965.6","중구 관동1가 24번지 / 2필지","국토교통부(중구청장)","2002-12-23"
"기념물","52","이찰·이율형제 정려","1동","30","계양구 갈현동 산73-6번지/ 1필지","전주이씨임영대군파덕풍도정종친회","2004-04-06"
"기념물","53","이선봉 묘역","3기","896","계양구 동양동 152-5번지/ 1필지","한국토지주택공사","2004-04-06"
