구분,지정번호,명 칭,수량,소 재 지,소 유 자(관리주체),지정일자
보물,1249,간이벽온방(언해),1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1997-06-12
보물,1250,"세의득효방 권10, 11",2권1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1997-06-12
보물,1508,이성윤 위성공신교서 및 관련유물,"교서1점,교지1점,홀1점,호패16점",,,2006-12-29
보물,1716,중수정화경사증류비용본초 권17,1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),2011-06-21
보물,1785,강화 전등사 목조석가여래삼불좌상,불상 3구,인천광역시 강화군 전등사로 37-41,전등사,2012-12-27
보물,1786,강화 전등사 목조지장보살삼존상 및 시왕상 일괄,31구,인천광역시 강화군 전등사로 37-41,전등사,2012-12-27
보물,1787,강화 청련사 목조아미타여래좌상,1구,인천광역시 강화군 고비고개로188번길 112,청련사,2012-12-27
보물,1908,묘법연화경 목판,104매,인천광역시 강화군 전등사로 37-41,전등사,2016-09-01
보물,1997,평양성도 병풍,1좌 8폭,"인천광역시 미추홀구 비류대로55번길 68 (학익동, 송암미술관)",송암미술관,2018-08-21
사적,130,강화 삼랑성,"260,536㎡",인천광역시 강화군 길상면 온수리 산41번지,강화군,1964-06-10
사적,132,강화산성,"791,738㎡",인천광역시 강화군 강화읍 국화리 산3번지 일원,강화군,1964-06-10
사적,133,강화 고려궁지,"15,097㎡",인천광역시 강화군 강화읍 북문길 42,강화군,1964-10-04
사적,136,강화 참성단,"5,774㎡",인천광역시 강화군 화도면 흥왕리 산42-1번지,강화군,1964-07-11
사적,137,강화 부근리 지석묘,"69,293㎡",인천광역시 강화군 하점면 부근리 317번지,강화군,1964-07-11
사적,211,인천 경서동 녹청자 요지,"6,061㎡",인천광역시 서구 검암동 산438-21번지,국제C.C(서구),1970-06-08
사적,224,강화 홍릉,"31,415㎡",인천광역시 강화군 강화읍 국화리 산129-2번지,강화군,1971-12-28
사적,225,강화 초지진,"4,242㎡",인천광역시 강화군 길상면 초지리 624번지,강화군,1971-12-28
사적,226,강화 덕진진,"15,171㎡",인천광역시 강화군 불은면 덕성리 373번지,강화군,1971-12-28
사적,227,강화 광성보,"144,632㎡",인천광역시 강화군 불은면 덕성리 23-1번지,강화군,1971-12-28
사적,259,강화 선원사지,"12,486㎡",인천광역시 강화군 선원면 지산리 산133번지,강화군,1977-11-29
사적,287,인천 답동성당,"6,164㎡",인천광역시 중구 우현로50번길 2,(재)인천교구천주교회유지재단,1981-09-25
사적,306,강화 갑곶돈,"65,099㎡",인천광역시 강화군 강화읍 갑곶리 1021번지 외,강화군,1984-08-13
사적,369,강화 석릉,793㎡,인천광역시 강화군 양도면 길정리 산 182번지,산림청(강화군),1992-03-10
사적,370,강화 가릉,"2,656㎡",인천광역시 강화군 양도면 능내리 산 16-2번지,산림청(강화군),1992-03-10
사적,371,강화 곤릉,"1,572㎡",인천광역시 강화군 양도면 길정리 산 75번지,산림청(강화군),1992-03-10
사적,424,대한성공회 강화성당,"6,968㎡",인천광역시 강화군 강화읍 관청리 22,성공회유지재단(강화군),2001-01-04
사적,452,강화 외성,"257,735㎡","인천광역시 강화군 선원면, 불은면, 길상면 일원",강화군,2003-10-25
천연기념물,66,옹진 대청도 동백나무 자생북한지,"156,396㎡",인천광역시 옹진군 백령면 대청리 43-1번지,산림청(옹진군),1962-12-07
천연기념물,78,강화 갑곶리 탱자나무,79㎡,인천광역시 강화군 강화읍 갑곶리 1016번지,강화군,1962-12-07
천연기념물,79,강화 사기리 탱자나무,262㎡,인천광역시 강화군 화도면 사기리 135-10번지,강화군,1962-12-07
천연기념물,304,강화 볼음도 은행나무,593㎡,인천광역시 강화군 서도면 볼음도리 산186번지 외 1필지,강화군,1982-11-09
천연기념물,315,인천 신현동 회화나무,676㎡,인천광역시 서구 신현동 131-7번지 외 6필지,인천시 외(서구),1982-11-09
천연기념물,360,옹진 신도 노랑부리백로와 괭이갈매기 번식지,"3,623㎡",인천광역시 옹진군 북도면 장봉리 신도 전역,산림청(옹진군),1988-08-23
천연기념물,391,옹진 백령도 사곶 사빈(천연비행장),"2,566,000㎡",인천광역시 옹진군 백령면 진촌리 413-2번지,옹진군,1997-12-30
천연기념물,392,옹진 백령도 남포리 콩돌해안,"2,805,344㎡",인천광역시 옹진군 백령면 남포리 콩돌해안 일원,산림청(옹진군),1997-12-30
천연기념물,393,옹진 백령도 진촌리 감람암포획 현무암분포지,"6,307㎡",인천광역시 옹진군 백령면 진촌리 154-2번지,국방부(옹진군),1997-12-30
천연기념물,419,강화갯벌 및 저어새번식지,"435,067,696㎡",인천광역시 강화군 서도면 일원(말도리 산89),강화군,2002-07-06
천연기념물,502,강화 참성단 소사나무,314㎡,인천광역시 강화군 화도면 문산리 산55(참성단 내),인천시 교육청(강화군),2009-09-16
천연기념물,507,옹진 백령도 남포리 습곡구조,"79,998㎡(육 61,219 해 18,779)",인천광역시 옹진군 백령면 남포리 산282-1번지 외,"국, 사유(옹진군)",2009-11-10
천연기념물,508,옹진 소청도 스트로마톨라이트 및 분바위,"29,686㎡(육 21,793 해 7,893)",인천광역시 옹진군 대청면 소청리 산55-3번지,"국, 사유(옹진군)",2009-11-10
천연기념물,521,옹진 백령도 연화리 무궁화,78.3㎡,인천광역시 옹진군 백령면 중화길 230-7,"국, 사유(옹진군)",2011-01-13
명승,8,옹진 백령도 두무진,"4,500,000㎡",인천광역시 옹진군 백령면 연화리 255-1번지,옹진군,1997-12-30
등록문화재,246,인천 선린동 공화춘,1동(2층),인천광역시 중구 차이나타운로 56-14,중구,2006-04-14
등록문화재,247,대한민국 수준원점,"보호각 직경 3.3m, 높이 3.36m",인천광역시 남구 인하로 100,국토지리정보원,2006-04-14
등록문화재,248,구 일본우선 주식회사 인천지점,1동(연면적244.63㎡),인천광역시 중구 제물량로218번길 3,인천시,2006-04-14
등록문화재,249,구 인천부 청사,"1동(지하1청, 지상3층/건축면적 694.2㎡, 연면적 2,014.7㎡)",인천광역시 중구 신포로27번길 80,중구,2006-04-14
등록문화재,427,인천 제물포고등학교 강당,"1동(지하1층,지상1층/건축면적 495.87㎡,연면적 628.1㎡)",인천광역시 중구 자유공원로 58-9,인천시 교육청,2008-10-27
등록문화재,567,인천 구 대화조 사무소,1동(109.9㎡),인천광역시 중구 신포로27번길 96-2,,2013-08-29
등록문화재,569,인천 세관 구 창고와 부속동,3동(354.1㎡),인천광역시 중구 항동7가 1-47,관세청,2013-10-29
등록문화재,705,대한성공회 강화성당 제대 및 세례대,2점,인천광역시 강화읍 관청길 27번길 10,(재)대한성공회유지재단,2017-12-05
