TURSM_CNTNTS_SEQ,MENU_CD,LANG_CD,MAIN_THUMB_IMAGE_LC,DETAIL_EX_URL,CNTNTS_REPRSNT_TITLE,CNTNTS_REPRSNT_SUBTITLE,MAIN_PLACE_NM,ONE_CTGRY_NM,TWO_CTGRY_NM,GUGUN_NM,LA,LO,HASHTAG,TOUR_HNTIP,TOUR_ETIQUETTE,TRNSPROT_GUID,OPER_TERM,RSTDE_GUID,USE_DAY_ND_TERM,USE_PRICE,REPRSNT_MENU_NM,VIEWS_CO,LIKE_CO,FAVORITE_CO
266,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225145805369_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=266&lang_cd=ko,구 백제병원,구 백제병원,구 백제병원,명소,문화,동구,35.1163826,129.0391693,"#부산여행,#부산역,#초량이바구길,#부산최초,#근대식종합병원,#백제병원,#원도심투어",,,"도시철도 1호선 부산역 7번출구 도보 2분
버스 103, 26, 27, 40, 41, 59, 81, 87, 1003, 1004 부산역 하차 도보 2분",,,09:00~22:00(1~2층만 개방),무료(카페이용 요금별도),,2559,1,1
267,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225150331107_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=267&lang_cd=ko,백산기념관,백산기념관,백산기념관,명소,역사,중구,35.1019554,129.0345612,"#부산여행,#부산원도심,#독립운동,#백산상회,#백산기념관,#원도심투어",문화관광해설사 근무 주말/공휴일 10:00~1700,,"도시철도 1호선 중앙역 1번 출구 도보 3분
버스 15, 81, 86, 126, 186 백산기념관 하차 도보 1분",,"월요일, 공휴일(삼일절, 현충일, 광복절 제외)","화~금 10:00~18:00 토, 일 10:00~17:00",무료,,1172,1,2
268,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225150936833_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=268&lang_cd=ko,한성1918,한성1918,한성1918 부산생활문화센터,명소,문화,중구,35.1017799,129.0344391,"#부산여행,#부산원도심,#한성은행,#한성1918,#문화공간,#부산생활문화센터,#원도심투어",월별 다양한 행사 및 무료 콘서트가 열리므로 홈페이지 일정을 확인하자.,,"도시철도 1호선 중앙역 1번 출구 도보 3분
버스 15, 81, 86, 126, 186 백산기념관 하차 도보 1분",,월요일,09:00~22:00,무료,,1291,0,0
269,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225151358656_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=269&lang_cd=ko,조선통신사역사관,조선통신사역사관,조선통신사역사관,명소,역사,동구,35.1357536,129.062027,"#부산여행,#가족여행,#아이와함께,#자성대,#조선통신사,#조선통신사역사관,#축제",,음식물 반입?애완견 동반 금지(안내견 제외),"도시철도 1호선 범일역 2번 출구 도보 12분
버스 26, 41, 139, 80, 42, 1003 자성대 하차 도보 2분
     22, 23, 27, 40, 41, 63, 83, 101, 108, 134, 138 부산진시장 하차 도보 5분",,"매주 월요일, 1월1일",09:00~18:00,무료,,1272,0,0
270,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225151830289_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=270&lang_cd=ko,부산해양자연사박물관,부산해양자연사박물관,부산해양자연사박물관,명소,문화,동래구,35.2217789,129.0759125,"#부산여행,#박물관,#부산해양자연사박물관,#체험학습,#아이와함께","과학문화해설사 근무(안내데스크 문의)
전시해설 자동음성안내기 대여 가능",,"도시철도 1호선 동래역 4번 출구 마을버스 1-1번 환승 해양자연사박물관 하차
금강공원 공영주차장 이용(유료)",,"매주 월요일, 1월 1일",화~일 09:00~18:00(입장마감 17:00까지),무료,,1402,0,1
271,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225152803689_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=271&lang_cd=ko,"부산의 근대사를 마주하다, 부산근대역사관",시간이 흘러도 여전히 가슴 아픈 역사,부산근대역사관,명소,역사,중구,35.1026611,129.0311432,"#부산여행,#대청동,#박물관,#부산근대역사관,#일제강점기,#동양척식주식회사,#부산문화원,#역사,#원도심투어","매월 마지막 주 금요일 ‘문화가 있는 날’ 관람시간 연장(20:00까지)
단체 방문 시 해설예약 신청 가능(홈페이지 참조)","관람객들을 위해 박물관 내에서는 정숙
사진촬영은 플래시를 끈 상태에서 가능","도시철도 1호선 중앙역 5번 출구 도보 7분
버스 40, 81 국제시장 부산근대역사관 하차
버스 15, 86, 126, 186 국제시장 하차",,"1월 1일, 매주 월요일",화~일 / 09:00-18:00(17:00이후 입장불가),무료,,3683,2,4
272,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225154726785_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=272&lang_cd=ko,마음에 책갈피 하나를 꽂다 - 보수동책방골목,오래된 시간을 걷는 서점 골목여행,보수동책방골목,명소,문화,중구,35.1033669,129.0266266,"#부산,#보수동,#보수동책방골목,#문화마을,#책,#서점,#골목길,#벽화,#아날로그,#중고서점,#추억,#계단,#추천여행,#원도심투어",매년 10월 보수동책방골목 문화축제가 열린다.,골목이 좁아 방문객끼리 부딪힐 수 있으니 서로 배려하는 보행 습관이 필요하다.,"도시철도 1호선 자갈치역 3번 출구 도보 11분
버스 40, 81 보수동책방골목 하차
버스 103, 11, 113, 8, 96 부평시장 하차",매일(휴무일 제외),"정기휴일(첫째,셋째주 화요일,신정,구정,추석)",가게별 상이(20:00 전후 업무 종료),무료(도서구입 별도),,2843,7,3
273,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225160342484_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=273&lang_cd=ko,대한민국 피란수도 부산을 만나다,한국전쟁이 남긴 흔적 임시수도기념관,임시수도기념관,명소,역사,서구,35.1035271,129.0173492,"#부산,#부민동,#임시수도기념관,#6·25전쟁,#한국전쟁,#피란수도,#임시정부,#근대,#추억,#시간여행,#추천여행,#원도심투어",매월 마지막 주 금요일 ‘문화가 있는 날’ 관람시간 연장(20:00까지),대통령 관저 관람 시 입구에 비치된 실내화로 갈아 신어야 합니다.,"도시철도 1호선 토성역 2번 출구 도보 6분
버스 15, 40, 81 영락교회 하차
마을버스 서구3, 서구3-1 부민이편한세상아파트 하차",,"1월 1일, 매주 월요일",화~일 / 09:00~18:00,무료,,3571,2,1
274,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225160959194_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=274&lang_cd=ko,대한민국의 역사적 가치를 품은 동아대학교 석당박물관,부산 임시수도정부청사를 가다,동아대학교 석당박물관,명소,역사,서구,35.104969,129.0192566,"#부산여행,#박물관,#동아대박물관,#석당박물관,#보물,#문화재,#동아대학교,#부민캠퍼스,#실내데이트,#아이와함께,#임시수도정부청사,#원도심투어",,박물관 내에서는 정숙,"도시철도 1호선 토성역 2번 출구 도보 10분
버스  15,16, 40, 70, 81, 123, 126, 161, 190 동아대부민캠퍼스 하차
주차 동아대학교 부민동캠퍼스 지하 주차장(유료)",,"매주 월요일, 개교기념일, 법정공휴일",화~일/09:30 ~ 17:00 (입장 16:30),무료(주차요금 별도),,2268,1,1
275,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225162953256_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=275&lang_cd=ko,아픈 역사에 위로를 국립일제강제동원역사관,함께 기억하고 널리 알리다,국립일제강제동원역사관,명소,역사,남구,35.1243553,129.0919189,"#부산,#박물관,#국립일제강제동원역사관,#강제동원,#일본,#역사,#식민지,#슬픔,#위로,#추천여행","전시해설 11:00, 14:30(평일 예약 없이 가능)",다른 관람객들을 위해 역사관 내에서는 정숙,"도시철도 2호선 못골역 1번 출구 → 마을버스 남구9 환승 → 국립일제강제동원역사관 하차
버스 134 석포초등학교 하차, 도보 10분
마을버스 남구9 ? 유엔평화기념관?국립일제강제동원역사관 하차",,"매주 월요일, 1월 1일, 명절 당일",화~일/10:00~18:00(17:30 이후 입장불가),무료,,1943,2,4
276,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225163741459_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=276&lang_cd=ko,"부산의 역사, 대한민국의 역사",박물관이 알려주는 부산의 역사이야기,부산박물관,명소,역사,남구,35.12957,129.0945129,"#부산여행,#부산박물관,#부산역사,#부산문화재,#부산유물,#가족나들이,#대연동데이트,#부산관광,#박물관,#실내여행지,#아이와함께","부산박물관과 UN기념공원, 평화공원은 반나절 일정으로 계획해보자.","박물관 내 정숙
보호자를 동반하지 않은 7세 미만의 어린이 혼자 관람 불가
음주·흡연 및 음식물을 섭취하는 행위 금지
시장의 허가 없이 조명 및 촬영하는 행위 금지
전시품을 만지는 행위 금지
동물을 동반 입장 금지(안내견 동반 예외)","도시철도 2호선 대연역 1번 출구 도보 12분
버스 134, 51, 68, 138, 138-1, 1006 시립박물관?부산문화회관 하차
부산시티투어버스 : 부산역(레드라인) → 부산박물관 하차
주차 박물관 내 주차장(무료)",,"매주 월요일, 1월 1일","매주 화~목 및 일요일 09:00~18:00 (17:00 이후 입장불가)
매주 금요일, 토요일 09:00~21:00(20:00 이후 입장불가)",무료,,2367,4,0
277,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225164342360_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=277&lang_cd=ko,세계인이 기억하는 땅 유엔기념공원,"한국전쟁과 유엔군, 기억하고 기념하다","유엔기념공원, 유엔평화기념관",명소,역사,남구,35.1277008,129.0977478,"#부산여행,#부산명소,#유엔기념공원,#유엔조각공원,#유엔평화기념관,#턴투워드부산,#한국전쟁,#기념관",유엔평화기념관 문화관광해설사 근무,"유엔기념공원 참배시
정숙, 단정한 복장, 음식물 및 애완동물 반입금지, 묘역 및 잔디 출입금지","유엔기념공원
도시철도 2호선 대연역 3번 출구 도보 18분
버스 134, 68, 138, 138-1, 1006 유엔공원?부산문화회관 하차
부산시티투어버스 : 부산역(레드라인) → 유엔기념공원 하차
유엔평화기념관
버스 134, 68, 51 석포초 하차 도보 7분","유엔기념공원 매일
유엔평화기념관 화~일","유엔기념공원 연중무휴
유엔평화기념관 매주 월요일","유엔기념공원 9:00~18:00(동절기 17:00 이후 입장불가)
유엔평화기념관 10:00~18:00",무료,,2360,2,2
278,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225164921130_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=278&lang_cd=ko,오륙도가 전해주는 바다,"오륙도 해맞이 공원, 스카이워크, 유람선","오륙도, 오륙도 해맞이 공원",명소,자연,남구,35.1021767,129.1233368,"#부산여행,#부산명소,#오륙도,#오륙도스카이워크,#부산가볼만한곳,#부산데이트코스,#해안산책로,#추천여행,#트레킹코스,#뷰포인트","스카이워크 개방시간
09:00~18:00(입장마감 17:50 - 눈, 비, 강풍 및 시설 개·보수 시 개방 제한)","스카이워크 : 반드시 덧신 착용 / 지팡이, 우산, 양산, 셀카봉 소지 금지
오륙도 및 주변해역 해양보호구역 생태계 훼손 행위 금지","도시철도 2호선 경성대?부경대역 → 버스 24, 27, 131, 남구2 환승 → 오륙도 SK아파트 하차
부산시티투어버스 : 부산역(레드라인) → 용호만 유람선터미널(그린라인 환승) → 오륙도 하차",,,,무료,,2711,12,4
279,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225165635368_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=279&lang_cd=ko,"신선대, 신선이 사랑한 풍경",과거와 현재를 잇는 시간,"신선대, 신선대 유원지",명소,자연,남구,35.102272,129.1027679,"#신선대,#부산신선대,#부산가볼만한곳,#부산여행,#부산명소,#부산데이트코스,#부산여행코스추천,#트레킹코스,#부산이기대,#부산야경,#부산출사,#야경출사,#벚꽃명소,#포토스폿","일몰 시각은 ‘매직 아워’라고 불리는 마법의 시간이다. 
해질녘은 물론 야경 촬영하기 좋은 시간을 맞춰 방문하는 것을 추천한다.",,"도시철도 2호선 경성대?부경대 → 20, 22, 24, 27, 39, 131 버스환승 → 백운포고개 하차
주차장 신선대 유원지 주차장(무료)",,연중무휴,상시,무료,,1514,1,0
280,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225170315675_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=280&lang_cd=ko,"자연 그대로를 간직하다, 송정해수욕장",고요하되 강한 바다,"송정해수욕장, 죽도공원",명소,자연,해운대구,35.1786003,129.1996613,"#부산,#송정해수욕장,#죽도공원,#바다,#서핑,#공원,#산책,#바람,#힐링,#관광,#휴가,#추천여행,#가족여행,#포토스폿,#인생샷,#바다여행","인근에 해동용궁사, 수산과학관이 위치해 있어 함께 방문하기 좋다.",,"도시철도 2호선 해운대역 하차 → 해운대 정류장 139, 182, 200, 38, 39, 40, 63, 1001, 1003, 1011 버스 환승 → 송정해수욕장 입구 하차 도보 12분
동해선 송정역 하차 도보 17분
버스 100, 100-1, 139, 141, 181, 182, 185, 200, 38, 39, 40, 63 송정1단지주공 하차",,연중무휴,상시,무료,,3802,13,5
281,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225170855698_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=281&lang_cd=ko,책과 함께하는 영원한 여행 이터널저니,"부산 기장 북 카페, 힐튼부산 이터널저니","아난티코브 타운, 이터널저니",명소,문화,기장군,35.1972351,129.2278442,"#부산여행,#기장군,#기장힐튼부산,#이터널저니,#기장가볼만한곳,#부산힐튼호텔서점,#아난티코브,#드라이브코스,#해안산책로",힐튼부산 앞 해안산책로를 거닐며 부산의 바다풍경을 함께 즐겨보는 것도 좋겠다.,서점 내부에 진열된 책을 비롯한 소품들은 판매용이니 훼손되지 않도록 주의하자.,"동해선 오시리아역 하차 → 139, 181, 100 버스 환승  → 동암후문 하차
주차 힐튼부산 주차장",,,"월~금 10:00~21:00
토, 일(공휴일) 9:00~21:00",무료,,2560,4,1
282,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225171918703_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=282&lang_cd=ko,"부산 3대 스카이워크 오륙도, 송도, 청사포","바다 위를 걷는 즐거움, 부산 스카이워크를 가다",스카이워크 시리즈,명소,자연,남구,35.100853,129.1242981,"#오륙도,#송도,#청사포,#오륙도스카이워크,#송도구름산책로,#부산가볼만한곳,#부산여행,#부산명소,#부산스카이워크,#청사포다릿돌전망대,#뷰포인트,#포토스폿",,스카이워크 위에서 뛰거나 장난은 금물,"오륙도 스카이워크 
도시철도 2호선 경성대·부경대역 5번 출구 → 131, 24, 27 버스 환승 → 오륙도 스카이워크 하차
부산시티투어버스 그린라인 오륙도 하차
주차장 공영주차장

송도 구름산책로
도시철도 1호선 자갈치역 2번 출구 → 26, 30, 7, 71, 96 버스 환승 → 송도해수욕장 하차주차장 공영주차장

청사포 다릿돌전망대
도시철도 2호선 해운대역 1번 출구 →  2 마을버스 환승
부산시티투어버스 블루라인 청사포 하차
주차장 공영주차장",,"연중무휴(눈, 비, 강풍 및 시설 개·보수 시 개방 제한)","오륙도 스카이워크 
09:00~18:00(입장마감 17:50)
송도 구름산책로
06:00~23:00
청사포 다릿돌전망대
9:00~18:00 (하절기 6~8월 20:00)",무료,,2923,10,7
285,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225174730014_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=285&lang_cd=ko,광안리 바다의 낭만 민락수변공원,광안리 밤바다 핫플레이스,"민락수변공원, 광안리",명소,자연,수영구,35.1559067,129.1343536,"#부산여행,#민락수변공원,#수변공원,#밤바다,#부산바다,#부산광안리,#광안리바다,#민락회타운,#가족여행,#부산불꽃축제,#연인과함께,#친구와함께,#포토스폿","자전거 도로가 있어 자전거로 이동하기 용이하다.
(자전거 무료대여소 ? 1인당 1대여/ 당일 2시간 무료/ 계절별 이용시간 상이)
해운대까지 연결된 수영강변 산책로가 있다.","애완동물 입장 불가
발생한 쓰레기는 가져가기
다른 관광객에게 방해되는 행위 금지(고성방가, 노상방뇨 등)","도시철도 2호선 광안역 3번 출구 도보 20분
버스 41, 83-1, 210 민락수변공원 하차
주차 인근공영주차장",,연중무휴,상시,무료,,2689,3,3
