코스명,관광지명,주소,연락처,내용,위도,경도,데이터 기준일자
초량이바구길,6.25 막걸리,부산광역시 동구 영초윗길 21,051-467-7887,"김민부 전망대와 이바구공작소 등을 탐방하고 휴식을 취할 수 있는 공간으로 막걸리와 음료, 해물파전 등을 맛볼 수 있는 곳이다.   피란 시절의 애환과 삶의 무게를 이야기하는 의미에서  막걸리로 이름 붙였다.",35.1170468,129.0348222,2020-08-12
초량이바구길,이바구충전소,부산광역시 동구 영초윗길 25,051-467-7887,"6.25피난민들의 삶과 애환이 스며있던 판잣집 및 양철집을 형상화하여 조성하였으며, 초량이바구길 탐방객들의 여행안내소이자 휴식공간, 게스트하우스, 체험공간으로 운영되다가 현재는 셀프쿠킹 체험과 명란로드 투어를 연계한 관광상품 운영 계획 중에 있다. 현재 내부 수리 진행중이며 2020년 하반기 운영 예정이다.",35.1173519,129.034685,2020-08-12
초량이바구길,당산,부산광역시 동구 망양로478번길 13,,"매년 음력 3월과 9월 보름에 초량마을의 수호신인 당산신에게 마을의 풍요와 평안을 기원하는 제를 올리는 곳이다.    마을의 수호신인 당산신(당산할아버지와 당산할머니)을 모신 신령각으로 1993년 4월에 개축하여 현재는 두 채의 건물이 약 100년 수령의 팽나무 아래에  나란히 서 있다. 당산제는 여느 지역의 마을제사와 마찬가지로 언제 누구로부터 시작되었는지는 알려지지 않지만, 이곳은 대략 백여 년의 역사를 가진 마을  제사이며, 마을의 풍요와 평안 등을 기원하는 지역공동체적 의례이다.  ",35.1172686,129.0344899,2020-08-12
초량이바구길,이바구공작소,부산광역시 동구 망양로 486번길14-13,051-468-0289,"배를 본떠 만든 이바구공작소는 2013년 3월 6일 개관한 산복도로의 사람들의 삶과 지역문화 자원을 모으는 아카이브센터다.    자료수집과 전시뿐 아니라 지역 주민들이 참여할 수 있는 다양한 프로그램을 실시하는 열린 공간으로 쓰이며, 산복도로와 관련된 이야기자원들을 이곳에 살고 있는 주민들 스스로 경험하게 하는 소통의 장이기도 하다.",35.1170996,129.0338233,2020-08-12
초량이바구길,장기려 더 나눔 센터,부산광역시 동구 영초윗길 48,051-468-1248,"평생을 가난한 이웃들을 위해 나누고 어려운 처지의 환자들을 돌보는 데 헌신한 성산 장기려 박사의 뜻을 기리기 위해 2013년 4월 1일 장기려 기념 더 나눔 센터가 개소하였다.    한국의 슈바이처라고 불리는 그는 한국 의료보험의 시초라고 할 수 있는 청십자 의료보험 조합을 동구에 설립하였다.  나눔문화의 실천 센터인 더 나눔은 4개의 나눔방(건강나눔방, 동화책방, 마음나눔방, 작은 도서관)으로 구성되어 있으며, 주민들의 건강증진과 문화생활 지원을 위한 다양한 프로그램을 운영 중이다.  ",35.1185359,129.0326525,2020-08-12
초량이바구길,스카이웨이 전망대,"부산광역시 동구 망양로, 금수사~ 부산컴퓨터과학고",,"보행자의 안전과 원활한 차량 통행, 주차 공간 확보 등 지역 주민과 관광객들의 편의를 위해 산복도로 망양로에 적합한 스카이웨이 주차장을 만들고 아울러 전망대를 조성했다.  도로 위 언덕에 약 200m 길이의 인도와 쉼터가 있는 전망대, 그 아래 도로변에 기다란 노상주차공간을 확보해 부산항을 배경으로 다닥다닥 붙은 산복도로의 정감 있는 풍경과 쾌적한 주차 기능을 제공한다.    * 주차대수 : 총58대(일반 : 53대, 장애인전용 : 3대, 버스 : 2대)",35.1204871,129.0314726,2020-08-12
초량이바구길,유치환의 우체통,부산광역시 동구 망양로 580번길 2,051-469-9818,"경남여고 교장을 역임하고 좌천동에서 불의의 교통사고로 타계한 청마 유치환 선생을 기리기 위해 지어진 건물로서, 1층 야외공연장과 2층 시인의 방, 3층 전망대로 구성되어 있다.    특히 3층에 설치된 그리움이 있는 우체통은 1년 뒤 수취인에게 전달되는 것으로 유명하며, 유치환의 우체통 옆에는 그의 대표작 행복이 새겨진 황금빛 시비가 빛나고 있다.",35.1220954,129.0338422,2020-08-12
초량이바구길,까꼬막,부산광역시 동구 망양로 569번길 18,070-7333-9195,경상도 사투리로 '산비탈'을 의미하는 까꼬막은 6.25 피난민들의 판잣집을 형상화한 이바구길 게스트하우스이다.,35.1229821,129.0357771,2020-08-12
초량이바구길,까꼬막 카페,부산광역시 동구 망양로 600번길 19,070-7333-9195,까꼬막에서 약 20m 떨어진 곳에 위치한 카페로서 일명 천지빼까리라 불린다.    초량이바구길의 마지막 장소로서 1.89km의 여정을 차 한 잔의 여유와 함께 돌아보고 부산항과 산복도로의 멋진 전망으로 코스를 갈무리할 수 있는 곳이다.,35.1233441,129.0358958,2020-08-12
부산포개항가도,역사스토리 골목,부산광역시 동구 중앙대로 453 일원,,"부산포 개항가도의 초입에 자리한 역사스토리 골목에 들어서면 색색의 벽화가 눈길을 붙든다.    부산진 일대는 부산포 왜관이 자리했던 곳이며 부산진성 등의 국방시설과 조선통신사의 출발지였던 영가대 등의 유적이 있던 곳으로 한일관계의 첨단이었다.  일제강점기의 역사를 그려낸 벽화, 태극기 포토존 등 한일 역사와 관련된 이야기들이 역사스토리 골목의 면면을 채우고 있다.  ",35.134712,129.05398,2020-08-12
부산포개항가도,정공단,부산광역시 동구 정공단로 23,,임진왜란의 첫 전투인 부산진전투에서 순절한 정발 장군과 그를 따른 군민들의 충절을 추모하고자 1766년 부산 첨사 이광국이 설치한 제단이다.    부산 첨사들이 제사를 이어오다가 지방 향사계로 전승됐는데 일제강점기에는 민족혼을 일깨운다는 이유로 폐쇄되기도 했다.  해방 후 향사계가 재조직되어 제향을 잇다가 지금은 사단법인 정공단보존회가 제향을 올리고 있다. 부산광역시 기념물 제 10호로 지정되어 있다.  ,35.135074,129.05385,2020-08-12
부산포개항가도,부산진교회,부산광역시 동구 정공단로17번길16,,"한강 이남지역에서 가장 오랜 역사를 자랑하는 교회 중 하나.    설립연도가 정확하게 알려져 있지 않지만 호주인 여선교사들의 선교 활동으로 인해 세워진 것으로 보는 것이 일반적이며, 초대 목사는 호주 출신의 선교사  엥겔(한국명 왕길지)이다. 일신여학교 만세운동을 주도한 교사 주경애와 박신영, 순국당 단장 최병곤, 항일 및 여성운동가 양한나 등 부산진교회 출신  교인들은 부산지역 항일운동의 첨병이기도 했다.",35.1352628,129.053104,2020-08-12
부산포개항가도,부산진일신여학교,부산광역시 동구 정공단로17번길 17,,"호주에서 파송되어온 여선교사들이 좌천동에 세운 미우라(Myoora) 고아원을 모태로 만들어진 부산경남 최초의 근대식 여학교다.    부산 최초의 항일운동이 시작된 곳이며 여류소설가 김말봉, 여성정치인 박순천 등의 인물을 배출했다.  근대 서양식 건물의 원형이 잘 보존된 교사 역시 건축사적 의의가 크다.  ",35.1348161,129.0528734,2020-08-12
부산포개항가도,안용복 기념 부산포개항문화관,부산광역시 동구 증산로 100,051-633-1696,"부산포 개항의 역사를 기억하고 독도를 수호한 안용복 장군의 정신을 기리기 위해 만들어진 문화관이다.    이곳에는 안용복이 두 번에 걸쳐 일본에 건너갔던 행적과 함께 부산포왜관, 두모포왜관, 영가대, 부산진성, 정공단 등 동구 관련 유적들에 관한 자료가 전시되어 있다.",35.1356367,129.0529467,2020-08-12
부산포개항가도,경사형 엘리베이터,부산광역시 동구 증산로99번길 일원,,"좌천동의 경사형 엘리베이터는 고지대에 거주하는 지역 주민들과 좌천동을 찾는 관광객들에게 편의를 제공하기 위해 설치됐다.      안용복기념 부산포개항문화관 건너편의 엘리베이터를 타면 가파른 경사의 계단을 오르지 않고도 부산포 개항가도의 최종 목적지인 증산공원까지  쉽게 다다를 수 있다.  지옥의 계단, 천국 같은 전경 자랑하는 움직이는 전망대로    동구 좌천동의 안용복기념 부산포개항문화관에서 증산공원을 잇는 계단은 주민들 사이에서 지옥의 계단이라 불리던 곳이다.  평균 경사 약 37도, 계단 수만 190개에 달한다니 애먼 말도 아니다.    지옥의 계단 구간에 지난 3월부터 경사형 엘리베이터가 운용되고 있다는 반가운 소식이다.  엘리베이터의 외벽은 통유리로 되어 있어 경사를 오르내리는 동안 멀리 북항대교와 탁 트인 산복도로 풍경을 감상할 수 있다.  내부에는 CCTV와 냉난방 시설을 갖추고 3중 장치도 마련하는 등 안전에도 철저히 신경 썼다.    계단이 너무 많아 어려움을 토로하던 관광객들도 훨씬 편하게 부산포 개항가도를 거닐 수 있게 됐다.  엘리베이터를 타고 증산공원까지 탁 트인 전망을 즐기는 것도 동구 탐방의 이색코스가 될 것이다.  ",35.135844,129.052697,2020-08-12
부산포개항가도,증산공원,부산광역시 동구 성북로36번길 46,,"1982년 개장한 증산공원은 약 20,000m의 면적에 지역 주민들을 위한 운동 시설과 산책로, 중앙 광장 등으로 조성돼 있다.  증산전망대에 오르면 부산항이 한 눈에 펼쳐진다.    임진왜란 이후 만들어진 왜성의 흔적이 남아 있으며 부산 명칭의 유래에 대한 이야기, 부산진성과 부산진전투에 대한 내용이 산책로를 따라 기록되어 있다.  ",35.1374028,129.0508564,2020-08-12
수정이바구길,구) 부산진역사,부산광역시 동구 중앙대로 380,,부산진역은 1905년 경부선 개통과 함께 무배치 간이역으로 문을 열었다.    한때 동해남부선 완행열차의 시종착역으로 서민들의 숱한 이야기가 거쳐 가던 곳이었다. 1953년 부산역 대화재로 초량역과 부산역의 업무까지  부산진역에서 수행해 이용객 수가 급증하기도 했으나 2005년 여객 기능이 중단되고 구 역사가 폐쇄되면서 지금은 철거와 보존의 기로에 서 있다.  ,35.1284572,129.0490545,2020-08-12
수정이바구길,김원묵 기념 봉생병원,부산광역시 동구 중앙대로 401,051-664-4000,"국내 신경의학계의 선구자였던 고 김원묵 선생에 의해 1956년 설립됐다.    봉생병원은 의학발전의 선봉, 국가와 지역사회 발전, 환자의 권익과 생명 보호, 최신 기술과 양질의 의료 서비스 제공 등을 이념으로 삼고 부산 시민의 건강을 위해 힘쓰고 있다. 2012년 12월 건강보험심사평가원에 의해 최우수 의료기관으로 선정되기도 했다.  ",35.1308613,129.0505627,2020-08-12
수정이바구길,부산진 매축기념비,"부산광역시 동구 중앙대로 387, 부산동부경찰서 정문 옆",,"동부경찰서 내에 자리한 부산진매축기념비는 부산진매립공사 마무리 이후인 1939년 4월에 세워졌다.    매축 과정과 면적 오류, 2차 매립 주체에 대한 언급이 없는 점 등이 의문으로 남아 있지만 동구지역 토지의 상당 부분을 이룬 매립공사를 기념하는 상징물로서  의의가 크다. 한편 1980년대 일본 정부의 국사교과서 왜곡문제로 분노한 시민들이 글자에 시멘트로 매우는 등 훼손을 가하자 울타리가 설치되기도 했다.",35.1297345,129.0489812,2020-08-12
수정이바구길,부산일보사,부산광역시 동구 중앙대로 365,,해방 이후 박수형이 창간한 부산일보를 1949년 김지태가 인수해 타블로이드였던 판형을 현재의 크기에 해당하는 배대판 2면으로 확대해 발행했다.  이후 부산일보는 부산을 대표하는 일간지로서 국민의 여론을 이끌고 수렴하는 창구의 역할을 해오고 있다.  ,35.1285362,129.0480078,2020-08-12
수정이바구길,수정전통시장,부산광역시 동구 고관로 121 일원,,옛 부산진역 앞에 자리한 수정전통시장은 부산진역이 문을 닫으면서 역전시장 아닌 역전시장이 되었다.    부산진역에 여객열차가 서던 때에 비해 많이 조용해졌지만 아직도 단돈 만 원에 회 한 접시 푸짐하게 먹을 수 있는 수정전통시장은 사람 사는 냄새가 진하게 배어 있다.  ,35.1287821,129.0466845,2020-08-12
수정이바구길,정란각,부산광역시 동구 홍곡로 75,,"동구에 있는 대표적인 적산가옥. 기와지붕의 일본식 2층 건물로 고급 요정 정란각으로 운영되면서 그 이름대로 불리기 시작했다.    1939년 부산철도청장의 관사로 건립되었다는 설이 있었으나, 문화재청이 2011년 실시한 기록화 조사 과정에서 1943년 일본인 재력가 다마다 미노루에  의해 2층 규모의 일본식 가옥으로 재건축된 것이 확인됐다. 등록문화재 330호로 지정돼 있다.",35.1255485,129.0426373,2020-08-12
수정이바구길,문예담장로,부산광역시 동구 홍곡남로 29 일원,,정란각을 지나 부산서중학교 쪽으로 올라가다 보면 동일중앙초등학교 담벼락부터 옛 정취를 느낄 수 있는 아기자기한 벽화가 길 따라 그려져 있다.  조금 더 올라가면 부산서중학교 담벼락에 시인들의 사진과 글이 새겨진 문예담장이 나타난다.,35.125492,129.0363574,2020-08-12
좌천이바구길,부산진시장,부산광역시 동구 진시장로 24,,"조선시대 부산진성 서문 밖에서 매달 4일과 9일에 열렸던 부산장에서 시작된 부산진시장은 명실상부한 전국 최대의 혼수용품 및 주단 특화 시장이다.  인근 골목에는 한식당들이 들어서 있어 방문객들의 요기를 책임진다. 전국 최대 규모인 11,000대를 동시 수용할 수 있는 주차 빌딩을 갖추고 있다.  ",35.1364235,129.0588377,2020-08-12
좌천이바구길,범일동 굴다리,부산광역시 동구 성남이로60번길 일원,,매축지마을에는 마을과 바깥 동네를 연결해 주는 두 개의 통로가 있는데 그 중 하나가 범일동굴다리다.    마을로 들어서는 관문인 셈. 이곳을 지나는 순간 현재와 1970대가 혼재하는 시간여행을 경험할 수 있다.  굴다리 벽면에는 매축지 종과 마을 사진 등이 수놓아져 있다.,35.1344017,129.0568467,2020-08-12
좌천이바구길,매축지시장,부산광역시 동구 성남이로 46 일원,,좌천역 4번 출구 앞의 육교를 내려와 매축지마을로 향하는 길을 걷다 보면 매축지시장을 만난다.    이제는 빈집이 더 많은 마을이지만 그래도 오가는 사람들이 가장 많은 곳이 이곳 매축지시장이다. 마을에 거주하는 어르신들이 멀리 나가지 않아도 되게끔  웬만한 건 오밀조밀 다 갖추고 있는 곳이다.,35.1332584,129.056937,2020-08-12
좌천이바구길,매축지 문화원,부산광역시 동구 성남삼로33번길 5,,100년 가까운 매축지마을의 역사를 전시해놓은 곳이다.    주민들이 직접 말하는 매축지마을의 어제와 오늘의 이야기를 들을 수 있는 공간이기도 하다.  매축지 문화원에서는 주민들을 위한 다양한 프로그램을 운영하고 있으며 여행자들은 이곳에서 마을 지도와 필요한 정보가 담긴 안내 책자를 받을 수 있다.  ,35.1327367,129.0579462,2020-08-12
좌천이바구길,매축지 종,부산광역시 동구 성남이로11번길 13,,제자로교회 바로 다음 골목 양곡쌀상회라는 간판이 내걸린 오래된 건물 옆으로 서 있는 전봇대에는 60여 년 전 화재 발생 이후 한 번도 울린 적이 없다는 매축지 종이 매달려 있다.  매축지마을의 상징과도 같은 매축지 종의 녹슨 모습은 지난 세월의 갖은 풍상을 짐작케 한다.  ,35.1317237,129.0562534,2020-08-12
좌천이바구길,일신기독병원,부산광역시 동구 정공단로 34,,"나환자들의 친구라고 불리던 맥켄지 선교사의 두 딸이 세운 병원이다.    의사였던 첫째 딸 헬렌과 조산간호사였던 둘째 딸 캐서린이 한국전쟁 당시 해산할 곳이 마땅찮았던 조선의 여인들을 위해 부산진교회 유치원에서 미군들의 야전용 간이침대를 놓고 아이를 받기 시작한 것이 그 시초다.  현재 3개 건물에 320석 규모의 병상, 의료진을 포함해 255명의 직원들이 근무하고 있는 중견 종합병원으로 발돋움해 양질의 의료서비스를 제공하고 있다.",35.1354954,129.0546896,2020-08-12
좌천이바구길,맥켄지 목사 기념비,부산광역시 동구 정공단로 27 일원,,맥켄지 목사 기념비는 일신기독병원 앞에 자리해 있다.    그는 조선에 파송된 선교사로 1910년부터 1938년까지 28년간 조선의 나환자들을 돌보았다.  일제강점기 일본 정부로부터 그 공로를 인정받았을 만큼 조선 사회의 어렵고 소외된 자들을 위해 헌신했으며 부산진교회의 당회장을 역임하기도 했다.,35.135774,129.0544157,2020-08-12
좌천이바구길,부산진교회,부산광역시 동구 정공단로17번길16,,"한강 이남지역에서 가장 오랜 역사를 자랑하는 교회 중 하나.    설립연도가 정확하게 알려져 있지 않지만 호주인 여선교사들의 선교 활동으로 인해 세워진 것으로 보는 것이 일반적이며, 초대 목사는 호주 출신의 선교사  엥겔(한국명 왕길지)이다. 일신여학교 만세운동을 주도한 교사 주경애와 박신영, 순국당 단장 최병곤, 항일 및 여성운동가 양한나 등 부산진교회 출신  교인들은 부산지역 항일운동의 첨병이기도 했다.",35.1352628,129.053104,2020-08-12
좌천이바구길,부산진일신여학교,부산광역시 동구 정공단로17번길 17,,"호주에서 파송되어온 여선교사들이 좌천동에 세운 미우라(Myoora) 고아원을 모태로 만들어진 부산경남 최초의 근대식 여학교다.    부산 최초의 항일운동이 시작된 곳이며 여류소설가 김말봉, 여성정치인 박순천 등의 인물을 배출했다.  근대 서양식 건물의 원형이 잘 보존된 교사 역시 건축사적 의의가 크다.  ",35.1348161,129.0528734,2020-08-12
이중섭의 범일동 풍경,이중섭 갤러리,부산광역시 동구 중앙대로533번길 34(범일동),,"범일동 553번길, 희망길 100계단의 담벼락, 이중섭 전망대 1층에 걸쳐 이중섭의 작품과 편지가 전시되어 있다.    특히 부인 마사코에게 보낸 절절한 심정의 편지를 통해 그의 고독했던 생의 한 자락을 엿볼 수 있다.  이렇듯 이중섭갤러리에서는 그의 작품뿐만 아니라 그의 삶과 관련된 다양한 이야기를 만날 수 있다.  ",35.140978,129.055184,2020-08-12
이중섭의 범일동 풍경,거리미술관 범일동 풍경,부산광역시 동구 범곡로 43 일원,,"거리미술관은 주택가 담벼락을 전시장으로 활용해 이중섭의 작품 액자를 전시해놓은 곳이다.  걸음을 내딛을 때마다 봄의 아이들, 소, 닭과 가족, 부부, 은지화 등 이중섭의 대표작들을 만날 수 있는 매력적인 골목이다.    ",35.141133,129.053664,2020-08-12
이중섭의 범일동 풍경,희망길 100계단,부산광역시 동구 범곡로 53번길,,희망길 100계단은 이중섭 전망대로 향하는 관문이다.    높고 가파른 계단이지만 층계참마다 새겨진 이중섭의 편지 문구를 따라가다 보면 금세 망양로 일대의 빼곡한 산동네 풍경이 눈에 가득 들어찬다.  중간 중간 쉬어갈 수 있는 나무 의자도 갖추어져 있다.  ,35.1409546,129.0531022,2020-08-12
이중섭의 범일동 풍경,이중섭 전망대,부산광역시 동구 증산로 168,,"희망길 100계단의 마루에 다다르면 노란빛 아담한 전망대를 만날 수 있다.    전망대가 자리한 곳은 이중섭이 범일동 풍경을 그린 것으로 추정되는 곳이다. 부산항과 범일동 일대가 훤히 내려다보이는 이곳은 2층 건물로 1층은 주민  사랑방과 이중섭갤러리, 2층은 전망대와 이중섭의 편지글 등이 채워진 공간으로 구성돼 있다.",35.1406009,129.0526166,2020-08-12
이중섭의 범일동 풍경,이중섭쉼터,부산광역시 동구 증산로 168 일원,,"전망대 좌측으로 난 계단을 따라 내려가면 범일풍경마루라는 이름의 쉼터가 자리하고 있다.    달구지를 타고 피란길에 오른 가족의 모습을 그린  길 떠나는 가족, 금방이라도 묵직한 울음소리를 내뱉을 것 같은 황소 등 이중섭의 주요 작품들이 쉼터의 한 쪽 벽면을 차지하고 있다.",35.140583,129.052477,2020-08-12
부산의 부산이바구길,자성대,부산광역시 동구 자성로 99,,"자성대는 부산진성의 외성으로 지어진 부산진지성을 일컫는 것으로, 내성인 부산진성을 모성(母城)으로 한 자식의 성(子城)이라는 뜻에서 붙은 명칭이다.    임진왜란으로 부산진성이 함락된 이후 일본인들이 본래의 성을 허물고 지금 위치에 일본식으로 성을 쌓아 올렸다.  1972년 부산광역시 기념물 제7호로 지정되었다.  ",35.1361571,129.06175,2020-08-12
부산의 부산이바구길,교통부,부산광역시 동구 중앙대로 514 일원,,"부산에 임시정부청사가 세워진 한국전쟁 시기, 지금의 범곡교차로 인근에는 교통부청사가 자리하고 있었다.    이 일대는 1960-70년대 국제고무, 삼화고무 등 대규모 신발공장이 운집해 있어 공장노동자들을 비롯한 서민들의 삶터였음은 물론, 부산 경제와 문화의 중심지이자 교통의 요충지였다.  ",35.139,129.05696,2020-08-12
부산의 부산이바구길,영화이야기 담장,부산광역시 동구 범곡로28번길 일원,,"옛 보림극장 뒤편에는 동구에서 촬영된 영화 친구, 아저씨, 바람, 범죄와의 전쟁 등의 장면이 담긴 패널이 담장을 따라 이어져 있다.    또한 보림극장이 1970년대 쇼 극장으로 번성했을 때의 이야기와 당시 상영되던 영화 포스터 등이 전시되어 있어 당시 부산의 대중문화 중심지였던 동구의  모습을 상상할 수 있다.  ",35.14175,129.05564,2020-08-12
부산의 부산이바구길,쾌지나칭칭거리,부산광역시 동구 범곡로28번길 일원(영화이야기담장 거리 내),,"일제강점기  운동에 대한 일제의 탄압 이후 울분을 토할 길 없었던 부산 시민들은 1922년 정월대보름, 매축지마을에서 줄다리기를 했다.  그때 선창자의 노래가 마중물이 되어 그곳에 모인 시민들이 일제히 쾌지나 칭칭나네의 후렴구를 외치며 항일 의지를 표출했다고 한다.  쾌지나칭칭나네라는 노래로 유명한 가수 김상국 역시 동구 범일동 출신이다.  ",35.14155,129.05564,2020-08-12
부산의 부산이바구길,소설이야기 공원,부산광역시 동구 범곡로28번길 9 일원,,"동구는 객주를 중심으로 대일무역이 이뤄졌던 초량, 각지의 사람과 물자가 모여들었던 부산항, 조선방직과 신발공장 등이 들어서 있던 범일동 일대까지 많은 이들이 치열하게 살아간 삶의 현장이었기에 근현대 소설의 배경으로도 자주 등장한다.    골목의 갈림길에 아담하게 조성된 소설이야기 공원에는 이인직의 혈의 누, 이호철의 탈향, 유익서의 우리들의 축제 등 동구지역을 배경으로 한 소설의  내용을 담은 조형물과 함께 여행길에 잠시 숨 돌릴 수 있는 휴식 공간이 마련되어 있다.  ",35.141746,129.055582,2020-08-12
부산의 부산이바구길,음식거리,부산광역시 동구 범곡로 19 일원,,"범일동 음식거리 일대에는 이름난 맛집들이 즐비해 있다.    60년 넘게 부산 시민의 주린 속을 든든하게 채워준 맑은 고기육수의 할매돼지국밥과 일제강점기 일본군의 무기 보관용 방공호를 개조한 주점으로 주인장  할아버지 꿈에 용이 나와 이름 지었다는 동굴주점 용꿈,  전쟁 때 북에서 피란 온 어머니로부터 전수받아 그 맛을 이어오고 있는 범일 빈대떡 등이  대표적인 맛집이다.  ",35.13985,129.05576,2020-08-12
부산의 부산이바구길,범일성당,부산광역시 동구 범곡남로 9,,"120년 역사의 범일성당은 부산지역 최초의 천주교 성당이다.    초량성당을 시작으로 동래성당, 광안성당, 구포성당, 서면성당 등 13개의 성당을 분립시키며 부산교구 발전에 크게 기여했다. 1965년 말 신축된 현재의  건물은 전국에서도 보기 드문 부채꼴 모양의 중앙 집중형의 모습을 띠고 있다. 1966년 부산진성당에서 범일성당으로 개칭했다.  ",35.1378,129.05591,2020-08-12
부산의 부산이바구길,70년대국제그룹회장의 집,부산광역시 동구 범곡남로 15,,"데레사여고 뒤편에는 국제상사의 창업주 양정모 회장이 살던 주택이 남아 있다.    양정모 회장은 국내 재계 순위 7위까지 올랐던 부산의 대표적인 향토기업가였으며, 그가 1949년 설립한 국제고무공업사는 자체 브랜드인 프로스펙스(PRO-SPECS)로 우리나라 신발 산업의 발전에 혁혁한 공을 끼쳤다. 양정모 회장의 옛 자택은 현재 한정식집 소정으로 운영되고 있다.  ",35.13804,129.05481,2020-08-12
