문화재명,소재지,관리주체,지정번호,지정일자,시대,종별,담당자전화번호,데이터기준일자,위도,경도
흑유호 및 흑유정병,부산광역시 서구 부민동2가 1,동아대학교,제101호,2010-09-20,12세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
분청사기인화국화문사이부태호,부산광역시 서구 부민동2가 1,동아대학교,제102호,2010-09-20,15세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
갑인춘 친정도(甲寅春 親政圖),부산광역시 서구 부민동2가 1,동아대학교,제103호,2010-09-20,1734년,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
고려사(高麗史),부산광역시 서구 부민동2가 1,동아대학교,제2115-4호,2021-02-17,17세기,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
석조관음보살좌상(石造觀音菩薩坐像),부산광역시 서구 부민동2가 1,동아대학교,제119호,2012-10-30,고려말기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
목조보살좌상(木造菩薩坐像),부산광역시 서구 부민동2가 1,동아대학교,제120호,2012-10-30,17세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
시왕도(十王圖),부산광역시 서구 부민동2가 1,동아대학교,제121호,2012-10-30,17세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
동제 화엄경변상도 경상,부산광역시 서구 부민동2가 1,동아대학교,제122호,2012-10-30,조선시대,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
계사명 사리구(癸巳銘 舍利具),부산광역시 서구 부민동2가 1,동아대학교,제123호,2012-10-30,조선후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
전 경주 출토 승사리구,부산광역시 서구 부민동2가 1,동아대학교,제124호,2012-10-30,조선후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
진주성도(晋州城圖),부산광역시 서구 부민동2가 1,동아대학교,제134호,2013-10-23,19세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
거제부도(巨濟府圖),부산광역시 서구 부민동2가 1,동아대학교,제135호,2014-01-22,19세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
청동북(靑銅金鼓),부산광역시 서구 부민동2가 1,동아대학교,제140호,2014-03-19,고려시대,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
신구공신상회제명지도,부산광역시 서구 부민동2가 1,동아대학교,제146호,2014-09-24,17세기 초,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
원수명 가죽 투구와 갑옷,부산광역시 서구 부민동2가 1,동아대학교,제180호,2017-05-24,조선시대,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
동아대 명현초상 일괄,부산광역시 서구 부민동2가 1,동아대학교,제182호,2017-07-19,19세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
해주도 병풍,부산광역시 서구 부민동2가 1,동아대학교,제183호,2017-12-06,1867년(고종),시지정무형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
부산농악,부산광역시 서구 서대신동3가 산2-3,부산구덕민속예술보존협회,제6호,1980-02-22,,시지정무형문화재,051-242-3100,2021-04-19,35.12393722,129.0184883
구덕망깨터다지기,부산광역시 서구 서대신동3가 산2-3,부산구덕민속예술보존협회,제11호,2001-10-25,,시지정무형문화재,051-242-3100,2021-04-19,35.12393722,129.0184883
부산 고분도리걸립,부산광역시 서구 서대신동3가 산2-3,부산구덕민속예술보존협회,제18호,2011-03-26,,시지정무형문화재,051-242-3100,2021-04-19,35.12393722,129.0184883
수영야류 탈,부산광역시 서구 부민동2가 1,동아대학교,제16호,2015-12-23,1964년,민속문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
변관식 필 영도교,부산광역시 서구 부민동2가 1,동아대학교,제28호,2004-10-04,1948년,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
미인도(美人圖),부산광역시 서구 부민동2가 1,동아대학교,제32호,2005-03-03,한 말,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
쌍구장경호(雙口長頸壺),부산광역시 서구 부민동2가 1,동아대학교,제54호,2010-09-20,삼국시대,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
마문장경호(馬文長頸壺),부산광역시 서구 부민동2가 1,동아대학교,제55호,2010-09-20,삼국시대,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
전 이순신 초상,부산광역시 서구 부민동2가 1,동아대학교,제56호,2010-09-20,조선후기～말기,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
정선 필 청풍계지각,부산광역시 서구 부민동2가 1,동아대학교,제72호,2014-01-22,18세기,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
광포도(廣浦圖),부산광역시 서구 부민동2가 1,동아대학교,제73호,2014-01-22,18세기,시문화재자료,051-200-8493,2021-04-19,35.10373802,129.0194103
대성사 대방광원각수다라요의경(언해),부산광역시 서구 아미동2가 233-73,대성사,제87호,2015-05-20,조선시대,시문화재자료,051-256-3174,2021-04-19,35.09833494,129.0112486
칠보사 목조관음보살좌상,부산광역시 서구 남부민동 93-1,칠보사,제126호,2013-05-08,1730년대,시지정유형문화재,051-244-2040,2021-04-19,35.0891667,129.0210272
칠보사 목조아미타여래좌상,부산광역시 서구 남부민동 93-1,칠보사,제193호,2018-12-05,조선후기,시지정유형문화재,051-244-2040,2021-04-19,35.0891667,129.0210272
관북여지도,부산광역시 서구 부민동2가 1,동아대학교,제2061호,2020-02-27,조선후기,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
"대한민국임시정부 특발, 추조, 편지 및 소봉투",부산광역시 서구 부민동2가 1,동아대학교,제774-3호,2020-02-06,1931년,등록문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
이덕형 초상 초본,부산광역시 서구 부민동2가 1,동아대학교,제198호,2019-04-10,18세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
정선 필 청풍계지각,부산광역시 서구 부민동2가 1,동아대학교,제202호,2019-04-10,18세기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
법계성범수륙승회수재의궤,부산광역시 서구 부민동2가 1,동아대학교,제203호,2019-05-29,조선시대,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
휴대용 평면해시계(평면일영),부산광역시 서구 부민동2가 1,동아대학교,제218호,2021-03-24,조선시대,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
