BASE_YM,KWRD_NM,BLOG_NM,TITLE_NM,BLOG_CN,BLOG_URL,MOP_CN
202106,흰여울문화마을,먹리어답터,1박 2일 부산 여행: <b>흰여울 문화마을</b>,타고 <b>흰여울 문화마을</b>에 도착 그렇다네요 사실 흰여울 비치부터 가려다가 웨이팅 있길래... 여기... 구경하지 않았다 흰여울마을에서 깡통시장까지 걸어가려고 맘먹고가다가찍은 정체 모를 건물로 마무리,https://blog.naver.com/72496,"'깡통', '비치', '건물', '마을', '시장', '웨이팅', '문화', '구경', '정체', '마무리', '여울', '도착'"
202106,흰여울문화마을,시소의 생활계획표,영도 가볼만한곳 절영해안산책로 <b>흰여울문화마을</b> 주차 흰여울...,부산 영도에 가면 꼭 가야 할 곳 장소중 한곳이 바로 <b>흰 여울 문화마을</b>입니다. 주말에는 주차공간이... 이 무지개 계단으로 올라가면 흰 여울 안내소가 된.. 영화 변호인 촬영지를 쉽게 찾을 수 있답니다....,https://blog.naver.com/mgcap,"'안내소', '변호인', '영도', '마을', '주말', '문화', '주차', '공간', '영화', '촬영', '부산', '지', '여울', '계단', '무지개', '장소', '곳'"
202106,흰여울문화마을,소소한 일상 이야기,부산 가볼 만한 곳 - 영도 <b>흰여울문화마을</b>,샤베트 한 개씩 사서 마시면서 흰여울마을을 돌아보았어요. 아이들도 쉬지 않고 걷는다고 조금 힘들어했어요. 그래서 이제 컸다고 힘들다고 하지 않아서 정말 기특했어요. <b>흰여울문화마을</b> 밑으로 바다와 연결된...,https://blog.naver.com/whdmsal82,"'마을', '문화', '밑', '샤베트', '연결', '바다', '여울', '아이'"
202106,흰여울문화마을,나의 일상과 타인의 일상 그 사이에서,부산 여행 | 영도 <b>흰여울문화마을</b> 카페 손목서가,"부산 여행 | 영도 <b>흰여울문화마을</b> 카페 손목서가 busan, korea #부산여행 #부산영도 #영도카페 #부산카페 #부산손목서가 #영도손목서가 #<b>흰여울문화마을</b> 부산에 도착해서 숙소에 짐 풀고 가장 먼저 향한 곳은...",https://blog.naver.com/seojeong8024,"'영도', '여행', '마을', '문화', '숙소', '짐', '손', '카페', '여울', '목서', '도착', '곳', '부산'"
202106,흰여울문화마을,Rano의 멋대로 살아가기,부산 <b>흰여울문화마을</b> 전망좋은 카페 여울책장,"<b>흰여울문화마을</b>은 흰여울길이라 불리는 좁은 골목을 따라 형성되어 있는데 영도바다를 걸으면서가 아닌, 여유롭게 앉아서 즐기고 싶을 때 여울책장 같은 카페가 어떨지 추천해본다. 더운 날 시원한 음료도...",https://blog.naver.com/rano_0114,"'골목', '마을', '책장', '문화', '추천', '형성', '길', '여유', '때', '카페', '날', '바다', '여울', '음료', '영'"
202106,흰여울문화마을,조은하루의 하루,부산 영도 <b>흰여울문화마을</b> 흰여울해안터널 인생샷 찰칵,흰여울 해안터널 → 계단으로 올라가기 → <b>흰여울 문화마을</b> → 해안산책로 초입 쪽 맏머리계단으로 내려가기 → 주차장 제가 걸어다녔던 코스에요 참고로 해안터널쪽으로 갈수록 <b>흰여울문화마을</b> 고도가...,https://blog.naver.com/joeun___,"'마을', '참고', '산책로', '문화', '해안', '터널', '주차장', '초입', '여울', '고도', '계단', '머리', '코스'"
202106,흰여울문화마을,여기나현 here.nahyun,"[부산 1박2일 여행] <b>흰여울문화마을</b>, 50년 전통 할매국밥...",ㅜ <b>흰여울문화마을</b> 부산 영동구 영선동4가 605-3 http://www.ydculture.com 사실 인스타그램 보고 오게 되었어요:) 곳곳에 벽화가 그려져있고 영화 촬영지들이 많은 이곳 카페 여울책장 카페 여울 책장 한창...,https://blog.naver.com/wise_1412,"'마을', '책장', '문화', '영화', '벽화', '동구', '영선동', '인스타그램', '곳곳', '촬영', '지', '카페', '여울', '영', '부산'"
202106,흰여울문화마을,행복을 찾는 여행자,"부산 나들이 #1. 송도, 남포, 영도 (<b>흰여울문화마을</b>)","감천문화마을을 약 4시간 만에 돌아보고 호텔로 돌아왔다. 회덮밥이 먹고 싶어 찾아간 우리횟집. 친절하고 맛있었다. 회덮밥과 매운탕 다음 날, 영도의 <b>흰여울문화마을</b>로 향했다. <b>흰여울문화마을</b> 부산 영도구...",https://blog.naver.com/jsw915,"'다음', '영도', '친절', '마을', '문화', '영도구', '횟집', '날', '부산', '회덮밥', '호텔', '여울', '감천문화마을', '매운탕'"
202106,흰여울문화마을,조은하루의 하루,부산 영도 <b>흰여울문화마을</b> 맛집 거인왕돈까스,<b>흰여울문화마을</b>에서 점심으로 무얼 먹을지 맛집을 찾아보다 제가 고른 곳은 바로 &lt;거인왕돈까스&gt;입니다 카페 뺨치는 멋진 뷰를 보며 돈까스와 라면을 맛있게 먹고 왔어요 위치는 <b>흰여울문화마을</b>에서...,https://blog.naver.com/joeun___,"'까스', '마을', '점심', '문화', '왕돈', '돈', '위치', '카페', '맛집', '라면', '여울', '뷰', '곳'"
202106,흰여울문화마을,sonaland,부산 <b>흰여울문화마을</b> 포토존과 주차장팁,흰여울프로포즈계단 묘박지와 축대등 여러가지를 볼 수 있는 해안산책로 <b>흰여울문화마을</b> TIP : 하늘전망대 주차장을 이용하면 문화마을을 관광하기 편해요( 주차수 작지만 가격이 저렴) 하늘전망대과...,https://blog.naver.com/bankof1,"'주', '전망', '전망대', '산책로', '해안', '프로', '계단', '마을', '이용', '박지', '축대', '문화', '차수', '하늘', '렴', '묘', '대과', '포즈', '주차장', '관광', '여울', '가격'"
202106,흰여울문화마을,해피휴의 일상,부산 <b>흰여울문화마을</b> 걷기좋은곳 흰여울해안터널...,흰여울해안터널이 있는 해안산책로까지 다녀왔다 중간중간 오르내릴 수 있는 계단으로 연결된... 20분 남짓가량 걷다보면 도착하는 거리박물관 깡깡이예술마을 <b>흰여울문화마을</b>과 함께 다녀와도 좋은곳이다,https://blog.naver.com/nju121,"'마을', '산책로', '문화', '가량', '해안', '터널', '깡깡이', '예술', '연결', '여울', '거리', '계단', '도착', '곳', '박물관'"
202106,흰여울문화마을,어쩌다 #디지털노마드,[부산당일치기] 부산역 맛집 그리고 영도 <b>흰여울문화마을</b> 코스,부산 당일치기 여행 코스 영도 <b>흰여울문화마을</b> &amp; 부산역 맛집 얼마전 부산에 지인이 당일치기로 여행을... 영도 <b>흰여울문화마을</b>이에요! 여기는 저희 집에 있는 동네라서 어릴때부터 자주 왔지만 이렇게...,https://blog.naver.com/no3song,"'영도', '여행', '마을', '문화', '지인', '때', '맛집', '당일', '부산역', '당일치기', '집', '동네', '여울', '전', '얼마', '코스', '부산'"
202106,흰여울문화마을,림블네,부산 영도 <b>흰여울문화마을</b> 카페 고미 gomi,주소 : 부산 영도구 흰여울길 273 운영시간 : 매일 10:00 ~ 19:00 ( 연중무휴) 고: 옛 미 : 아름다움 = 고미 ! 카페 이름 뜻도 너무 좋네요.. 합격  영도 <b>흰여울문화마을</b>에는 아기자기한 카페와 공방들이 진짜 많은거...,https://blog.naver.com/hye_lim1125,"'시간', '카페', '이름', '고미', '운영', '연중무휴', '고', '주소', '합격', '영도구', '미', '영도', '마을', '문화', '길', '공방', '뜻', '여울', '부산'"
202106,흰여울문화마을,꽃식물조경,내돈내산 솔직방문기  영도 목장원 수국축제 <b>흰여울문화마을</b>...,이동~ <b>흰여울문화마을</b> 부산의 그리스? 부산의 포카리스웨트 촬영지같은곳 이라던데ㆍㆍㆍㅋㅋ 그저... 그곳도 갔다가 허거덩 뭐야ㆍㆍㆍ 이러고는 <b>흰여울문화마을</b> 왔는데ㆍㆍ...,https://blog.naver.com/attract713,"'이동', '스웨트', '마을', '문화', '포카리', '촬영', '여울', '그리스', '곳', '부산'"
202106,흰여울문화마을,"Archiving, Me","3월 부산여행 : 광안리 해수욕장, 태종대, <b>흰여울문화마을</b>",3월 부산여행 광안리해수욕장 - 태종대 - <b>흰여울문화마을</b> 1일차 : 에어비앤비 체크인 - 클램... 흰여울마을이 가깝길래 또 감. 아침부터 일정이 꼬여 되는대로 걸어다녔다. 미세먼지 가득해도 벚꽃은 피었다....,https://blog.naver.com/summer_cream,"'태종대', '차', '비앤비', '감', '마을', '여행', '광안리', '문화', '벚꽃', '해수욕장', '클램', '미세먼지', '일정', '아침', '여울', '체크인', '부산'"
202106,흰여울문화마을,"From. 지구토끼, 달토끼에게 전하는 지구이야기",부산 영도 <b>흰여울문화마을</b> 산책 (+ 대중교통 여행 팁),"<b>흰여울문화마을</b> 버스정류장은 A. 흰여울비치나 에테르 같은 카페가 위치한 곳은 C 정도다.... 부러워도 했는데, 며칠 뒤 영도 강풍주의보 때문에 비행기 결항되어서 서울 못갔던 지라 바닷가 근처 마을에서의...",https://blog.naver.com/earth_rabbit,"'위치', '카페', '며칠', '비행기', '곳', '에테르', '비치', '뒤', '주의보', '서울', '지라', '근처', '버스', '마을', '영도', '문화', '정류장', '강풍', '바닷가', '결항', '여울', '정도'"
202106,흰여울문화마을,"짜르's飮酒歌舞,",[부산/영도] '<b>흰여울문화마을</b>',"우리 주목적지는 바로 <b>흰여울문화마을</b>. 이라고 여행설계자 마누라님이 말씀해주십니다. 한국의... 문화마을이라고 하는데, 좀 억지스럽긴 하지만 잘만 관리하고 노력하면 뭐 잘 될 수도 있지 않을까...",https://blog.naver.com/happieczar,"'주', '한국', '마을', '여행', '노력', '문화', '억지', '말씀', '관리', '여울', '설계자', '마누라', '목적지'"
202106,흰여울문화마을,여럿이 함께,부산 <b>흰여울문화마을</b>,흰여울해안터널에서.. <b>흰여울문화마을</b>에 가는 이유가 터널에서 사진 찍는 거였던가?? 이건 아니였구요..^^ 언젠가 어떤 영화 속에서 본 장면이 머릿속에 흐릿하게 남아있어서 해안 절벽 위에 조성된 마을의...,https://blog.naver.com/ontheroad_gh,"'장면', '마을', '문화', '조성', '절벽', '영화', '해안', '터널', '머릿속', '이유', '속', '사진', '여울', '위'"
202106,흰여울문화마을,조은하루의 하루,부산 영도 사진관/<b>흰여울문화마을</b> 카페 삘딩오왼몰겐,영도 <b>흰여울문화마을</b>에 위치해 있어요 영도는 태종대와 함께 코스로 묶어서 <b>흰여울 문화마을</b>에 가기 좋은데요. 뷰맛집 카페들도 많아서 많은 관광객들이 오는 곳이에요 인생샷 남기고 싶은 분들이라면 전문...,https://blog.naver.com/joeun___,"'태종대', '마을', '영도', '문화', '샷', '위치', '카페', '맛집', '인생', '전문', '여울', '관광객', '뷰', '코스', '곳'"
202106,흰여울문화마을,Stay with me?,"부산여행 <b>흰여울문화마을</b>, 태종대",않은 <b>흰여울 문화마을</b>과 태종대! 방문하기로 했답 KTX를 타고 부산역에 내려 짐보관함에 짐을 맡기고... 구경했다 문화마을 여울길을 따라 걷다보면 이런 소품샵이 종종 보인다 우리는 보이는 소품샵마다 다...,https://blog.naver.com/hayate65,"'태종대', '소품', '마을', '방문', '문화', '역', '짐', '길', '보관함', '구경', '여울', '샵', '부산'"
202106,흰여울문화마을,소담이의 사계절 여행 기록장,"부산영도 <b>흰여울문화마을</b> 당일치기여행, 힐링산책길 부산대표...","부산 영도 흰여울길 &amp; 절영해안산책로 #영도바다 #남항대교 #<b>흰여울문화마을</b>주차 절영해안산책로옆... 주차장)와 마을을 받치는 축대 바다구경, 사람구경 멋진뷰를보며.jpg 셀카봉과씨름중.jpg 골목길에 주민분이...",https://blog.naver.com/diamond407,"'절영', '카봉', '사람', '옆', '대교', '주민', '산책로', '주차', '책', '영도', '마을', '문화', '축대', '길', '골목길', '바다', '뷰', '영', '구경', '씨름', '주차장', '여울', '남항', '부산'"
202106,흰여울문화마을,조은하루의 하루,부산 <b>흰여울문화마을</b> 카페 흰여울비치,부산 <b>흰여울문화마을</b> 카페 흰여울비치 주소 | 부산광역시 영도구 절영로 236 전화번호 | ***-****-**** 영업시간 | 월-목 11:00 - 20:30 금-일 11:00 - 21:30 큰 창문으로 한폭의 그림같은 풍경을 담아내는 자리가 있는데...,https://blog.naver.com/joeun___,"'전화', '카페', '주소', '비치', '목', '금', '일', '그림', '자리', '영도구', '영업시간', '번호', '부산광역시', '마을', '창문', '문화', '월', '절영로', '풍경', '여울', '부산'"
202106,흰여울문화마을,작은 쉼표 두개 :),부산 영도 : <b>흰여울문화마을</b> 산책 / 포토존,ㅎ 또 다른 한곳인 흰여울전망대 포토존! 여기서는 <b>흰여울문화마을</b>을 내려다 볼 수 있어요!ㅎ 절영산책로에서 걸으면서 파도소리 들으며 산책하기 좋은 곳!! 생각보다 너무 관광지화가 되어버려 기대했던...,https://blog.naver.com/junshine,"'절영', '산책', '마을', '산책로', '존', '포토', '문화', '생각', '관광지', '파도', '여울', '기대', '전망대', '소리', '곳'"
202106,흰여울문화마을,부산광역시 대표 블로그,"부산의 산토리니, 영도 <b>흰여울 문화마을</b>",송도를 마주 보고 있는 <b>흰여울 문화마을</b>은 제2의 송도라고 불리기도 한답니다^^ <b>흰여울 문화마을</b> 입구 <b>흰여울 문화마을</b>은 버스가 다니는 절영로와 흰 담장이 있는 흰여울길 사이 미로처럼 이어진 골목길...,https://blog.naver.com/cooolbusan,"'입구', '절영로', '버스', '마을', '문화', '미로', '길', '송도', '담장', '골목길', '여울', '사이'"
202106,흰여울문화마을,민주 일기,<b>흰여울문화마을</b> 포함한 부산영도시티투어 버스,"곳은 <b>흰여울문화마을</b>입니다. 영화 '변호인', '범죄와의 전쟁'등 영화 촬영지로 유명한 곳이라 볼거리도 많은 곳이에요. 얼마전 비오는날 갔을 때와는 완전 다른 분위기더라구요 ! 경치가 예쁜 마을이라고만...",https://blog.naver.com/baemju,"'변호인', '전', '분위기', '마을', '문화', '경치', '영화', '범죄', '때', '촬영', '볼거리', '날', '전쟁', '여울', '지로', '얼마', '곳'"
202106,흰여울문화마을,지련이 뭐하니?,부산 <b>흰여울문화마을</b> 포토존 가득한 곳에서 인생샷 건지기 ❤️,이제는 감천문화마을보다 <b>흰여울문화마을</b>이 더 핫한 부산여행코스가 된 것 같아요. 부산 <b>흰여울문화마을</b>은 영화 변호인의 촬영지이기도 해서 변호인의 명대사가 곳곳에 써져있기도 해요. 아직 영화를 못...,https://blog.naver.com/csm03098,"'이제', '변호인', '마을', '여행', '문화', '핫', '영화', '촬영', '명대사', '곳곳', '지', '여울', '코스', '감천문화마을', '부산'"
202106,흰여울문화마을,If you♡,부산 여행 <b>흰여울문화마을</b> 관광지 영도 해안 산책,부산 <b>흰여울문화마을</b>은 피난민들의 애잔한 삶이 시작된 곳으로 지금은 문화마을 공동체로 자리한... 부산흰여울마을 피아노 계단 3. 흰여울 해안터널 4. 대마도전망대 5.출렁다리 6.노래미낚시터 7.절영전망대 8....,https://blog.naver.com/00sweetlove,"'절영', '낚시터', '공동체', '출렁다리', '전망대', '곳', '피아노', '피난민', '자리', '해안', '터널', '대마도', '삶', '계단', '마을', '문화', '여울', '노래미', '시작', '부산'"
202106,흰여울문화마을,Aram의 일상,초여름 부산여행 2번째 이야기(feat.<b>흰여울 문화마을</b>),"고불고불 산길을 돌아 도착한 <b>흰여울 문화마을</b>. 근데, 이곳의 문제점(?)아닌 문제점은.... 바로 이곳이... 뒤의 바다와 너무 잘 어울리는 귀여운 푸딩 푸딩을 찍고 희여울 문화마을을 한번 둘러보고 주차장으로...",https://blog.naver.com/psybobo11,"'마을', '뒤', '문화', '문제점', '푸딩', '산길', '주차장', '희', '바다', '여울', '도착'"
202106,흰여울문화마을,As You Like It !,흰여울 길/<b>흰여울 문화마을</b>(부산): 2021.6.20.일,감천<b>문화마을</b>은 바닷가가 정말 조그맣게 내려다보이는 곳이라면 여기는 바라 바로 옆에 있는 곳이라 시야가 탁~트여서 개인적으로는 여기가 더 좋았다. 아래쪽으로 보이는 <b>흰여울</b> 길. 저 멀리 바다에 배들이...,https://blog.naver.com/iwasachild,"'여울', '배', '마을', '문화', '길', '바닷가', '옆', '시야', '아래쪽', '바다', '개인', '감천', '트', '곳'"
202106,흰여울문화마을,스크루지의 여행 ~ing,부산 <b>흰여울문화마을</b> 영도 카페  캔버스다락,부산 <b>흰여울문화마을</b> 부산 영도 카페 캔버스다락 분명 한국인데 외국 분위기가 느껴지는곳이 있어요.... 부산 <b>흰여울문화마을</b> 생각이 나네요. 한여름에 돌아다니기엔 참 덥고 힘들었지만 그 경치만큼은 그 어디...,https://blog.naver.com/scurugi,"'한국', '분위기', '영도', '마을', '문화', '경치', '캔버스', '카페', '생각', '여름', '다락', '여울', '외국', '곳', '부산'"
202106,흰여울문화마을,제쇼,"부산여행, <b>흰여울문화마을</b> 흰여울길 두번째 이야기",<b>흰여울문화마을</b> 여행 기념사진으로 한장 안찍을수 없다...ㅎ 부산 피난민 정착 산동네 흰여울마을.. 하늘 높이 치솟는 고층아파트에 대비되며 삶의 애환과 찐한 옛감성을 느낄수 있었던 아름다운 여행길이었다....,https://blog.naver.com/mibajeju,"'피난민', '마을', '여행', '애환', '문화', '정착', '산동네', '감성', '여행길', '기념사진', '대비', '하늘', '삶', '여울', '아파트', '고층', '부산'"
202106,흰여울문화마을,하루쨩의 하루하루♬,"하루쨩, 부산1박2일 中 부산 <b>흰여울문화마을</b>에 가다! feat....",부산광역시 영도구에 위치한 <b>흰여울문화마을</b> 입니다. :-) 하루쨩의 숙소에서 버스 타고 한 20분? 30분?... 부산 <b>흰여울문화마을</b> 온 게 뙇 느껴지는 사진. ㅎㅎ 근데 도대체 어디로 내려가야 하는지 안내가 잘 안...,https://blog.naver.com/haruna1524,"'버스', '부산광역시', '마을', '숙소', '문화', '위치', '하루', '사진', '안내', '영도구', '여울', '부산'"
202106,흰여울문화마을,캐띠의 모찌한 일상,"부산 영도 <b>흰여울문화마을</b> _카페 손목서가, 주차 팁","오션뷰와 함께 핸드드립을 즐기고 싶다면 “손목서가” 부산 영도구 흰여울길 307 매일 11:00-19:00 손목서가 <b>흰여울문화마을</b> 주차 팁! 주차장이 어딘가는 있겠지,,하고 계속 위로 올라간다면 오산 없어요 없어...",https://blog.naver.com/ksee0217,"'손', '목서', '주차', '영도구', '오산', '드립', '오션', '마을', '문화', '길', '팁', '손목', '서가', '위', '뷰', '핸드', '주차장', '여울', '매일', '부산'"
202106,흰여울문화마을,화이트드림 수원,부산 가볼 만한 곳 - 영도 <b>흰여울문화마을</b>,샤베트 한 개씩 사서 마시면서 흰여울마을을 돌아보았어요. 아이들도 쉬지 않고 걷는다고 조금 힘들어했어요. 그래서 이제 컸다고 힘들다고 하지 않아서 정말 기특했어요. <b>흰여울문화마을</b> 밑으로 바다와 연결된...,https://blog.naver.com/whdmsal82,"'마을', '문화', '밑', '샤베트', '연결', '바다', '여울', '아이'"
202106,흰여울문화마을,제쇼,"부산 <b>흰여울문화마을</b> 여행, 기억에 오래 남겠어요~",바다를 끼고 위아래로 나란히 있는 흰여울길과 절영해안산책로.. <b>흰여울문화마을</b>은 과거 한국전쟁 이후 피란민들이 모여 살던 애환과 역사의 아픔을 간직한 마을이라고 한다. 하지만 옹기종기 모여있는...,https://blog.naver.com/mibajeju,"'절영', '과거', '한국', '피란민', '마을', '애환', '산책로', '문화', '역사', '아픔', '길', '위아래', '전쟁', '바다', '여울', '이후', '간직'"
202106,흰여울문화마을,Rano의 멋대로 살아가기,부산 영도여행 <b>흰여울문화마을</b> 산책과 더레이지캣 카페,우리는 <b>흰여울문화마을</b>의 흰 벽을 따라 천천히 걸으며 소화도 시키고 어딘가 잠시 머물며 멍때릴 곳을 찾기로 했다. 이왕이면 사람 적고 풍경 좋은 곳이 어딜지를 꽤 많이 돌아다닌 것 같다. 오늘의 행복을...,https://blog.naver.com/rano_0114,"'마을', '문화', '사람', '소화', '풍경', '오늘', '여울', '벽', '곳', '행복'"
202106,흰여울문화마을,박혀늬 사진여행,감성 가득한 바닷마을 흰여울길 <b>흰여울문화마을</b> 부산여행,"각광받으면서 문화예술마을로 거듭났습니다 <b>흰여울문화마을</b>은 버스가 다니는 절영로와 흰 담장이 있는 흰여울길 사이 미로처럼 이어진 골목길, 흰여울길과 절영해안산책로 사이 계단들로 이루어져 있습니다....",https://blog.naver.com/pjhqrowo,"'절영', '절영로', '버스', '마을', '문화', '미로', '길', '예술', '책', '담장', '골목길', '여울', '계단', '사이', '각광'"
